% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.3054121000         0.0479556205         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.3104541000         0.0487466897         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.3154074000         0.0495238124         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3204847000         0.0503203584         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.3254852000         0.0511048244         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.3304483000         0.0518833920         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3354577000         0.0526691907         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3404568000         0.0534533413         2.5000000000         1.3352870017         1.3319318400        -0.0681495073
        0.3454332000         0.0542338984         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.3504570000         0.0550218567         2.5000000000         1.3454963091         1.3370355949         0.1977997896
        0.3554250000         0.0558010293         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.3604844000         0.0565945021         2.5000000000         1.3301823480         1.3217243302        -0.2011241558
        0.3654731000         0.0573768518         2.5000000000         1.3403916554         1.3370355949         0.0648251411
        0.3704614000         0.0581591036         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.3754842000         0.0589467295         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.3804274000         0.0597218375         2.5000000000         1.3454963091         1.3319318400         0.1977997896
        0.3854429000         0.0605082456         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3904386000         0.0612915117         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.3954474000         0.0620767939         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.4004660000         0.0628635740         2.7649248928         1.3429439823         1.3344837175         0.1313124653
        0.4053971000         0.0636365985         2.7653101845         1.3454963091         1.3370355949         0.1977997896
        0.4105267000         0.0644407002         2.7657110184         1.3327346748         1.3242762076        -0.1346368316
        0.4154501000         0.0652124393         2.7660957705         1.3403916554         1.3293799625         0.0648251411
        0.4204096000         0.0659897977         2.7664833742         1.3429439823         1.3293799625         0.1313124653
        0.4254952000         0.0667868795         2.7668808644         1.3454963091         1.3293799625         0.1977997896
        0.4304611000         0.0675651592         2.7672690295         1.3429439823         1.3344837175         0.1313124653
        0.4354552000         0.0683478171         2.7676594290         1.3454963091         1.3370355949         0.1977997896
        0.4404289000         0.0691272362         2.7680482636         1.3403916554         1.3319318400         0.0648251411
        0.4454205000         0.0699094179         2.7684385273         1.3429439823         1.3242762076         0.1313124653
        0.4503932000         0.0706885953         2.7688273427         1.3837812120         1.3344837175         1.1951096530
        0.4554795000         0.0714855281         2.7692250706         1.3710195777         1.3370355949         0.8626730318
        0.4604550000         0.0722650564         2.7696141636         1.3710195777         1.3395874724         0.8626730318
        0.4654232000         0.0730433970         2.7700027143         1.3684672508         1.3421393498         0.7961857076
        0.4704325000         0.0738281314         2.7703945081         1.3812288851         1.3421393498         1.1286223287
        0.4754798000         0.0746187725         2.7707893029         1.3761242314         1.3548987371         0.9956476803
        0.4804672000         0.0753999844         2.7711794407         1.3786765582         1.3497949822         1.0621350045
        0.4854514000         0.0761806489         2.7715693560         1.3735719045         1.3548987371         0.9291603561
        0.4904643000         0.0769657614         2.7719615444         1.3863335388         1.3651062470         1.2615969772
        0.4954810000         0.0777514214         2.7723540578         1.3761242314         1.3625543695         0.9956476803
        0.5004894000         0.0785357333         2.7727459492         1.3786765582         1.3702100019         1.0621350045
        0.5055001000         0.0793203567         2.7731380479         1.3837812120         1.3753137568         1.1951096530
        0.5104500000         0.0800954113         2.7735254153         1.3710195777         1.3753137568         0.8626730318
        0.5154109000         0.0808721397         2.7739136697         1.3710195777         1.3753137568         0.8626730318
        0.5205246000         0.0816727405         2.7743139100         1.3710195777         1.3829693892         0.8626730318
        0.5254910000         0.0824502297         2.7747026475         1.3710195777         1.3855212666         0.8626730318
        0.5304554000         0.0832273555         2.7750912541         1.3684672508         1.3855212666         0.7961857076
        0.5354553000         0.0840099874         2.7754826652         1.3633625971         1.3880731441         0.6632110592
        0.5404512000         0.0847919414         2.7758737886         1.3863335388         1.3957287765         1.2615969772
        0.5454733000         0.0855779436         2.7762669886         1.3659149240         1.3982806539         0.7296983834
        0.5504325000         0.0863540492         2.7766552887         1.3735719045         1.4059362863         0.9291603561
        0.5554118000         0.0871332476         2.7770451871         1.3633625971         1.3982806539         0.6632110592
        0.5604018000         0.0879140669         2.7774359479         1.3710195777         1.4135919187         0.8626730318
        0.5654758000         0.0887079750         2.7778333114         1.3608102703         1.4033844088         0.5967237349
        0.5704523000         0.0894865728         2.7782230634         1.3684672508         1.4135919187         0.7961857076
        0.5754513000         0.0902686359         2.7786146015         1.3735719045         1.4237994285         0.9291603561
        0.5804331000         0.0910479527         2.7790048158         1.3710195777         1.4161437961         0.8626730318
        0.5854492000         0.0918325789         2.7793977403         1.3684672508         1.4212475511         0.7961857076
        0.5904899000         0.0926209956         2.7797926153         1.3659149240         1.4186956736         0.7296983834
        0.5954683000         0.0933996109         2.7801826327         1.3735719045         1.4340069384         0.9291603561
        0.6004229000         0.0941744473         2.7805708079         1.3684672508         1.4340069384         0.7961857076
        0.6054308000         0.0949575611         2.7809631815         1.3608102703         1.4289031834         0.5967237349
        0.6104870000         0.0957481683         2.7813593620         1.3608102703         1.4442144482         0.5967237349
        0.6154292000         0.0965208916         2.7817466317         1.3659149240         1.4416625707         0.7296983834
        0.6204093000         0.0972994818         2.7821368928         1.3608102703         1.4442144482         0.5967237349
        0.6256606000         0.0981204069         2.7825484294         1.3633625971         1.4467663256         0.6632110592
        0.6304635000         0.0988711762         2.7829248461         1.3659149240         1.4493182031         0.7296983834
        0.6354522000         0.0996509294         2.7833158451         1.3684672508         1.4595257129         0.7961857076
        0.6404061000         0.1004251826         2.7837041371         1.3659149240         1.4569738355         0.7296983834
        0.6454809000         0.1012182684         2.7841019263         1.3608102703         1.4518700806         0.5967237349
        0.6504038000         0.1019875540         2.7844878289         1.3684672508         1.4620775904         0.7961857076
        0.6554858000         0.1027816376         2.7848862237         1.3659149240         1.4671813453         0.7296983834
        0.6604265000         0.1035535798         2.7852735612         1.3633625971         1.4646294679         0.6632110592
        0.6654806000         0.1043431751         2.7856698089         1.3659149240         1.4697332228         0.7296983834
        0.6704140000         0.1051138503         2.7860566127         1.3710195777         1.4722851002         0.8626730318
        0.6754372000         0.1058984888         2.7864504764         1.3684672508         1.4824926101         0.7961857076
        0.6804362000         0.1066792817         2.7868424617         1.3812288851         1.4824926101         1.1286223287
        0.6854923000         0.1074689261         2.7872389434         1.3633625971         1.4773888552         0.6632110592
        0.6904914000         0.1082496018         2.7876309740         1.3735719045         1.4875963650         0.9291603561
        0.6954040000         0.1090167044         2.7880162390         1.3761242314         1.4952519974         0.9956476803
        0.7004917000         0.1098110804         2.7884152544         1.3761242314         1.4927001199         0.9956476803
        0.7054281000         0.1105817659         2.7888024213         1.3812288851         1.5054595072         1.1286223287
        0.7104025000         0.1113583168         2.7891925859         1.3684672508         1.4952519974         0.7961857076
        0.7154949000         0.1121532182         2.7895920235         1.3786765582         1.5080113847         1.0621350045
        0.7204242000         0.1129225921         2.7899786848         1.3735719045         1.5054595072         0.9291603561
        0.7254243000         0.1137029474         2.7903709165         1.3812288851         1.5156670170         1.1286223287
        0.7304018000         0.1144797059         2.7907613918         1.3710195777         1.5105632621         0.8626730318
        0.7354972000         0.1152747906         2.7911611330         1.3684672508         1.5131151396         0.7961857076
        0.7405276000         0.1160596604         2.7915557913         1.3710195777         1.5207707720         0.8626730318
        0.7454577000         0.1168288105         2.7919425962         1.3735719045         1.5258745269         0.9291603561
        0.7504869000         0.1176133491         2.7923371920         1.3812288851         1.5335301593         1.1286223287
        0.7554831000         0.1183926671         2.7927292141         1.3735719045         1.5335301593         0.9291603561
        0.7603946000         0.1191587023         2.7931146050         1.3710195777         1.5284264043         0.8626730318
        0.7655228000         0.1199584601         2.7935170152         1.3812288851         1.5462895465         1.1286223287
        0.7704349000         0.1207244434         2.7939024825         1.3888858657         1.5513933015         1.3280843014
        0.7754110000         0.1215003335         2.7942929864         1.3812288851         1.5539451789         1.1286223287
        0.7804265000         0.1222822919         2.7946865965         1.3735719045         1.5513933015         0.9291603561
        0.7855031000         0.1230736990         2.7950850161         1.3837812120         1.5616008113         1.1951096530
        0.7904945000         0.1238517477         2.7954767628         1.3837812120         1.5667045662         1.1951096530
        0.7954232000         0.1246199481         2.7958636019         1.3710195777         1.5590489338         0.8626730318
        0.8004881000         0.1254092992         2.7962611443         1.3888858657         1.5743601986         1.3280843014
        0.8054331000         0.1261798876         2.7966492888         1.3761242314         1.5743601986         0.9956476803
        0.8104373000         0.1269596238         2.7970420929         1.3812288851         1.5769120761         1.1286223287
        0.8154755000         0.1277445785         2.7974375785         1.3863335388         1.5871195859         1.2615969772
        0.8204423000         0.1285183307         2.7978274717         1.3786765582         1.5845677084         1.0621350045
        0.8254097000         0.1292920981         2.7982174239         1.3837812120         1.5820158310         1.1951096530
        0.8304350000         0.1300748045         2.7986119334         1.3837812120         1.5998789732         1.1951096530
        0.8354641000         0.1308580215         2.7990067530         1.3761242314         1.5998789732         0.9956476803
        0.8404622000         0.1316363299         2.7993991504         1.3684672508         1.5947752183         0.7961857076
        0.8454536000         0.1324135139         2.7997910328         1.3786765582         1.6049827281         1.0621350045
        0.8503992000         0.1331834864         2.8001793302         1.3761242314         1.6075346056         0.9956476803
        0.8554748000         0.1339736147         2.8005778453         1.3761242314         1.6126383605         0.9956476803
        0.8604337000         0.1347454940         2.8009672080         1.3812288851         1.6177421154         1.1286223287
        0.8654703000         0.1355293839         2.8013626818         1.3735719045         1.6151902379         0.9291603561
        0.8703992000         0.1362964295         2.8017497088         1.3761242314         1.6279496252         0.9956476803
        0.8755016000         0.1370903893         2.8021503694         1.3812288851         1.6305015027         1.1286223287
        0.8804920000         0.1378668363         2.8025422449         1.3735719045         1.6279496252         0.9291603561
        0.8854896000         0.1386443185         2.8029346951         1.3812288851         1.6381571351         1.1286223287
        0.8904026000         0.1394085562         2.8033205106         1.3863335388         1.6483646449         1.2615969772
        0.8954125000         0.1401877816         2.8037139443         1.3812288851         1.6483646449         1.1286223287
        0.9004855000         0.1409767329         2.8041123421         1.3812288851         1.6483646449         1.1286223287
        0.9054159000         0.1417434213         2.8044995494         1.3888858657         1.6611240322         1.3280843014
        0.9104038000         0.1425189646         2.8048912803         1.3812288851         1.6585721547         1.1286223287
        0.9156624000         0.1433365029         2.8053042795         1.3812288851         1.6611240322         1.1286223287
        0.9204362000         0.1440785861         2.8056792109         1.3863335388         1.6764352970         1.2615969772
        0.9254520000         0.1448582008         2.8060731559         1.3786765582         1.6738834195         1.0621350045
        0.9304545000         0.1456356587         2.8064660636         1.3735719045         1.6687796646         0.9291603561
        0.9354281000         0.1464085359         2.8068567082         1.3735719045         1.6764352970         0.9291603561
        0.9404620000         0.1471906926         2.8072520956         1.3812288851         1.6840909293         1.1286223287
        0.9454859000         0.1479712037         2.8076467041         1.3888858657         1.6942984392         1.3280843014
        0.9504681000         0.1487451453         2.8080380434         1.3837812120         1.6942984392         1.1951096530
        0.9554113000         0.1495129386         2.8084263251         1.3761242314         1.6942984392         0.9956476803
        0.9604484000         0.1502952239         2.8088219883         1.3837812120         1.7045059490         1.1951096530
        0.9654882000         0.1510778345         2.8092178690         1.3837812120         1.7045059490         1.1951096530
        0.9704387000         0.1518464858         2.8096067404         1.3812288851         1.7070578265         1.1286223287
        0.9754763000         0.1526285666         2.8100024586         1.3837812120         1.7147134588         1.1951096530
        0.9804271000         0.1533970788         2.8103913631         1.3888858657         1.7300247236         1.3280843014
        0.9854249000         0.1541727926         2.8107839641         1.3786765582         1.7198172138         1.0621350045
        0.9904819000         0.1549575983         2.8111812198         1.3863335388         1.7300247236         1.2615969772
        0.9954245000         0.1557245554         2.8115694928         1.3888858657         1.7402322334         1.3280843014
        1.0004023000         0.1564968799         2.8119605346         1.3837812120         1.7402322334         1.1951096530
        1.0054188000         0.1572751119         2.8123546201         1.3888858657         1.7504397433         1.3280843014
        1.0104645000         0.1580577754         2.8127510029         1.3812288851         1.7478878658         1.1286223287
        1.0154132000         0.1588252963         2.8131397685         1.3761242314         1.7478878658         0.9956476803
        1.0204311000         0.1596034517         2.8135339732         1.3863335388         1.7555434982         1.2615969772
        1.0253968000         0.1603734147         2.8139240796         1.3914381925         1.7683028855         1.3945716257
        1.0304880000         0.1611627358         2.8143240477         1.3914381925         1.7683028855         1.3945716257
        1.0354687000         0.1619348257         2.8147153369         1.3812288851         1.7708547629         1.1286223287
        1.0404620000         0.1627087693         2.8151076179         1.3965428462         1.7836141502         1.5275462741
        1.0454388000         0.1634800559         2.8154986041         1.3863335388         1.7836141502         1.2615969772
        1.0504791000         0.1642610817         2.8158945804         1.3863335388         1.7836141502         1.2615969772
        1.0554531000         0.1650317329         2.8162853491         1.3812288851         1.7861660277         1.1286223287
        1.0604128000         0.1658000682         2.8166749952         1.3837812120         1.7912697826         1.1951096530
        1.0654749000         0.1665841631         2.8170726868         1.3863335388         1.8014772924         1.2615969772
        1.0704171000         0.1673495845         2.8174609591         1.3914381925         1.8116848023         1.3945716257
        1.0755163000         0.1681392154         2.8178615659         1.3914381925         1.8116848023         1.3945716257
        1.0804765000         0.1689072182         2.8182512523         1.3837812120         1.8193404347         1.1951096530
        1.0854299000         0.1696740658         2.8186404042         1.3812288851         1.8142366797         1.1286223287
        1.0904659000         0.1704535956         2.8190360448         1.3863335388         1.8295479445         1.2615969772
        1.0954253000         0.1712211641         2.8194256666         1.3837812120         1.8269960670         1.1951096530
        1.1004871000         0.1720044739         2.8198233322         1.3863335388         1.8397554543         1.2615969772
        1.1054917000         0.1727788252         2.8202165027         1.3863335388         1.8423073318         1.2615969772
        1.1104497000         0.1735458609         2.8206060107         1.3888858657         1.8397554543         1.3280843014
        1.1154214000         0.1743149104         2.8209965931         1.3863335388         1.8550667191         1.2615969772
        1.1204349000         0.1750903180         2.8213904574         1.3863335388         1.8499629642         1.2615969772
        1.1254346000         0.1758634832         2.8217832353         1.3939905194         1.8729298613         1.4610589499
        1.1304266000         0.1766353494         2.8221754057         1.3837812120         1.8627223515         1.1951096530
        1.1353979000         0.1774039070         2.8225659472         1.3888858657         1.8729298613         1.3280843014
        1.1404274000         0.1781813522         2.8229610578         1.3888858657         1.8805854937         1.3280843014
        1.1454525000         0.1789580061         2.8233558195         1.3863335388         1.8805854937         1.2615969772
        1.1504559000         0.1797311955         2.8237488730         1.3939905194         1.8907930035         1.4610589499
        1.1554566000         0.1805038567         2.8241417105         1.3939905194         1.9035523908         1.4610589499
        1.1604573000         0.1812764065         2.8245345441         1.4016475000         1.8958967584         1.6605209226
        1.1654323000         0.1820448750         2.8249253546         1.3914381925         1.9061042683         1.3945716257
        1.1704298000         0.1828167070         2.8253179282         1.3990951731         1.9163117781         1.5940335983
        1.1755847000         0.1836127304         2.8257228612         1.3939905194         1.9163117781         1.4610589499
        1.1804318000         0.1843611133         2.8261036107         1.3888858657         1.9188636556         1.3280843014
        1.1854324000         0.1851330843         2.8264964129         1.4016475000         1.9367267978         1.6605209226
        1.1904791000         0.1859120562         2.8268928307         1.3939905194         1.9341749203         1.4610589499
        1.1954327000         0.1866765443         2.8272819298         1.3914381925         1.9367267978         1.3945716257
        1.2004861000         0.1874563180         2.8276788622         1.4041998268         1.9469343076         1.7270082468
        1.2055164000         0.1882324099         2.8280739738         1.3939905194         1.9494861851         1.4610589499
        1.2104952000         0.1890004405         2.8284650338         1.3888858657         1.9520380625         1.3280843014
        1.2154475000         0.1897642685         2.8288540058         1.3990951731         1.9647974498         1.5940335983
        1.2204076000         0.1905291844         2.8292435837         1.4016475000         1.9750049597         1.6605209226
        1.2254455000         0.1913059798         2.8296392649         1.3965428462         1.9750049597         1.5275462741
        1.2304556000         0.1920783699         2.8300327553         1.3965428462         1.9852124695         1.5275462741
        1.2354839000         0.1928534462         2.8304276673         1.4041998268         1.9954199793         1.7270082468
        1.2404354000         0.1936165668         2.8308165398         1.3965428462         2.0005237343         1.5275462741
        1.2454778000         0.1943935764         2.8312125430         1.4016475000         2.0056274892         1.6605209226
        1.2504394000         0.1951580161         2.8316021923         1.3990951731         2.0056274892         1.5940335983
        1.2554941000         0.1959366780         2.8319991443         1.4016475000         2.0132831215         1.6605209226
        1.2604377000         0.1966981057         2.8323873626         1.3965428462         2.0158349990         1.5275462741
        1.2654698000         0.1974730426         2.8327825217         1.3914381925         2.0209387539         1.3945716257
        1.2704091000         0.1982335685         2.8331703841         1.3939905194         2.0336981412         1.4610589499
        1.2754292000         0.1990064132         2.8335645818         1.4016475000         2.0439056511         1.6605209226
        1.2804701000         0.1997823355         2.8339604028         1.3939905194         2.0464575285         1.4610589499
        1.2854808000         0.2005534852         2.8343538422         1.3965428462         2.0464575285         1.5275462741
        1.2904731000         0.2013216796         2.8347458266         1.3939905194         2.0490094060         1.4610589499
        1.2955126000         0.2020970113         2.8351415062         1.3965428462         2.0592169158         1.5275462741
        1.3004659000         0.2028589577         2.8355304070         1.3939905194         2.0592169158         1.4610589499
        1.3054437000         0.2036245491         2.8359212204         1.3990951731         2.0719763031         1.5940335983
        1.3104030000         0.2043871713         2.8363105702         1.4041998268         2.0847356904         1.7270082468
        1.3154133000         0.2051575102         2.8367039124         1.4041998268         2.0847356904         1.7270082468
        1.3204539000         0.2059323795         2.8370996213         1.3990951731         2.0898394453         1.5940335983
        1.3254181000         0.2066953781         2.8374893205         1.4067521537         2.1025988326         1.7934955710
        1.3304093000         0.2074623998         2.8378811269         1.3990951731         2.1025988326         1.5940335983
        1.3354975000         0.2082441967         2.8382805349         1.3939905194         2.1025988326         1.4610589499
        1.3404118000         0.2089991477         2.8386662797         1.4067521537         2.1230138523         1.7934955710
        1.3454682000         0.2097757986         2.8390631653         1.3939905194         2.1230138523         1.4610589499
        1.3504645000         0.2105430884         2.8394553202         1.3965428462         2.1204619748         1.5275462741
        1.3554110000         0.2113026025         2.8398435530         1.4041998268         2.1383251170         1.7270082468
        1.3604914000         0.2120825436         2.8402422810         1.4067521537         2.1434288720         1.7934955710
        1.3654909000         0.2128499331         2.8406346456         1.4041998268         2.1561882593         1.7270082468
        1.3704049000         0.2136040710         2.8410202860         1.3990951731         2.1561882593         1.5940335983
        1.3754268000         0.2143746365         2.8414143797         1.3965428462         2.1587401367         1.5275462741
        1.3803949000         0.2151368157         2.8418042368         1.4041998268         2.1638438916         1.7270082468
        1.3854701000         0.2159152902         2.8422024828         1.3939905194         2.1740514015         1.4610589499
