% Motor Sine Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 40.0000 [sec]
% Frequency    = 0.025000 [Hz]
% Cycles       = 3
% Duration     = 120.0000 [sec]
% K_lin        = 8.333100 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336844 [V]
% p_cw         = [-3.862900, 39.921500, -80.250500]
% p_ccw        = [3.553400, 1.935700, -22.689000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.0000045000         0.0000017671         2.5000000000         1.3352870017         3.1896986301        -0.0405572678         0.0000147258
        0.0463042000         0.0181834565         2.5000000000         1.3506009628         3.1948023851         0.3583666776         0.1515245613
        0.0475753000         0.0186826027         2.5000000000         1.3429439823         3.1973542625         0.1589047049         0.1556839968
        0.0490163000         0.0192484658         2.5000000000         1.3429439823         3.1948023851         0.1589047049         0.1603993905
        0.0503514000         0.0197727424         2.5000000000         1.3403916554         3.1948023851         0.0924173807         0.1647682396
        0.0515864000         0.0202577102         2.5000000000         1.3352870017         3.1896986301        -0.0405572678         0.1688095250
        0.0531171000         0.0208587944         2.5000000000         1.3429439823         3.1973542625         0.1589047049         0.1738184194
        0.0546626000         0.0214656891         2.5000000000         1.3378393285         3.1896986301         0.0259300564         0.1788757335
        0.0558124000         0.0219171975         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.1826381982
        0.0582186000         0.0228620721         2.5000000000         1.3352870017         3.1922505076        -0.0405572678         0.1905119330
        0.0600694000         0.0235888482         2.5000000000         1.3429439823         3.1948023851         0.1589047049         0.1965682308
        0.0610994000         0.0239933099         2.5000000000         1.3429439823         3.1948023851         0.1589047049         0.1999386509
        0.0619841000         0.0243407146         2.5000000000         1.3403916554         3.1973542625         0.0924173807         0.2028336086
        0.0650077000         0.0255280204         2.5000000000         1.3429439823         3.1948023851         0.1589047049         0.2127275472
        0.0700070000         0.0274911305         2.5000000000         1.3352870017         3.1896986301        -0.0405572678         0.2290863399
        0.0750071000         0.0294545378         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.2454476090
        0.0800051000         0.0314171023         2.5000000000         1.3352870017         3.1896986301        -0.0405572678         0.2618018553
        0.0850063000         0.0333809040         2.5000000000         1.3403916554         3.1973542625         0.0924173807         0.2781664110
        0.0900041000         0.0353433500         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.2945196699
        0.0950073000         0.0373078946         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.3108904163
        0.1000046000         0.0392700995         2.5000000000         1.3378393285         3.1896986301         0.0259300564         0.3272416659
        0.1050060000         0.0412338900         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.3436061289
        0.1100042000         0.0431963987         2.5000000000         1.3403916554         3.1948023851         0.0924173807         0.3599599097
        0.1150151000         0.0451638671         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.3763550213
        0.1200057000         0.0471233373         2.5000000000         1.3352870017         3.1896986301        -0.0405572678         0.3926834819
        0.1250068000         0.0490869010         2.5000000000         1.3352870017         3.1922505076        -0.0405572678         0.4090460546
        0.1300068000         0.0510500025         2.5000000000         1.3403916554         3.1948023851         0.0924173807         0.4254047761
        0.1350109000         0.0530146823         2.5000000000         1.3403916554         3.1973542625         0.0924173807         0.4417766490
        0.1400053000         0.0549755210         2.5000000000         1.3301823480         3.1845948752        -0.1735319162         0.4581165143
        0.1450139000         0.0569419008         2.5000000000         1.3352870017         3.1871467527        -0.0405572678         0.4745025537
        0.1500099000         0.0589032987         2.5000000000         1.3403916554         3.1948023851         0.0924173807         0.4908470786
        0.1550054000         0.0608644641         2.7600202549         1.3301823480         3.1845948752        -0.1735319162         0.5071896655
        0.1600033000         0.0628265341         2.7608995427         1.3403916554         3.1973542625         0.0924173807         0.5235397914
        0.1650046000         0.0647899002         2.7617797329         1.3301823480         3.1845948752        -0.1735319162         0.5399007170
        0.1700060000         0.0667532655         2.7626602450         1.3352870017         3.1896986301        -0.0405572678         0.5562616365
        0.1750053000         0.0687157652         2.7635406913         1.3301823480         3.1845948752        -0.1735319162         0.5726153433
        0.1800061000         0.0706788114         2.7644217054         1.3352870017         3.1896986301        -0.0405572678         0.5889736035
        0.1850043000         0.0726407934         2.7653025649         1.3301823480         3.1845948752        -0.1735319162         0.6053229958
        0.1900051000         0.0746037512         2.7661841858         1.3301823480         3.1845948752        -0.1735319162         0.6216805193
        0.1950142000         0.0765699208         2.7670675738         1.3327346748         3.1820429978        -0.1070445920         0.6380648074
        0.2000072000         0.0785297237         2.7679484250         1.3684672508         3.1922505076         0.8237779472         0.6543960408
        0.2050099000         0.0804932855         2.7688312901         1.3735719045         3.1922505076         0.9567525956         0.6707585976
        0.2100052000         0.0824538932         2.7697131513         1.3633625971         3.1999061400         0.6908032987         0.6870965375
        0.2150143000         0.0844198663         2.7705977516         1.3837812120         3.2075617724         1.2227018925         0.7034791878
        0.2200071000         0.0863793899         2.7714797750         1.3710195777         3.2075617724         0.8902652714         0.7198080943
        0.2250126000         0.0883438446         2.7723643440         1.3761242314         3.2152174047         1.0232399198         0.7361780915
        0.2300046000         0.0903029467         2.7732468283         1.3837812120         3.2254249146         1.2227018925         0.7525034851
        0.2350101000         0.0922672911         2.7741320007         1.3659149240         3.2152174047         0.7572906229         0.7688725633
        0.2400051000         0.0942274580         2.7750156172         1.3863335388         3.2305286695         1.2891892168         0.7852068304
        0.2450119000         0.0961921974         2.7759016225         1.3684672508         3.2254249146         0.8237779472         0.8015791998
