% Motor Sine Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 40.0000 [sec]
% Frequency    = 0.025000 [Hz]
% Cycles       = 5
% Duration     = 200.0000 [sec]
% K_lin        = 8.127800 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.337023 [V]
% p_cw         = [-2.621900, 30.449800, -63.426600]
% p_ccw        = [2.394600, 4.751300, -23.293900]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.2450060000         0.0961898822         2.7687470073         1.3378393285         2.9396146392         0.0212759438         0.7818121242
        0.2500155000         0.0981556215         2.7697500661         1.3582579434         2.9370627617         0.5531745376         0.7977892608
        0.2550157000         0.1001176510         2.7707515623         1.3837812120         2.9396146392         1.2180477798         0.8137362436
        0.2600063000         0.1020758519         2.7717514338         1.3659149240         2.9523740265         0.7526365102         0.8296521090
        0.2650149000         0.1040410525         2.7727552106         1.3786765582         2.9625815363         1.0850731314         0.8456248667
        0.2700148000         0.1060027754         2.7737575424         1.3837812120         2.9651334138         1.2180477798         0.8615693576
        0.2750162000         0.1079650213         2.7747604730         1.3659149240         2.9549259039         0.7526365102         0.8775181002
        0.2800068000         0.1099229636         2.7757615346         1.3735719045         2.9651334138         0.9520984829         0.8934318633
        0.2850047000         0.1118837021         2.7767643574         1.3888858657         2.9778928011         1.3510224283         0.9093683540
        0.2900127000         0.1138483338         2.7777695043         1.3761242314         2.9753409236         1.0185858072         0.9253364878
        0.2950065000         0.1158073248         2.7787720975         1.3761242314         2.9702371687         1.0185858072         0.9412587743
        0.3000142000         0.1177716969         2.7797777782         1.3812288851         2.9804446785         1.1515604556         0.9572247981
        0.3050057000         0.1197296417         2.7807805010         1.3863335388         2.9906521883         1.2845351041         0.9731385822
        0.3100099000         0.1216924944         2.7817860708         1.3812288851         2.9906521883         1.1515604556         0.9890922556
        0.3150060000         0.1236520948         2.7827903080         1.3888858657         2.9957559433         1.3510224283         1.0050194961
        0.3200110000         0.1256151097         2.7837966296         1.3837812120         2.9983078207         1.2180477798         1.0209744885
        0.3250054000         0.1275738897         2.7848011142         1.3837812120         2.9983078207         1.2180477798         1.0368950611
        0.3300101000         0.1295366307         2.7858079650         1.3837812120         3.0034115756         1.2180477798         1.0528478267
        0.3350049000         0.1314954092         2.7868131178         1.3888858657         3.0161709629         1.3510224283         1.0687683867
        0.3400133000         0.1334594398         2.7878213018         1.3863335388         3.0263784728         1.2845351041         1.0847316352
        0.3450066000         0.1354174669         2.7888267392         1.3914381925         3.0340341051         1.4175097525         1.1006460872
        0.3500124000         0.1373803119         2.7898349870         1.3837812120         3.0289303502         1.2180477798         1.1165996990
        0.3550049000         0.1393378572         2.7908408481         1.3837812120         3.0340341051         1.2180477798         1.1325102358
        0.3600047000         0.1412981789         2.7918484722         1.3863335388         3.0442416150         1.2845351041         1.1484433388
        0.3650027000         0.1432577078         2.7928560254         1.3888858657         3.0416897375         1.3510224283         1.1643699977
        0.3700130000         0.1452219705         2.7938663508         1.3863335388         3.0467934924         1.2845351041         1.1803351315
        0.3750054000         0.1471791260         2.7948733577         1.3914381925         3.0595528797         1.4175097525         1.1962425005
        0.3800111000         0.1491414047         2.7958833387         1.3965428462         3.0646566347         1.5504844010         1.2121915089
        0.3850070000         0.1510997497         2.7968916329         1.3863335388         3.0646566347         1.2845351041         1.2281085456
