% Sweep Step 122/200  Vcmd=1.4500V  CCW
% Vg_offset=1.338056V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0004157000         1.4500000000         1.3352870017         2.0668725482        -0.0721387468
        0.0054107000         1.4500000000         1.3352870017         2.0719763031        -0.0721387468
        0.0105134000         1.4500000000         1.3327346748         2.0694244256        -0.1386260710
        0.0154017000         1.4500000000         1.3352870017         2.0745281806        -0.0721387468
        0.0204080000         1.4500000000         1.1566241217         2.0694244256        -4.7262514427
        0.0254023000         1.4500000000         1.1642811023         2.0541131609        -4.5267894700
        0.0304085000         1.4500000000         1.1770427366         2.0362500187        -4.1943528488
        0.0354228000         1.4500000000         1.1157868920         2.0107312441        -5.7900486303
        0.0404467000         1.4500000000         1.1157868920         1.9826605920        -5.7900486303
        0.0454610000         1.4500000000         1.1030252578         1.9647974498        -6.1224852514
        0.0504464000         1.4500000000         1.0953682772         1.9469343076        -6.3219472241
        0.0554245000         1.4500000000         1.0851589698         1.9163117781        -6.5878965210
        0.0605414000         1.4500000000         1.1004729309         1.8907930035        -6.1889725756
        0.0654146000         1.4500000000         1.0570833743         1.8576185965        -7.3192570875
        0.0704775000         1.4500000000         1.0698450086         1.8423073318        -6.9868204664
        0.0754196000         1.4500000000         1.0417694132         1.8065810474        -7.7181810329
        0.0804581000         1.4500000000         1.0545310475         1.7759585179        -7.3857444117
        0.0854009000         1.4500000000         1.0417694132         1.7555434982        -7.7181810329
        0.0904635000         1.4500000000         1.0392170863         1.7223690912        -7.7846683571
        0.0954924000         1.4500000000         1.0239031252         1.6891946843        -8.1835923024
        0.1004500000         1.4500000000         1.0290077789         1.6585721547        -8.0506176540
        0.1054767000         1.4500000000         1.0239031252         1.6279496252        -8.1835923024
        0.1104847000         1.4500000000         1.0136938178         1.5973270957        -8.4495415993
        0.1157817000         1.4500000000         1.0290077789         1.5692564437        -8.0506176540
        0.1204454000         1.4500000000         1.0162461446         1.5411857916        -8.3830542751
        0.1254004000         1.4500000000         1.0187984715         1.5105632621        -8.3165669509
        0.1303949000         1.4500000000         1.0136938178         1.4824926101        -8.4495415993
        0.1354446000         1.4500000000         1.0060368372         1.4416625707        -8.6490035720
        0.1404509000         1.4500000000         1.0034845104         1.4033844088        -8.7154908963
        0.1454538000         1.4500000000         0.9779612418         1.3676581244        -9.3803641385
        0.1504662000         1.4500000000         1.0009321835         1.3421393498        -8.7819782205
        0.1554563000         1.4500000000         0.9830658955         1.3013093105        -9.2473894901
        0.1604434000         1.4500000000         0.9907228761         1.2783424134        -9.0479275174
        0.1654439000         1.4500000000         0.9881705492         1.2426161289        -9.1144148416
        0.1704188000         1.4500000000         0.9881705492         1.2068898445        -9.1144148416
        0.1754138000         1.4500000000         0.9805135686         1.1660598052        -9.3138768143
        0.1803960000         1.4500000000         0.9754089149         1.1303335207        -9.4468514627
        0.1853947000         1.4500000000         0.9626472806         1.0920553588        -9.7792880839
        0.1903978000         1.4500000000         0.9805135686         1.0588809519        -9.3138768143
        0.1954181000         1.4500000000         0.9651996075         1.0257065449        -9.7128007597
        0.2004560000         1.4500000000         0.9779612418         0.9899802605        -9.3803641385
        0.2054131000         1.4500000000         0.9600949538         0.9389427113        -9.8457754081
        0.2104397000         1.4500000000         0.9626472806         0.9083201818        -9.7792880839
        0.2154288000         1.4500000000         0.9830658955         0.8725938974        -9.2473894901
        0.2204047000         1.4500000000         0.9575426269         0.8317638580        -9.9122627323
        0.2254537000         1.4500000000         0.9703042612         0.7960375736        -9.5798261112
        0.2304483000         1.4500000000         0.9524379732         0.7577594117       -10.0452373808
        0.2355019000         1.4500000000         0.9600949538         0.7194812498        -9.8457754081
        0.2404882000         1.4500000000         0.9498856464         0.6786512105       -10.1117247050
        0.2454829000         1.4500000000         0.9575426269         0.6352692937        -9.9122627323
        0.2504681000         1.4500000000         0.9447809927         0.6046467642       -10.2446993535
        0.2555176000         1.4500000000         0.9626472806         0.5663686023        -9.7792880839
        0.2604834000         1.4500000000         0.9524379732         0.5280904404       -10.0452373808
        0.2655058000         1.4500000000         0.9498856464         0.4821566461       -10.1117247050
        0.2704039000         1.4500000000         0.9549903001         0.4413266068        -9.9787500566
        0.2754136000         1.4500000000         0.9473333195         0.4030484449       -10.1782120292
        0.2803995000         1.4500000000         0.9396763389         0.3545627732       -10.3776740019
        0.2854872000         1.4500000000         0.9371240121         0.3213883662       -10.4441613261
        0.2903880000         1.4500000000         0.9498856464         0.2805583269       -10.1117247050
        0.2954962000         1.4500000000         0.9269147047         0.2397282875       -10.7101106231
        0.3004116000         1.4500000000         0.9396763389         0.1963463707       -10.3776740019
        0.3054547000         1.4500000000         0.9345716852         0.1529644539       -10.5106486504
        0.3104399000         1.4500000000         0.9269147047         0.1121344146       -10.7101106231
        0.3153943000         1.4500000000         0.9269147047         0.0585449879       -10.7101106231
        0.3204236000         1.4500000000         0.9422286658         0.0304743359       -10.3111866777
        0.3254694000         1.4500000000         0.9218100509        -0.0052519485       -10.8430852715
        0.3304478000         1.4500000000         0.9243623778        -0.0052519485       -10.7765979473
        0.3355386000         1.4500000000         0.9396763389         0.0024036839       -10.3776740019
        0.3405192000         1.4500000000         0.9320193584         1.1201260109       -10.5771359746
        0.3455283000         1.4500000000         0.9167053972         4.9913241162       -10.9760599200
        0.3504791000         1.4500000000         0.9371240121         5.0066353810       -10.4441613261
        0.3554772000         1.4500000000         0.9090484167         4.9989797486       -11.1755218926
        0.3604341000         1.4500000000         0.9294670315         4.9938759937       -10.6436232988
        0.3654492000         1.4500000000         0.9243623778         4.9581497092       -10.7765979473
        0.3704723000         1.4500000000         0.9294670315         4.9173196699       -10.6436232988
        0.3754570000         1.4500000000         0.9167053972         4.8713858756       -10.9760599200
        0.3804623000         1.4500000000         0.9320193584         4.8331077137       -10.5771359746
        0.3856242000         1.4500000000         0.9167053972         4.7897257969       -10.9760599200
        0.3905298000         1.4500000000         0.9243623778         4.7488957576       -10.7765979473
        0.3954011000         1.4500000000         0.9218100509         4.6978582084       -10.8430852715
        0.4004981000         1.4500000000         0.9013914361         4.6468206592       -11.3749838653
        0.4064921000         1.4500000000         0.9141530704         4.6034387424       -11.0425472442
        0.4104455000         1.4500000000         0.9167053972         4.5651605806       -10.9760599200
        0.4154203000         1.4500000000         0.9039437630         4.5217786637       -11.3084965411
        0.4204909000         1.4500000000         0.9116007435         4.4758448695       -11.1090345684
        0.4254764000         1.4500000000         0.9141530704         4.4299110752       -11.0425472442
        0.4304498000         1.4500000000         0.9141530704         4.3890810359       -11.0425472442
        0.4354918000         1.4500000000         0.9064960898         4.3431472416       -11.2420092169
        0.4404943000         1.4500000000         0.9116007435         4.2972134474       -11.1090345684
        0.4454438000         1.4500000000         0.8988391092         4.2614871629       -11.4414711895
        0.4505006000         1.4500000000         0.9116007435         4.2078977363       -11.1090345684
        0.4554240000         1.4500000000         0.9039437630         4.1721714519       -11.3084965411
        0.4604388000         1.4500000000         0.9167053972         4.1287895351       -10.9760599200
        0.4654749000         1.4500000000         0.9192577241         4.0905113732       -10.9095725957
        0.4704904000         1.4500000000         0.8835251481         4.0343700691       -11.8403951349
        0.4754022000         1.4500000000         0.9116007435         3.9960919072       -11.1090345684
        0.4804220000         1.4500000000         0.9013914361         3.9501581129       -11.3749838653
        0.4854867000         1.4500000000         0.8784204944         3.9016724412       -11.9733697834
        0.4904242000         1.4500000000         0.9141530704         3.8659461568       -11.0425472442
        0.4954379000         1.4500000000         0.8937344555         3.8149086076       -11.5744458380
        0.5005136000         1.4500000000         0.9013914361         3.7689748133       -11.3749838653
        0.5054631000         1.4500000000         0.9013914361         3.7306966515       -11.3749838653
        0.5104437000         1.4500000000         0.8784204944         3.6898666121       -11.9733697834
        0.5154255000         1.4500000000         0.9167053972         3.6541403277       -10.9760599200
        0.5204523000         1.4500000000         0.9064960898         3.6056546560       -11.2420092169
        0.5254444000         1.4500000000         0.8962867824         3.5622727392       -11.5079585138
        0.5304615000         1.4500000000         0.9039437630         3.5137870674       -11.3084965411
        0.5354172000         1.4500000000         0.8962867824         3.4780607830       -11.5079585138
        0.5404214000         1.4500000000         0.8937344555         3.4244713564       -11.5744458380
        0.5454017000         1.4500000000         0.9167053972         3.3861931945       -10.9760599200
        0.5504226000         1.4500000000         0.8937344555         3.3428112777       -11.5744458380
        0.5554238000         1.4500000000         0.9039437630         3.2943256060       -11.3084965411
        0.5604138000         1.4500000000         0.9039437630         3.2560474441       -11.3084965411
        0.5654483000         1.4500000000         0.8962867824         3.2075617724       -11.5079585138
        0.5704954000         1.4500000000         0.9013914361         3.1641798556       -11.3749838653
        0.5754593000         1.4500000000         0.9090484167         3.1259016937       -11.1755218926
        0.5804325000         1.4500000000         0.8962867824         3.0748641445       -11.5079585138
        0.5854061000         1.4500000000         0.9243623778         3.0391378601       -10.7765979473
        0.5904867000         1.4500000000         0.8860774750         2.9906521883       -11.7739078107
        0.5954032000         1.4500000000         0.8962867824         2.9447183941       -11.5079585138
        0.6004648000         1.4500000000         0.9116007435         2.9038883547       -11.1090345684
        0.6053971000         1.4500000000         0.8784204944         2.8579545605       -11.9733697834
        0.6104180000         1.4500000000         0.9243623778         2.8222282761       -10.7765979473
        0.6154027000         1.4500000000         0.8962867824         2.7813982367       -11.5079585138
        0.6204916000         1.4500000000         0.8937344555         2.7303606875       -11.5744458380
        0.6254878000         1.4500000000         0.9141530704         2.6818750158       -11.0425472442
        0.6304026000         1.4500000000         0.8835251481         2.6410449765       -11.8403951349
        0.6353922000         1.4500000000         0.8962867824         2.5976630597       -11.5079585138
        0.6404125000         1.4500000000         0.9141530704         2.5670405302       -11.0425472442
        0.6454394000         1.4500000000         0.8962867824         2.5211067359       -11.5079585138
        0.6503980000         1.4500000000         0.9218100509         2.4802766965       -10.8430852715
        0.6554178000         1.4500000000         0.9039437630         2.4292391474       -11.3084965411
        0.6604285000         1.4500000000         0.9013914361         2.3935128629       -11.3749838653
        0.6654280000         1.4500000000         0.9218100509         2.3501309461       -10.8430852715
        0.6704645000         1.4500000000         0.9090484167         2.3016452744       -11.1755218926
        0.6754153000         1.4500000000         0.9039437630         2.2557114802       -11.3084965411
        0.6803986000         1.4500000000         0.9116007435         2.2097776859       -11.1090345684
        0.6854802000         1.4500000000         0.8937344555         2.1714995240       -11.5744458380
        0.6905841000         1.4500000000         0.9192577241         2.1281176072       -10.9095725957
        0.6954505000         1.4500000000         0.9064960898         2.0872875679       -11.2420092169
        0.7004427000         1.4500000000         0.8962867824         2.0413537736       -11.5079585138
        0.7054626000         1.4500000000         0.9090484167         1.9979718568       -11.1755218926
        0.7105220000         1.4500000000         0.9013914361         1.9545899400       -11.3749838653
        0.7154712000         1.4500000000         0.9013914361         1.9112080232       -11.3749838653
        0.7204889000         1.4500000000         0.9167053972         1.8729298613       -10.9760599200
        0.7254983000         1.4500000000         0.9039437630         1.8320998220       -11.3084965411
        0.7304415000         1.4500000000         0.9141530704         1.7963735375       -11.0425472442
        0.7354579000         1.4500000000         0.9218100509         1.7478878658       -10.8430852715
        0.7404360000         1.4500000000         0.8962867824         1.7121615814       -11.5079585138
        0.7456051000         1.4500000000         0.9116007435         1.6585721547       -11.1090345684
        0.7504168000         1.4500000000         0.9116007435         1.6253977478       -11.1090345684
        0.7554183000         1.4500000000         0.8962867824         1.5794639535       -11.5079585138
        0.7604836000         1.4500000000         0.9371240121         1.5462895465       -10.4441613261
        0.7654170000         1.4500000000         0.8988391092         1.4875963650       -11.4414711895
        0.7704598000         1.4500000000         0.9116007435         1.4544219580       -11.1090345684
        0.7754784000         1.4500000000         0.9090484167         1.4084881638       -11.1755218926
        0.7804974000         1.4500000000         0.9141530704         1.3702100019       -11.0425472442
        0.7854189000         1.4500000000         0.8937344555         1.3191724527       -11.5744458380
        0.7903973000         1.4500000000         0.9192577241         1.2834461683       -10.9095725957
        0.7954624000         1.4500000000         0.9064960898         1.2426161289       -11.2420092169
        0.8004593000         1.4500000000         0.9192577241         1.2068898445       -10.9095725957
        0.8054981000         1.4500000000         0.9141530704         1.1584041728       -11.0425472442
