% Sweep Step 73/200  Vcmd=2.8700V  CW
% Vg_offset=1.338056V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0005952000         2.8700000000         1.3429439823         3.5928952687         0.1273232259
        0.0057025000         2.8700000000         1.3378393285         3.5877915138        -0.0056514226
        0.0105295000         2.8700000000         1.3301823480         3.5852396363        -0.2051133952
        0.0155550000         2.8700000000         1.3327346748         3.5826877588        -0.1386260710
        0.0204505000         2.8700000000         1.3429439823         3.5928952687         0.1273232259
        0.0257273000         2.8700000000         1.3378393285         3.5903433912        -0.0056514226
        0.0308003000         2.8700000000         1.3403916554         3.5877915138         0.0608359017
        0.0356469000         2.8700000000         1.3939905194         3.5954471461         1.4570697104
        0.0407322000         2.8700000000         1.3965428462         3.5954471461         1.5235570347
        0.0457169000         2.8700000000         1.3735719045         3.5979990236         0.9251711166
        0.0505294000         2.8700000000         1.3837812120         3.6031027785         1.1911204135
        0.0556989000         2.8700000000         1.3965428462         3.6158621658         1.5235570347
        0.0604339000         2.8700000000         1.3863335388         3.6235177982         1.2576077377
        0.0655116000         2.8700000000         1.4118568074         3.6337253080         1.9224809800
        0.0706730000         2.8700000000         1.4016475000         3.6439328179         1.6565316831
        0.0755415000         2.8700000000         1.4016475000         3.6464846953         1.6565316831
        0.0804246000         2.8700000000         1.3965428462         3.6490365728         1.5235570347
        0.0855398000         2.8700000000         1.4016475000         3.6541403277         1.6565316831
        0.0904843000         2.8700000000         1.3888858657         3.6541403277         1.3240950620
        0.0955333000         2.8700000000         1.3914381925         3.6566922051         1.3905823862
        0.1004290000         2.8700000000         1.3965428462         3.6643478375         1.5235570347
        0.1054652000         2.8700000000         1.3990951731         3.6771072248         1.5900443589
        0.1105046000         2.8700000000         1.4067521537         3.6898666121         1.7895063316
        0.1155821000         2.8700000000         1.4016475000         3.6949703670         1.6565316831
        0.1204554000         2.8700000000         1.4016475000         3.6975222445         1.6565316831
        0.1254562000         2.8700000000         1.3939905194         3.7026259994         1.4570697104
        0.1305156000         2.8700000000         1.4067521537         3.7102816318         1.7895063316
        0.1354514000         2.8700000000         1.4041998268         3.7230410191         1.7230190073
        0.1404153000         2.8700000000         1.3965428462         3.7128335092         1.5235570347
        0.1453921000         2.8700000000         1.3939905194         3.7179372642         1.4570697104
        0.1503919000         2.8700000000         1.3990951731         3.7332485289         1.5900443589
        0.1554141000         2.8700000000         1.4041998268         3.7409041613         1.7230190073
        0.1604661000         2.8700000000         1.4067521537         3.7460079162         1.7895063316
        0.1653922000         2.8700000000         1.4041998268         3.7511116711         1.7230190073
        0.1704331000         2.8700000000         1.4041998268         3.7613191810         1.7230190073
        0.1755222000         2.8700000000         1.3939905194         3.7613191810         1.4570697104
        0.1803969000         2.8700000000         1.4041998268         3.7740785683         1.7230190073
        0.1854295000         2.8700000000         1.4067521537         3.7842860781         1.7895063316
        0.1904544000         2.8700000000         1.4041998268         3.7842860781         1.7230190073
        0.1954277000         2.8700000000         1.4067521537         3.7995973429         1.7895063316
        0.2005401000         2.8700000000         1.4118568074         3.8021492203         1.9224809800
        0.2056572000         2.8700000000         1.4144091342         3.8072529752         1.9889683042
        0.2105450000         2.8700000000         1.4041998268         3.8123567301         1.7230190073
        0.2156789000         2.8700000000         1.4093044805         3.8200123625         1.8559936558
        0.2204364000         2.8700000000         1.3990951731         3.8200123625         1.5900443589
        0.2254267000         2.8700000000         1.4093044805         3.8302198724         1.8559936558
        0.2304863000         2.8700000000         1.4093044805         3.8480830146         1.8559936558
        0.2354484000         2.8700000000         1.4169614611         3.8557386469         2.0554556285
        0.2404418000         2.8700000000         1.4067521537         3.8557386469         1.7895063316
        0.2454303000         2.8700000000         1.4093044805         3.8633942793         1.8559936558
        0.2504359000         2.8700000000         1.4144091342         3.8761536666         1.9889683042
        0.2555098000         2.8700000000         1.4169614611         3.8838092990         2.0554556285
        0.2604329000         2.8700000000         1.4067521537         3.8838092990         1.7895063316
        0.2654309000         2.8700000000         1.4118568074         3.8914649314         1.9224809800
        0.2704311000         2.8700000000         1.4144091342         3.9042243187         1.9889683042
        0.2754295000         2.8700000000         1.4220661148         3.9093280736         2.1884302769
        0.2804302000         2.8700000000         1.3990951731         3.9118799510         1.5900443589
        0.2854333000         2.8700000000         1.4144091342         3.9169837060         1.9889683042
        0.2904393000         2.8700000000         1.4144091342         3.9322949707         1.9889683042
        0.2954315000         2.8700000000         1.4016475000         3.9246393383         1.6565316831
        0.3006132000         2.8700000000         1.4144091342         3.9450543580         1.9889683042
        0.3055350000         2.8700000000         1.4144091342         3.9527099904         1.9889683042
        0.3104518000         2.8700000000         1.4169614611         3.9527099904         2.0554556285
        0.3154299000         2.8700000000         1.4093044805         3.9603656228         1.8559936558
        0.3204667000         2.8700000000         1.4195137880         3.9756768875         2.1219429527
        0.3254295000         2.8700000000         1.4067521537         3.9680212551         1.7895063316
        0.3304428000         2.8700000000         1.4067521537         3.9807806424         1.7895063316
        0.3354384000         2.8700000000         1.4093044805         3.9858843974         1.8559936558
        0.3408430000         2.8700000000         1.4067521537         3.9960919072         1.7895063316
        0.3454307000         2.8700000000         1.4195137880         4.0139550494         2.1219429527
        0.3505101000         2.8700000000         1.4195137880         4.0216106818         2.1219429527
        0.3554692000         2.8700000000         1.4195137880         4.0267144367         2.1219429527
        0.3607392000         2.8700000000         1.4067521537         4.0241625592         1.7895063316
        0.3654420000         2.8700000000         1.4144091342         4.0369219465         1.9889683042
        0.3707008000         2.8700000000         1.4246184417         4.0522332113         2.2549176011
        0.3754359000         2.8700000000         1.4195137880         4.0573369662         2.1219429527
        0.3804953000         2.8700000000         1.4195137880         4.0624407211         2.1219429527
        0.3854295000         2.8700000000         1.4195137880         4.0752001084         2.1219429527
        0.3904504000         2.8700000000         1.4195137880         4.0803038633         2.1219429527
        0.3954375000         2.8700000000         1.4169614611         4.0905113732         2.0554556285
        0.4004283000         2.8700000000         1.4067521537         4.0854076183         1.7895063316
        0.4054724000         2.8700000000         1.4118568074         4.0981670056         1.9224809800
        0.4104350000         2.8700000000         1.4144091342         4.1032707605         1.9889683042
        0.4155643000         2.8700000000         1.4195137880         4.1134782703         2.1219429527
        0.4204307000         2.8700000000         1.4118568074         4.1185820252         1.9224809800
        0.4254306000         2.8700000000         1.4067521537         4.1236857801         1.7895063316
        0.4304462000         2.8700000000         1.4041998268         4.1338932900         1.7230190073
        0.4354746000         2.8700000000         1.4169614611         4.1517564322         2.0554556285
        0.4404274000         2.8700000000         1.4041998268         4.1492045547         1.7230190073
