% Motor Sweep Step 31/50
% Vcmd       = 4.1000 [V]
% Direction  = CW
% Vg_offset  = 1.334866 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000079000         4.1000000000         1.3352870017         1.5820158310         0.0109704085
        0.0050073000         4.1000000000         1.3378393285         1.5794639535         0.0774577327
        0.0100065000         4.1000000000         1.3352870017         1.5794639535         0.0109704085
        0.0150046000         4.1000000000         1.4067521537         1.5896714634         1.8726154868
        0.0200068000         4.1000000000         1.6415662245         1.6075346056         7.9894493157
        0.0250075000         4.1000000000         1.5981766679         1.6305015027         6.8591648038
        0.0300048000         4.1000000000         1.6339092439         1.6662277871         7.7899873430
        0.0350047000         4.1000000000         1.7232406839         1.6994021941        10.1170436910
        0.0400053000         4.1000000000         1.6824034542         1.7249209687         9.0532465033
        0.0450145000         4.1000000000         1.7104790496         1.7606472531         9.7846070698
        0.0500049000         4.1000000000         1.7717348941         1.8116848023        11.3803028513
        0.0550053000         4.1000000000         1.7691825673         1.8525148416        11.3138155270
        0.0600059000         4.1000000000         1.7768395479         1.8907930035        11.5132774997
        0.0650039000         4.1000000000         1.8049151433         1.9341749203        12.2446380662
        0.0700036000         4.1000000000         1.7896011821         1.9750049597        11.8457141208
        0.0750064000         4.1000000000         1.8100197970         2.0260425088        12.3776127147
        0.0800045000         4.1000000000         1.8329907387         2.0719763031        12.9759986327
        0.0850073000         4.1000000000         1.8304384118         2.1281176072        12.9095113085
        0.0900068000         4.1000000000         1.8457523730         2.1791551564        13.3084352538
        0.0950034000         4.1000000000         1.8738279684         2.2352964605        14.0397958203
        0.1000045000         4.1000000000         1.8483046998         2.2837821322        13.3749225781
        0.1050136000         4.1000000000         1.8687233147         2.3450271912        13.9068211719
        0.1100086000         4.1000000000         1.8763802953         2.3884091080        14.1062831446
        0.1150045000         4.1000000000         1.8865896027         2.4496541670        14.3722324415
        0.1200082000         4.1000000000         1.8738279684         2.4904842064        14.0397958203
        0.1250085000         4.1000000000         1.8891419295         2.5466255105        14.4387197657
        0.1300067000         4.1000000000         1.8738279684         2.6027668146        14.0397958203
        0.1350050000         4.1000000000         1.8993512370         2.6589081187        14.7046690626
        0.1400049000         4.1000000000         1.8942465832         2.7201531777        14.5716944141
        0.1450048000         4.1000000000         1.8967989101         2.7711907269        14.6381817384
        0.1500058000         4.1000000000         1.9172175250         2.8426432957        15.1700803322
        0.1550052000         4.1000000000         1.9095605444         2.8911289674        14.9706183595
        0.1600058000         4.1000000000         1.9070082175         2.9523740265        14.9041310353
        0.1650120000         4.1000000000         1.9223221787         3.0085153306        15.3030549806
        0.1700036000         4.1000000000         1.9121128712         3.0646566347        15.0371056837
        0.1750076000         4.1000000000         1.9274268324         3.1233498162        15.4360296291
        0.1800051000         4.1000000000         1.9223221787         3.1820429978        15.3030549806
        0.1850045000         4.1000000000         1.9325314861         3.2432880568        15.5690042775
        0.1900067000         4.1000000000         1.9350838130         3.3045331158        15.6354916018
        0.1950037000         4.1000000000         1.9350838130         3.3581225424        15.6354916018
        0.2000053000         4.1000000000         1.9274268324         3.4219194789        15.4360296291
        0.2050031000         4.1000000000         1.9350838130         3.4806126605        15.6354916018
        0.2100050000         4.1000000000         1.9350838130         3.5418577195        15.6354916018
        0.2150088000         4.1000000000         1.9376361398         3.6082065334        15.7019789260
        0.2200069000         4.1000000000         1.9529501009         3.6694515924        16.1009028714
        0.2250043000         4.1000000000         1.9503977741         3.7255928965        16.0344155471
        0.2300056000         4.1000000000         1.9503977741         3.7842860781        16.0344155471
        0.2350036000         4.1000000000         1.9555024278         3.8455311371        16.1673901956
        0.2400046000         4.1000000000         1.9631594084         3.9118799510        16.3668521683
        0.2450034000         4.1000000000         1.9503977741         3.9654693777        16.0344155471
        0.2500047000         4.1000000000         1.9606070815         4.0318181916        16.3003648440
        0.2550071000         4.1000000000         1.9580547547         4.0905113732        16.2338775198
        0.2600062000         4.1000000000         1.9555024278         4.1492045547        16.1673901956
        0.2650050000         4.1000000000         1.9733687158         4.2257608785        16.6328014652
        0.2700061000         4.1000000000         1.9682640621         4.2921096924        16.4998268167
        0.2750038000         4.1000000000         1.9529501009         4.3456991191        16.1009028714
        0.2800056000         4.1000000000         1.9529501009         4.4043923006        16.1009028714
        0.2850054000         4.1000000000         1.9580547547         4.4783967469        16.2338775198
        0.2900047000         4.1000000000         1.9657117352         4.5447455609        16.4333394925
        0.2950081000         4.1000000000         1.9733687158         4.5957831101        16.6328014652
        0.3000051000         4.1000000000         1.9631594084         4.6672356789        16.3668521683
        0.3050518000         4.1000000000         1.9606070815         4.7310326154        16.3003648440
        0.3100066000         4.1000000000         1.9682640621         4.8024851842        16.4998268167
        0.3150036000         4.1000000000         1.9529501009         4.8611783658        16.1009028714
        0.3200048000         4.1000000000         1.9835780232         4.9300790572        16.8987507621
        0.3250053000         4.1000000000         1.9657117352         4.9887722387        16.4333394925
        0.3300082000         4.1000000000         1.9657117352         5.0066353810        16.4333394925
        0.3350053000         4.1000000000         1.9682640621         5.0066353810        16.4998268167
        0.3400058000         4.1000000000         1.9810256964         1.1124703785        16.8322634378
        0.3450087000         4.1000000000         1.9274268324        -0.0052519485        15.4360296291
        0.3500048000         4.1000000000         1.9682640621         0.0075074388        16.4998268167
        0.3550034000         4.1000000000         1.9784733695         0.0738562527        16.7657761136
        0.3600051000         4.1000000000         1.9631594084         0.1376531892        16.3668521683
        0.3650052000         4.1000000000         1.9555024278         0.2014501257        16.1673901956
        0.3700047000         4.1000000000         1.9784733695         0.2805583269        16.7657761136
        0.3750042000         4.1000000000         1.9708163889         0.3418033859        16.5663141409
        0.3800065000         4.1000000000         1.9733687158         0.4004965675        16.6328014652
        0.3850173000         4.1000000000         1.9810256964         0.4693972588        16.8322634378
        0.3900334000         4.1000000000         1.9759210427         0.5357460728        16.6992887894
        0.3950041000         4.1000000000         1.9733687158         0.5944392543        16.6328014652
        0.4000054000         4.1000000000         1.9708163889         0.6684437007        16.5663141409
        0.4050135000         4.1000000000         1.9708163889         0.7296887597        16.5663141409
        0.4100065000         4.1000000000         1.9912350038         0.8011413285        17.0982127348
        0.4150057000         4.1000000000         1.9810256964         0.8598345101        16.8322634378
        0.4200227000         4.1000000000         1.9759210427         0.9236314466        16.6992887894
        0.4250047000         4.1000000000         1.9759210427         0.9899802605        16.6992887894
        0.4300032000         4.1000000000         1.9835780232         1.0588809519        16.8987507621
        0.4350046000         4.1000000000         1.9810256964         1.1303335207        16.8322634378
        0.4400041000         4.1000000000         1.9810256964         1.1762673150        16.8322634378
        0.4450047000         4.1000000000         1.9835780232         1.2502717613        16.8987507621
        0.4500050000         4.1000000000         1.9631594084         1.3064130654        16.3668521683
        0.4550049000         4.1000000000         1.9886826769         1.3753137568        17.0317254105
        0.4600041000         4.1000000000         1.9708163889         1.4340069384        16.5663141409
        0.4650067000         4.1000000000         1.9835780232         1.5080113847        16.8987507621
        0.4700294000         4.1000000000         1.9835780232         1.5692564437        16.8987507621
        0.4750068000         4.1000000000         1.9759210427         1.6305015027        16.6992887894
        0.4800058000         4.1000000000         1.9708163889         1.6968503166        16.5663141409
        0.4850056000         4.1000000000         1.9886826769         1.7657510080        17.0317254105
        0.4900071000         4.1000000000         1.9810256964         1.8193404347        16.8322634378
        0.4950042000         4.1000000000         1.9835780232         1.8907930035        16.8987507621
        0.5000055000         4.1000000000         1.9810256964         1.9443824302        16.8322634378
        0.5050065000         4.1000000000         1.9861303501         2.0132831215        16.9652380863
        0.5100048000         4.1000000000         1.9912350038         2.0847356904        17.0982127348
        0.5150035000         4.1000000000         1.9810256964         2.1434288720        16.8322634378
        0.5200045000         4.1000000000         1.9861303501         2.2097776859        16.9652380863
        0.5250034000         4.1000000000         1.9810256964         2.2684708674        16.8322634378
        0.5300226000         4.1000000000         1.9784733695         2.3322678039        16.7657761136
        0.5350071000         4.1000000000         1.9401884667         2.3960647404        15.7684662502
        0.5400057000         4.1000000000         1.9886826769         2.4675173092        17.0317254105
        0.5450052000         4.1000000000         1.9708163889         2.5287623683        16.5663141409
        0.5500041000         4.1000000000         1.9784733695         2.6027668146        16.7657761136
        0.5550076000         4.1000000000         1.9835780232         2.6614599961        16.8987507621
        0.5600062000         4.1000000000         1.9784733695         2.7227050552        16.7657761136
        0.5650049000         4.1000000000         1.9861303501         2.7916057465        16.9652380863
        0.5700043000         4.1000000000         1.9810256964         2.8579545605        16.8322634378
        0.5750064000         4.1000000000         1.9937873306         2.9294071293        17.1647000590
        0.5800047000         4.1000000000         1.9784733695         2.9829965560        16.7657761136
        0.5850055000         4.1000000000         1.9861303501         3.0595528797        16.9652380863
        0.5900081000         4.1000000000         1.9937873306         3.1156941838        17.1647000590
        0.5950073000         4.1000000000         1.9835780232         3.1820429978        16.8987507621
        0.6000173000         4.1000000000         1.9912350038         3.2534955666        17.0982127348
        0.6050047000         4.1000000000         1.9937873306         3.3198443806        17.1647000590
        0.6100047000         4.1000000000         1.9912350038         3.3785375621        17.0982127348
        0.6150053000         4.1000000000         1.9784733695         3.4346788662        16.7657761136
        0.6200073000         4.1000000000         2.0039966381         3.5137870674        17.4306493559
        0.6250083000         4.1000000000         2.0014443112         3.5801358814        17.3641620317
        0.6300058000         4.1000000000         1.9937873306         3.6413809404        17.1647000590
        0.6350056000         4.1000000000         1.9784733695         3.6924184896        16.7657761136
