% Motor Sweep Step 46/180
% Vcmd       = 2.2700 [V]
% Direction  = CCW
% Zone       = DEADZONE
% Vg_offset  = 1.336525 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000126000         2.2700000000         1.3429439823         3.3964007043         0.1672156204
        0.0050086000         2.2700000000         1.3352870017         3.3887450720        -0.0322463522
        0.0100089000         2.2700000000         1.3403916554         3.3964007043         0.1007282962
        0.0150083000         2.2700000000         1.3352870017         3.3912969494        -0.0322463522
        0.0200401000         2.2700000000         1.3276300211         3.3836413170        -0.2317083249
        0.0250090000         2.2700000000         1.3403916554         3.3887450720         0.1007282962
        0.0300071000         2.2700000000         1.3352870017         3.3887450720        -0.0322463522
        0.0350546000         2.2700000000         1.3352870017         3.3912969494        -0.0322463522
        0.0400096000         2.2700000000         1.3301823480         3.3810894396        -0.1652210007
        0.0450084000         2.2700000000         1.3046590794         3.3810894396        -0.8300942430
        0.0500048000         2.2700000000         1.2867927914         3.3836413170        -1.2955055126
        0.0550075000         2.2700000000         1.2995544257         3.3708819297        -0.9630688914
        0.0600050000         2.2700000000         1.2893451183         3.3708819297        -1.2290181883
        0.0650070000         2.2700000000         1.2970020988         3.3734338072        -1.0295562157
        0.0700070000         2.2700000000         1.2944497720         3.3632262974        -1.0960435399
        0.0750072000         2.2700000000         1.2918974451         3.3683300523        -1.1625308641
        0.0800419000         2.2700000000         1.2970020988         3.3632262974        -1.0295562157
        0.0850093000         2.2700000000         1.3021067526         3.3632262974        -0.8965815672
        0.0900189000         2.2700000000         1.2944497720         3.3530187875        -1.0960435399
        0.0950839000         2.2700000000         1.2970020988         3.3453631551        -1.0295562157
        0.1000062000         2.2700000000         1.2995544257         3.3530187875        -0.9630688914
        0.1050045000         2.2700000000         1.2995544257         3.3479150326        -0.9630688914
        0.1100031000         2.2700000000         1.2944497720         3.3402594002        -1.0960435399
        0.1150045000         2.2700000000         1.2842404646         3.3275000129        -1.3619928368
        0.1200034000         2.2700000000         1.2842404646         3.3249481355        -1.3619928368
        0.1250047000         2.2700000000         1.2893451183         3.3249481355        -1.2290181883
        0.1300032000         2.2700000000         1.2944497720         3.3249481355        -1.0960435399
        0.1350031000         2.2700000000         1.2893451183         3.3147406256        -1.2290181883
        0.1400036000         2.2700000000         1.2970020988         3.3121887482        -1.0295562157
        0.1450064000         2.2700000000         1.2918974451         3.3096368707        -1.1625308641
        0.1500049000         2.2700000000         1.2842404646         3.2917737285        -1.3619928368
        0.1550063000         2.2700000000         1.2893451183         3.2917737285        -1.2290181883
        0.1600043000         2.2700000000         1.2918974451         3.2994293609        -1.1625308641
        0.1650057000         2.2700000000         1.2918974451         3.2943256060        -1.1625308641
        0.1700055000         2.2700000000         1.2944497720         3.2892218510        -1.0960435399
        0.1750053000         2.2700000000         1.2944497720         3.2841180961        -1.0960435399
        0.1800052000         2.2700000000         1.2867927914         3.2739105863        -1.2955055126
        0.1850062000         2.2700000000         1.2893451183         3.2713587088        -1.2290181883
        0.1900044000         2.2700000000         1.2842404646         3.2637030765        -1.3619928368
