% Motor Sweep Step 26/180
% Vcmd       = 2.3700 [V]
% Direction  = CCW
% Zone       = DEADZONE
% Vg_offset  = 1.336525 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000099000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.0050067000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.0100075000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.0150078000         2.3700000000         1.3454963091         4.0037475396         0.2337029447
        0.0200164000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.0250050000         2.3700000000         1.3301823480         3.9960919072        -0.1652210007
        0.0301970000         2.3700000000         1.3378393285         3.9935400297         0.0342409720
        0.0350058000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.0400112000         2.3700000000         1.3429439823         4.0011956621         0.1672156204
        0.0450074000         2.3700000000         1.3301823480         3.9909881523        -0.1652210007
        0.0503109000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.0554492000         2.3700000000         1.3378393285         3.9960919072         0.0342409720
        0.0603225000         2.3700000000         1.3301823480         3.9909881523        -0.1652210007
        0.0652630000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.0703760000         2.3700000000         1.3327346748         3.9960919072        -0.0987336765
        0.0752488000         2.3700000000         1.3403916554         4.0062994170         0.1007282962
        0.0802435000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.0852686000         2.3700000000         1.3301823480         3.9833325199        -0.1652210007
        0.0902307000         2.3700000000         1.3327346748         3.9986437847        -0.0987336765
        0.0950042000         2.3700000000         1.3225253674         3.9884362748        -0.3646829734
        0.1000031000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.1050067000         2.3700000000         1.3378393285         3.9986437847         0.0342409720
        0.1100074000         2.3700000000         1.3327346748         3.9935400297        -0.0987336765
        0.1150101000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.1200049000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.1250058000         2.3700000000         1.3352870017         3.9884362748        -0.0322463522
        0.1300067000         2.3700000000         1.3506009628         4.0011956621         0.3666775931
        0.1350063000         2.3700000000         1.3352870017         3.9909881523        -0.0322463522
        0.1400046000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.1450069000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.1500044000         2.3700000000         1.3378393285         3.9884362748         0.0342409720
        0.1550060000         2.3700000000         1.3276300211         3.9960919072        -0.2317083249
        0.1600056000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.1650056000         2.3700000000         1.3352870017         3.9909881523        -0.0322463522
        0.1700039000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.1750063000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.1800042000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.1850051000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.1900034000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.1950067000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.2000045000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.2050053000         2.3700000000         1.3327346748         3.9935400297        -0.0987336765
        0.2100318000         2.3700000000         1.3301823480         3.9858843974        -0.1652210007
        0.2150069000         2.3700000000         1.3403916554         4.0011956621         0.1007282962
        0.2200053000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.2250065000         2.3700000000         1.3480486360         3.9935400297         0.3001902689
        0.2300529000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.2350069000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.2400042000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.2450066000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.2500037000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.2550059000         2.3700000000         1.3403916554         4.0011956621         0.1007282962
        0.2600041000         2.3700000000         1.3327346748         3.9884362748        -0.0987336765
        0.2650058000         2.3700000000         1.3301823480         3.9858843974        -0.1652210007
        0.2700044000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.2750057000         2.3700000000         1.3429439823         4.0011956621         0.1672156204
        0.2800057000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.2850063000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.2900067000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.2950062000         2.3700000000         1.3454963091         4.0011956621         0.2337029447
        0.3000051000         2.3700000000         1.3327346748         3.9884362748        -0.0987336765
        0.3050058000         2.3700000000         1.3301823480         3.9858843974        -0.1652210007
        0.3100059000         2.3700000000         1.3378393285         3.9909881523         0.0342409720
        0.3150058000         2.3700000000         1.3403916554         4.0011956621         0.1007282962
        0.3200060000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.3250054000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.3300075000         2.3700000000         1.3327346748         3.9858843974        -0.0987336765
        0.3350055000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.3400035000         2.3700000000         1.3403916554         3.9986437847         0.1007282962
        0.3450058000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.3500043000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.3550062000         2.3700000000         1.3378393285         3.9935400297         0.0342409720
        0.3600044000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.3650042000         2.3700000000         1.3480486360         4.0011956621         0.3001902689
        0.3700062000         2.3700000000         1.3276300211         3.9909881523        -0.2317083249
        0.3750058000         2.3700000000         1.3352870017         3.9986437847        -0.0322463522
        0.3800053000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.3850055000         2.3700000000         1.3429439823         3.9960919072         0.1672156204
        0.3900058000         2.3700000000         1.3352870017         3.9909881523        -0.0322463522
        0.3950044000         2.3700000000         1.3403916554         4.0011956621         0.1007282962
        0.4000059000         2.3700000000         1.3250776943         3.9935400297        -0.2981956492
        0.4050045000         2.3700000000         1.3429439823         3.9935400297         0.1672156204
        0.4100056000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.4150034000         2.3700000000         1.3352870017         3.9858843974        -0.0322463522
        0.4200051000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.4250087000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.4300045000         2.3700000000         1.3327346748         3.9935400297        -0.0987336765
        0.4350032000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.4400048000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.4450060000         2.3700000000         1.3276300211         3.9884362748        -0.2317083249
        0.4500050000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.4550034000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.4600044000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.4650028000         2.3700000000         1.3352870017         3.9960919072        -0.0322463522
        0.4700048000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.4750036000         2.3700000000         1.3276300211         3.9884362748        -0.2317083249
        0.4800046000         2.3700000000         1.3276300211         3.9909881523        -0.2317083249
        0.4850039000         2.3700000000         1.3327346748         3.9935400297        -0.0987336765
        0.4900048000         2.3700000000         1.3301823480         3.9807806424        -0.1652210007
        0.4950033000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.5000047000         2.3700000000         1.3403916554         3.9986437847         0.1007282962
        0.5050037000         2.3700000000         1.3352870017         3.9909881523        -0.0322463522
        0.5100046000         2.3700000000         1.3352870017         3.9909881523        -0.0322463522
        0.5150036000         2.3700000000         1.3276300211         3.9884362748        -0.2317083249
        0.5200047000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.5250032000         2.3700000000         1.3429439823         4.0011956621         0.1672156204
        0.5300044000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.5350039000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.5400048000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.5450052000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.5500048000         2.3700000000         1.3403916554         3.9986437847         0.1007282962
        0.5550040000         2.3700000000         1.3352870017         3.9935400297        -0.0322463522
        0.5600044000         2.3700000000         1.3276300211         3.9858843974        -0.2317083249
        0.5650052000         2.3700000000         1.3403916554         3.9960919072         0.1007282962
        0.5700050000         2.3700000000         1.3403916554         4.0011956621         0.1007282962
        0.5750030000         2.3700000000         1.3301823480         3.9884362748        -0.1652210007
        0.5800044000         2.3700000000         1.3429439823         3.9986437847         0.1672156204
        0.5850032000         2.3700000000         1.3429439823         3.9935400297         0.1672156204
        0.5900047000         2.3700000000         1.3301823480         3.9858843974        -0.1652210007
