% Motor Sweep Step 116/180
% Vcmd       = 1.6000 [V]
% Direction  = CCW
% Zone       = OUTER
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000129000         1.6000000000         1.3378393285         1.6458127674         0.0438816340
        0.0050321000         1.6000000000         1.3403916554         1.6534683998         0.1103689582
        0.0100063000         1.6000000000         1.3352870017         1.6432608900        -0.0226056902
        0.0150102000         1.6000000000         1.3403916554         1.6534683998         0.1103689582
        0.0200099000         1.6000000000         1.2331939274         1.6407090125        -2.6820986593
        0.0250099000         1.6000000000         1.1387578337         1.6228458703        -5.1421296557
        0.0300084000         1.6000000000         1.2102229857         1.6228458703        -3.2804845773
        0.0350098000         1.6000000000         1.1515194680         1.5896714634        -4.8096930346
        0.0400095000         1.6000000000         1.1157868920         1.5667045662        -5.7405155737
        0.0450098000         1.6000000000         1.1285485263         1.5564970564        -5.4080789526
        0.0500100000         1.6000000000         1.1515194680         1.5411857916        -4.8096930346
        0.0550088000         1.6000000000         1.0902636235         1.5054595072        -6.4053888160
        0.0600071000         1.6000000000         1.1055775846         1.4952519974        -6.0064648706
        0.0650095000         1.6000000000         1.1081299115         1.4620775904        -5.9399775464
        0.0700064000         1.6000000000         1.0979206040         1.4442144482        -6.2059268433
        0.0750182000         1.6000000000         1.0775019892         1.4161437961        -6.7378254371
        0.0800071000         1.6000000000         1.0877112966         1.3931768990        -6.4718761402
        0.0850141000         1.6000000000         1.0851589698         1.3702100019        -6.5383634645
        0.0900068000         1.6000000000         1.0672926818         1.3497949822        -7.0037747340
        0.0950104000         1.6000000000         1.0647403549         1.3115168203        -7.0702620583
        0.1000058000         1.6000000000         1.0468740669         1.2859980457        -7.5356733279
        0.1050066000         1.6000000000         1.0519787206         1.2579273937        -7.4026986794
        0.1100042000         1.6000000000         1.0468740669         1.2247529867        -7.5356733279
        0.1150094000         1.6000000000         1.0468740669         1.2094417220        -7.5356733279
        0.1200055000         1.6000000000         1.0187984715         1.1660598052        -8.2670338943
        0.1250093000         1.6000000000         1.0468740669         1.1481966629        -7.5356733279
        0.1300093000         1.6000000000         1.0341124326         1.1124703785        -7.8681099490
        0.1350094000         1.6000000000         1.0264554521         1.0767440941        -8.0675719217
        0.1400057000         1.6000000000         1.0136938178         1.0512253195        -8.4000085428
        0.1450186000         1.6000000000         1.0239031252         1.0154990351        -8.1340592459
        0.1500068000         1.6000000000         1.0060368372         0.9874283830        -8.5994705155
        0.1550092000         1.6000000000         1.0187984715         0.9619096084        -8.2670338943
        0.1600225000         1.6000000000         1.0187984715         0.9287352015        -8.2670338943
        0.1650857000         1.6000000000         1.0111414909         0.8955607945        -8.4664958670
        0.1700036000         1.6000000000         1.0239031252         0.8572826326        -8.1340592459
        0.1750087000         1.6000000000         0.9779612418         0.8164525933        -9.3308310820
        0.1801158000         1.6000000000         1.0187984715         0.7934856961        -8.2670338943
        0.1850077000         1.6000000000         1.0034845104         0.7552075343        -8.6659578397
        0.1901441000         1.6000000000         1.0009321835         0.7220331273        -8.7324451639
        0.1950082000         1.6000000000         0.9856182224         0.6786512105        -9.1313691093
        0.2000027000         1.6000000000         0.9907228761         0.6454768035        -8.9983944608
        0.2050116000         1.6000000000         1.0085891641         0.6225099064        -8.5329831913
        0.2100088000         1.6000000000         0.9779612418         0.5816798670        -9.3308310820
        0.2150099000         1.6000000000         1.0034845104         0.5536092150        -8.6659578397
        0.2200068000         1.6000000000         0.9907228761         0.5127791757        -8.9983944608
        0.2250083000         1.6000000000         0.9856182224         0.4745010138        -9.1313691093
        0.2300058000         1.6000000000         0.9779612418         0.4464303617        -9.3308310820
        0.2350043000         1.6000000000         1.0060368372         0.4081521998        -8.5994705155
        0.2400045000         1.6000000000         0.9600949538         0.3749777929        -9.7962423516
        0.2450028000         1.6000000000         0.9830658955         0.3264921211        -9.1978564335
        0.2500102000         1.6000000000         0.9856182224         0.2958695916        -9.1313691093
        0.2550098000         1.6000000000         0.9932752029         0.2550395523        -8.9319071366
        0.2600057000         1.6000000000         0.9651996075         0.2244170228        -9.6632677031
        0.2650107000         1.6000000000         0.9983798566         0.1937944933        -8.7989324882
        0.2700076000         1.6000000000         0.9779612418         0.1453088216        -9.3308310820
        0.2750097000         1.6000000000         0.9703042612         0.1070306597        -9.5302930547
        0.2800053000         1.6000000000         0.9728565881         0.0815118851        -9.4638057304
        0.2850098000         1.6000000000         0.9932752029         0.0432337232        -8.9319071366
        0.2900073000         1.6000000000         0.9779612418         0.0024036839        -9.3308310820
        0.2950097000         1.6000000000         0.9651996075        -0.0052519485        -9.6632677031
        0.3000067000         1.6000000000         0.9677519344        -0.0052519485        -9.5967803789
        0.3050087000         1.6000000000         0.9728565881        -0.0001481936        -9.4638057304
        0.3100054000         1.6000000000         0.9703042612         1.1048147461        -9.5302930547
        0.3150098000         1.6000000000         0.9805135686         5.0066353810        -9.2643437577
        0.3200711000         1.6000000000         0.9600949538         5.0066353810        -9.7962423516
        0.3250051000         1.6000000000         0.9703042612         5.0142910133        -9.5302930547
        0.3300099000         1.6000000000         0.9498856464         5.0015316260       -10.0621916485
        0.3350093000         1.6000000000         0.9728565881         4.9734609740        -9.4638057304
        0.3400092000         1.6000000000         0.9524379732         4.9300790572        -9.9957043242
        0.3450093000         1.6000000000         0.9600949538         4.8918008953        -9.7962423516
        0.3500364000         1.6000000000         0.9473333195         4.8433152236       -10.1286789727
        0.3550096000         1.6000000000         0.9473333195         4.8075889392       -10.1286789727
        0.3600049000         1.6000000000         0.9575426269         4.7744145322        -9.8627296758
        0.3650099000         1.6000000000         0.9626472806         4.7361363703        -9.7297550273
        0.3702229000         1.6000000000         0.9473333195         4.6876506986       -10.1286789727
        0.3750055000         1.6000000000         0.9549903001         4.6519244142        -9.9292170000
        0.3800874000         1.6000000000         0.9473333195         4.6136462523       -10.1286789727
        0.3850098000         1.6000000000         0.9600949538         4.5804718453        -9.7962423516
        0.3901552000         1.6000000000         0.9575426269         4.5421936834        -9.8627296758
        0.3950061000         1.6000000000         0.9549903001         4.4962598892        -9.9292170000
        0.4000092000         1.6000000000         0.9600949538         4.4656373597        -9.7962423516
        0.4050096000         1.6000000000         0.9575426269         4.4248073203        -9.8627296758
        0.4100100000         1.6000000000         0.9575426269         4.3865291584        -9.8627296758
