% Motor Sweep Step 133/180
% Vcmd       = 3.8500 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000647000         3.8500000000         1.3403916554         0.4234634646         0.1103689582
        0.0050258000         3.8500000000         1.3378393285         0.4158078322         0.0438816340
        0.0100086000         3.8500000000         1.3352870017         0.4158078322        -0.0226056902
        0.0150109000         3.8500000000         1.3888858657         0.4234634646         1.3736281185
        0.0200101000         3.8500000000         1.6109383022         0.4438784843         7.1580253262
        0.0250102000         3.8500000000         1.5420254771         0.4591897490         5.3628675721
        0.0300427000         3.8500000000         1.6058336485         0.4898122785         7.0250506778
        0.0350052000         3.8500000000         1.6492232050         0.5178829306         8.1553351896
        0.0400055000         3.8500000000         1.6211476096         0.5459535826         7.4239746232
        0.0450084000         3.8500000000         1.6543278587         0.5893354994         8.2883098381
        0.0500074000         3.8500000000         1.6951650884         0.6174061515         9.3521070257
        0.0550107000         3.8500000000         1.7130313764         0.6531324359         9.8175182953
        0.0600073000         3.8500000000         1.6951650884         0.6965143527         9.3521070257
        0.0650102000         3.8500000000         1.7385546450         0.7322406371        10.4823915376
        0.0700117000         3.8500000000         1.7181360302         0.7654150441         9.9504929438
        0.0750100000         3.8500000000         1.7232406839         0.8190044707        10.0834675922
        0.0800631000         3.8500000000         1.7538686061         0.8496270002        10.8813154829
        0.0850105000         3.8500000000         1.7462116256         0.8930089170        10.6818535103
        0.0902330000         3.8500000000         1.7513162793         0.9414945888        10.8148281587
        0.0950112000         3.8500000000         1.7768395479         0.9823246281        11.4797014010
        0.1000092000         3.8500000000         1.7768395479         1.0257065449        11.4797014010
        0.1050056000         3.8500000000         1.7921535090         1.0792959716        11.8786253463
        0.1100056000         3.8500000000         1.7870488553         1.1124703785        11.7456506979
        0.1150083000         3.8500000000         1.7947058358         1.1584041728        11.9451126706
        0.1200032000         3.8500000000         1.8049151433         1.2094417220        12.2110619675
        0.1250114000         3.8500000000         1.8100197970         1.2579273937        12.3440366159
        0.1300059000         3.8500000000         1.8202291044         1.3064130654        12.6099859128
        0.1350048000         3.8500000000         1.8253337581         1.3523468597        12.7429605613
        0.1400184000         3.8500000000         1.8253337581         1.3982806539        12.7429605613
        0.1450104000         3.8500000000         1.8278860850         1.4416625707        12.8094478855
        0.1500099000         3.8500000000         1.8329907387         1.4952519974        12.9424225340
        0.1550496000         3.8500000000         1.8457523730         1.5539451789        13.2748591551
        0.1600075000         3.8500000000         1.8483046998         1.6024308506        13.3413464793
        0.1650326000         3.8500000000         1.8355430655         1.6407090125        13.0089098582
        0.1700046000         3.8500000000         1.8585140073         1.6968503166        13.6072957762
        0.1750059000         3.8500000000         1.8661709878         1.7529916207        13.8067577489
        0.1800083000         3.8500000000         1.8432000461         1.7912697826        13.2083718309
        0.1850068000         3.8500000000         1.8559616804         1.8423073318        13.5408084520
        0.1901685000         3.8500000000         1.8610663341         1.9086561457        13.6737831005
        0.1950061000         3.8500000000         1.8661709878         1.9520380625        13.8067577489
        0.2000103000         3.8500000000         1.8534093535         2.0030756117        13.4743211278
        0.2050096000         3.8500000000         1.8712756415         2.0566650383        13.9397323974
        0.2100098000         3.8500000000         1.8763802953         2.1153582199        14.0727070458
        0.2150067000         3.8500000000         1.8687233147         2.1638438916        13.8732450731
        0.2200095000         3.8500000000         1.8942465832         2.2225370732        14.5381183154
        0.2250071000         3.8500000000         1.8789326221         2.2812302547        14.1391943700
        0.2300098000         3.8500000000         1.8814849490         2.3246121715        14.2056816943
        0.2350070000         3.8500000000         1.8789326221         2.3807534756        14.1391943700
        0.2400095000         3.8500000000         1.8993512370         2.4419985347        14.6710929639
        0.2450059000         3.8500000000         1.8942465832         2.4981398388        14.5381183154
        0.2500097000         3.8500000000         1.8916942564         2.5389698781        14.4716309912
        0.2550060000         3.8500000000         1.8916942564         2.6027668146        14.4716309912
        0.2600099000         3.8500000000         1.8891419295         2.6563562412        14.4051436670
        0.2650073000         3.8500000000         1.9044558907         2.7176013002        14.8040676123
        0.2700100000         3.8500000000         1.9095605444         2.7762944818        14.9370422608
        0.2750063000         3.8500000000         1.8993512370         2.8196763986        14.6710929639
        0.2800093000         3.8500000000         1.9044558907         2.8783695801        14.8040676123
        0.2850055000         3.8500000000         1.9070082175         2.9396146392        14.8705549365
        0.2900101000         3.8500000000         1.8993512370         2.9881003109        14.6710929639
        0.2950070000         3.8500000000         1.9121128712         3.0518972474        15.0035295850
        0.3000091000         3.8500000000         1.9146651981         3.1080385515        15.0700169092
        0.3050060000         3.8500000000         1.9019035638         3.1641798556        14.7375802881
        0.3100107000         3.8500000000         1.9121128712         3.2305286695        15.0035295850
        0.3150062000         3.8500000000         1.9274268324         3.2892218510        15.4024535304
        0.3200097000         3.8500000000         1.9274268324         3.3504669101        15.4024535304
        0.3250328000         3.8500000000         1.9325314861         3.4066082142        15.5354281788
        0.3300050000         3.8500000000         1.9172175250         3.4576457633        15.1365042334
        0.3350102000         3.8500000000         1.9248745055         3.5188908224        15.3359662061
        0.3400097000         3.8500000000         1.9223221787         3.5775840039        15.2694788819
        0.3450094000         3.8500000000         1.9274268324         3.6286215531        15.4024535304
        0.3500081000         3.8500000000         1.9146651981         3.6898666121        15.0700169092
        0.3550156000         3.8500000000         1.9274268324         3.7562154260        15.4024535304
        0.3600088000         3.8500000000         1.9197698518         3.8123567301        15.2029915577
        0.3650093000         3.8500000000         1.9248745055         3.8659461568        15.3359662061
        0.3700116000         3.8500000000         1.9172175250         3.9297430933        15.1365042334
        0.3750092000         3.8500000000         1.9376361398         3.9960919072        15.6684028273
        0.3800064000         3.8500000000         1.9274268324         4.0573369662        15.4024535304
        0.3850093000         3.8500000000         1.9350838130         4.1032707605        15.6019155030
        0.3900089000         3.8500000000         1.9197698518         4.1645158195        15.2029915577
        0.3950100000         3.8500000000         1.9197698518         4.2283127560        15.2029915577
        0.4000055000         3.8500000000         1.9325314861         4.2921096924        15.5354281788
        0.4050104000         3.8500000000         1.9248745055         4.3456991191        15.3359662061
        0.4100072000         3.8500000000         1.9325314861         4.4043923006        15.5354281788
        0.4150093000         3.8500000000         1.9274268324         4.4630854822        15.4024535304
        0.4200080000         3.8500000000         1.9274268324         4.5319861736        15.4024535304
        0.4250094000         3.8500000000         1.9248745055         4.5957831101        15.3359662061
        0.4300097000         3.8500000000         1.9299791592         4.6544762916        15.4689408546
        0.4350093000         3.8500000000         1.9376361398         4.7208251056        15.6684028273
        0.4400062000         3.8500000000         1.9325314861         4.7846220420        15.5354281788
        0.4450103000         3.8500000000         1.9325314861         4.8407633461        15.5354281788
        0.4500057000         3.8500000000         1.9350838130         4.9045602826        15.6019155030
        0.4550093000         3.8500000000         1.9223221787         4.9632534642        15.2694788819
        0.4600060000         3.8500000000         1.9248745055         4.9989797486        15.3359662061
        0.4650093000         3.8500000000         1.9325314861         4.9989797486        15.5354281788
        0.4700100000         3.8500000000         1.9197698518         1.0997109912        15.2029915577
        0.4750095000         3.8500000000         1.9376361398         0.0024036839        15.6684028273
        0.4800050000         3.8500000000         1.9325314861         0.0024036839        15.5354281788
        0.4850096000         3.8500000000         1.9350838130         0.0279224584        15.6019155030
        0.4900049000         3.8500000000         1.9350838130         0.0815118851        15.6019155030
        0.4950085000         3.8500000000         1.9197698518         0.1376531892        15.2029915577
        0.5000064000         3.8500000000         1.9197698518         0.2014501257        15.2029915577
        0.5050095000         3.8500000000         1.9248745055         0.2626951847        15.3359662061
        0.5100061000         3.8500000000         1.9427407935         0.3341477535        15.8013774757
        0.5150093000         3.8500000000         1.9274268324         0.3979446900        15.4024535304
        0.5200057000         3.8500000000         1.9376361398         0.4591897490        15.6684028273
        0.5250096000         3.8500000000         1.9376361398         0.5153310531        15.6684028273
        0.5300061000         3.8500000000         1.9401884667         0.5765761121        15.7348901515
        0.5350093000         3.8500000000         1.9350838130         0.6327174162        15.6019155030
        0.5400035000         3.8500000000         1.9376361398         0.6965143527        15.6684028273
        0.5450090000         3.8500000000         1.9299791592         0.7501037793        15.4689408546
        0.5500042000         3.8500000000         1.9350838130         0.8139007158        15.6019155030
        0.5550064000         3.8500000000         1.9478454472         0.8828014072        15.9343521242
        0.5600027000         3.8500000000         1.9427407935         0.9440464662        15.8013774757
        0.5650114000         3.8500000000         1.9376361398         1.0027396478        15.6684028273
        0.5701883000         3.8500000000         1.9478454472         1.0639847068        15.9343521242
        0.5750102000         3.8500000000         1.9350838130         1.1175741334        15.6019155030
        0.5800122000         3.8500000000         1.9325314861         1.1788191925        15.5354281788
        0.5850100000         3.8500000000         1.9401884667         1.2400642515        15.7348901515
        0.5901065000         3.8500000000         1.9401884667         1.3013093105        15.7348901515
        0.5950105000         3.8500000000         1.9350838130         1.3548987371        15.6019155030
        0.6000100000         3.8500000000         1.9503977741         1.4237994285        16.0008394484
        0.6050071000         3.8500000000         1.9580547547         1.4875963650        16.2003014211
        0.6100101000         3.8500000000         1.9376361398         1.5360820367        15.6684028273
        0.6150099000         3.8500000000         1.9427407935         1.5998789732        15.8013774757
        0.6200100000         3.8500000000         1.9529501009         1.6687796646        16.0673267726
        0.6250104000         3.8500000000         1.9555024278         1.7198172138        16.1338140968
        0.6301305000         3.8500000000         1.9325314861         1.7734066404        15.5354281788
        0.6350110000         3.8500000000         1.9580547547         1.8423073318        16.2003014211
        0.6400098000         3.8500000000         1.9274268324         1.8907930035        15.4024535304
        0.6450088000         3.8500000000         1.9478454472         1.9571418174        15.9343521242
        0.6500099000         3.8500000000         1.9478454472         2.0260425088        15.9343521242
        0.6550060000         3.8500000000         1.9478454472         2.0796319355        15.9343521242
        0.6600096000         3.8500000000         1.9376361398         2.1408769945        15.6684028273
