% Motor Sweep Step 129/180
% Vcmd       = 3.7500 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336525 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000676000         3.7500000000         1.3276300211         2.0745281806        -0.2317083249
        0.0050445000         3.7500000000         1.3250776943         2.0745281806        -0.2981956492
        0.0100066000         3.7500000000         1.3403916554         2.0872875679         0.1007282962
        0.0150083000         3.7500000000         1.4220661148         2.0872875679         2.2283226715
        0.0200051000         3.7500000000         1.6236999365         2.1077025875         7.4808212854
        0.0250041000         3.7500000000         1.5649964188         2.1332213621         5.9516128282
        0.0300052000         3.7500000000         1.6211476096         2.1663957691         7.4143339611
        0.0350059000         3.7500000000         1.6696418199         2.1944664211         8.6775931214
        0.0400027000         3.7500000000         1.6492232050         2.2199851957         8.1456945276
        0.0450065000         3.7500000000         1.6594325125         2.2455039703         8.4116438245
        0.0500043000         3.7500000000         1.7079267227         2.2888858871         9.6749029848
        0.0550062000         3.7500000000         1.7206883570         2.3246121715        10.0073396060
        0.0600051000         3.7500000000         1.7028220690         2.3628903334         9.5419283364
        0.0650062000         3.7500000000         1.7360023181         2.4113760052        10.4062635513
        0.0700090000         3.7500000000         1.7411069719         2.4445504121        10.5392381998
        0.0750061000         3.7500000000         1.7436592987         2.4879323289        10.6057255240
        0.0800064000         3.7500000000         1.7691825673         2.5262104908        11.2705987663
        0.0850056000         3.7500000000         1.7564209330         2.5695924076        10.9381621452
        0.0900073000         3.7500000000         1.7844965284         2.6155262019        11.6695227116
        0.0950057000         3.7500000000         1.7870488553         2.6538043638        11.7360100359
        0.1000506000         3.7500000000         1.7717348941         2.6971862806        11.3370860905
        0.1050071000         3.7500000000         1.8023628164         2.7405681974        12.1349339812
        0.1100064000         3.7500000000         1.8023628164         2.7967095015        12.1349339812
        0.1150082000         3.7500000000         1.8049151433         2.8426432957        12.2014213055
        0.1200041000         3.7500000000         1.8151244507         2.8860252125        12.4673706024
