% Sweep Step 179/200  Vcmd=5.0000V  CW
% Vg_offset=1.338056V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0005936000         5.0000000000         1.3327346748         1.3268280851        -0.1386260710
        0.0054213000         5.0000000000         1.3403916554         1.3319318400         0.0608359017
        0.0104910000         5.0000000000         1.3352870017         1.3319318400        -0.0721387468
        0.0154166000         5.0000000000         1.3990951731         1.3421393498         1.5900443589
        0.0205077000         5.0000000000         1.6364615707         1.3574506146         7.7733655120
        0.0254604000         5.0000000000         1.5854150336         1.3727618793         6.4436190274
        0.0304583000         5.0000000000         1.6390138976         1.3982806539         7.8398528362
        0.0353981000         5.0000000000         1.7002697422         1.4467663256         9.4355486176
        0.0404315000         5.0000000000         1.7513162793         1.4722851002        10.7652951022
        0.0454330000         5.0000000000         1.7691825673         1.5207707720        11.2307063718
        0.0503891000         5.0000000000         1.8304384118         1.5641526888        12.8264021532
        0.0554528000         5.0000000000         1.8865896027         1.6279496252        14.2891232862
        0.0605801000         5.0000000000         1.9146651981         1.6789871744        15.0204838527
        0.0654842000         5.0000000000         1.9555024278         1.7351284785        16.0842810403
        0.0704603000         5.0000000000         1.9784733695         1.7989254150        16.6826669583
        0.0753968000         5.0000000000         2.0065489649         1.8627223515        17.4140275248
        0.0803975000         5.0000000000         2.0371768872         1.9367267978        18.2118754156
        0.0854232000         5.0000000000         2.0499385215         1.9979718568        18.5443120367
        0.0904013000         5.0000000000         2.0703571363         2.0719763031        19.0762106305
        0.0954583000         5.0000000000         2.0856710975         2.1485326269        19.4751345759
        0.1004227000         5.0000000000         2.0984327318         2.2199851957        19.8075711970
        0.1054625000         5.0000000000         2.1086420392         2.2965415195        20.0735204939
        0.1104982000         5.0000000000         2.1214036735         2.3884091080        20.4059571150
        0.1154764000         5.0000000000         2.1418222883         2.4547579220        20.9378557088
        0.1204113000         5.0000000000         2.1392699615         2.5440736330        20.8713683846
        0.1255076000         5.0000000000         2.1494792689         2.6180780793        21.1373176815
        0.1304308000         5.0000000000         2.1647932300         2.7124975453        21.5362416269
        0.1354946000         5.0000000000         2.1622409032         2.7916057465        21.4697543027
        0.1404325000         5.0000000000         2.1673455569         2.8707139478        21.6027289511
        0.1454041000         5.0000000000         2.1596885763         2.9498221490        21.4032669784
        0.1503955000         5.0000000000         2.1775548643         3.0416897375        21.8686782480
        0.1554712000         5.0000000000         2.1877641717         3.1284535711        22.1346275449
        0.1604204000         5.0000000000         2.1826595180         3.2050098949        22.0016528965
        0.1653964000         5.0000000000         2.1928688255         3.3019812383        22.2676021934
        0.1703951000         5.0000000000         2.1877641717         3.3836413170        22.1346275449
        0.1753813000         5.0000000000         2.1903164986         3.4653013957        22.2011148692
        0.1803967000         5.0000000000         2.1954211523         3.5571689842        22.3340895176
        0.1854068000         5.0000000000         2.2030781329         3.6464846953        22.5335514903
        0.1904751000         5.0000000000         2.1826595180         3.7204891416        22.0016528965
        0.1953910000         5.0000000000         2.2030781329         3.8174604851        22.5335514903
        0.2003957000         5.0000000000         2.2030781329         3.8914649314        22.5335514903
        0.2054508000         5.0000000000         2.2005258060         3.9858843974        22.4670641661
        0.2103971000         5.0000000000         2.2030781329         4.0726482310        22.5335514903
        0.2154383000         5.0000000000         2.1979734792         4.1568601871        22.4005768418
        0.2203832000         5.0000000000         2.2081827866         4.2487277756        22.6665261387
        0.2254977000         5.0000000000         2.2030781329         4.3303878543        22.5335514903
        0.2304408000         5.0000000000         2.2209444209         4.4324629527        22.9989627599
        0.2354039000         5.0000000000         2.2107351134         4.5192267863        22.7330134630
        0.2404000000         5.0000000000         2.2056304597         4.6034387424        22.6000388145
        0.2454005000         5.0000000000         2.2056304597         4.6927544535        22.6000388145
        0.2503953000         5.0000000000         2.2234967477         4.7871739195        23.0654500841
        0.2553989000         5.0000000000         2.2056304597         4.8790415080        22.6000388145
        0.2604763000         5.0000000000         2.2081827866         4.9734609740        22.6665261387
        0.2654124000         5.0000000000         2.2107351134         4.9989797486        22.7330134630
        0.2703967000         5.0000000000         2.2337060552         1.1175741334        23.3313993810
        0.2754178000         5.0000000000         2.2234967477         0.0049555613        23.0654500841
        0.2804319000         5.0000000000         2.2132874403         0.0177149486        22.7995007872
        0.2853988000         5.0000000000         2.2260490746         0.1172381695        23.1319374083
        0.2903889000         5.0000000000         2.2209444209         0.1988982482        22.9989627599
        0.2954173000         5.0000000000         2.2234967477         0.2933177142        23.0654500841
        0.3004413000         5.0000000000         2.2209444209         0.3902890576        22.9989627599
        0.3053970000         5.0000000000         2.2260490746         0.4821566461        23.1319374083
        0.3103960000         5.0000000000         2.2311537283         0.5714723572        23.2649120568
        0.3153821000         5.0000000000         2.2286014014         0.6607880683        23.1984247326
        0.3203879000         5.0000000000         2.2209444209         0.7526556568        22.9989627599
        0.3253928000         5.0000000000         2.2337060552         0.8496270002        23.3313993810
        0.3304398000         5.0000000000         2.2209444209         0.9312870789        22.9989627599
        0.3363128000         5.0000000000         2.2260490746         1.0231546675        23.1319374083
        0.3404579000         5.0000000000         2.2234967477         1.1099185011        23.0654500841
        0.3454050000         5.0000000000         2.2158397672         1.1941304572        22.8659881114
        0.3503956000         5.0000000000         2.2311537283         1.2936536781        23.2649120568
        0.3554923000         5.0000000000         2.2286014014         1.3778656343        23.1984247326
        0.3604561000         5.0000000000         2.2362583820         1.4722851002        23.3978867052
        0.3653967000         5.0000000000         2.2158397672         1.5488414240        22.8659881114
        0.3703952000         5.0000000000         2.2209444209         1.6432608900        22.9989627599
        0.3754772000         5.0000000000         2.2260490746         1.7249209687        23.1319374083
        0.3804534000         5.0000000000         2.2234967477         1.8193404347        23.0654500841
        0.3854083000         5.0000000000         2.2209444209         1.9137599006        22.9989627599
        0.3903829000         5.0000000000         2.2234967477         1.9928681019        23.0654500841
        0.3954133000         5.0000000000         2.2234967477         2.0847356904        23.0654500841
        0.4004256000         5.0000000000         2.2362583820         2.1791551564        23.3978867052
        0.4054702000         5.0000000000         2.2107351134         2.2608152351        22.7330134630
        0.4104061000         5.0000000000         2.2183920940         2.3552347011        22.9324754356
        0.4153983000         5.0000000000         2.2234967477         2.4445504121        23.0654500841
        0.4204205000         5.0000000000         2.2209444209         2.5262104908        22.9989627599
        0.4254021000         5.0000000000         2.2183920940         2.6257337117        22.9324754356
        0.4303968000         5.0000000000         2.2107351134         2.7048419129        22.7330134630
        0.4353833000         5.0000000000         2.2209444209         2.8069170113        22.9989627599
        0.4403877000         5.0000000000         2.2209444209         2.8885770900        22.9989627599
        0.4453925000         5.0000000000         2.2107351134         2.9702371687        22.7330134630
        0.4503866000         5.0000000000         2.2183920940         3.0672085121        22.9324754356
        0.4556156000         5.0000000000         2.2107351134         3.1463167133        22.7330134630
        0.4605022000         5.0000000000         2.2183920940         3.2381843019        22.9324754356
        0.4654653000         5.0000000000         2.2260490746         3.3351556453        23.1319374083
        0.4703829000         5.0000000000         2.2132874403         3.4168157240        22.7995007872
        0.4754810000         5.0000000000         2.2158397672         3.5112351900        22.8659881114
        0.4804029000         5.0000000000         2.2183920940         3.5928952687        22.9324754356
        0.4853937000         5.0000000000         2.2209444209         3.6822109797        22.9989627599
        0.4904412000         5.0000000000         2.2183920940         3.7766304457        22.9324754356
        0.4954060000         5.0000000000         2.2209444209         3.8608424019        22.9989627599
        0.5003939000         5.0000000000         2.2183920940         3.9450543580        22.9324754356
        0.5054004000         5.0000000000         2.2234967477         4.0394738240        23.0654500841
        0.5104041000         5.0000000000         2.2234967477         4.1236857801        23.0654500841
        0.5154068000         5.0000000000         2.2132874403         4.2130014912        22.7995007872
        0.5203879000         5.0000000000         2.2107351134         4.2997653248        22.7330134630
        0.5254033000         5.0000000000         2.2107351134         4.3839772810        22.7330134630
        0.5304508000         5.0000000000         2.2209444209         4.4809486244        22.9989627599
        0.5355221000         5.0000000000         2.2081827866         4.5677124580        22.6665261387
        0.5405877000         5.0000000000         2.2132874403         4.6646838015        22.7995007872
        0.5454568000         5.0000000000         2.2234967477         4.7539995125        23.0654500841
        0.5503856000         5.0000000000         2.2209444209         4.8458671010        22.9989627599
        0.5554779000         5.0000000000         2.2209444209         4.9504940769        22.9989627599
        0.5604968000         5.0000000000         2.2183920940         5.0066353810        22.9324754356
        0.5656395000         5.0000000000         2.2209444209         4.9964278711        22.9989627599
        0.5705539000         5.0000000000         2.2183920940         0.0024036839        22.9324754356
        0.5754083000         5.0000000000         2.2234967477         0.0024036839        23.0654500841
        0.5804652000         5.0000000000         2.2234967477         0.0840637625        23.0654500841
        0.5854818000         5.0000000000         2.2132874403         0.1733794736        22.7995007872
        0.5903811000         5.0000000000         2.2311537283         0.2626951847        23.2649120568
        0.5956374000         5.0000000000         2.2158397672         0.3596665281        22.8659881114
        0.6004675000         5.0000000000         2.2311537283         0.4540859941        23.2649120568
        0.6055620000         5.0000000000         2.2183920940         0.5434017052        22.9324754356
        0.6104808000         5.0000000000         2.2158397672         0.6250617838        22.8659881114
        0.6154870000         5.0000000000         2.2311537283         0.7296887597        23.2649120568
        0.6204438000         5.0000000000         2.2209444209         0.8087969609        22.9989627599
        0.6254289000         5.0000000000         2.2081827866         0.8981126720        22.6665261387
        0.6304482000         5.0000000000         2.2337060552         0.9925321379        23.3313993810
        0.6354190000         5.0000000000         2.2209444209         1.0767440941        22.9989627599
        0.6404279000         5.0000000000         2.2337060552         1.1711635601        23.3313993810
        0.6455258000         5.0000000000         2.2286014014         1.2579273937        23.1984247326
        0.6504705000         5.0000000000         2.2183920940         1.3421393498        22.9324754356
        0.6554607000         5.0000000000         2.2260490746         1.4340069384        23.1319374083
        0.6605503000         5.0000000000         2.2286014014         1.5182188945        23.1984247326
        0.6655120000         5.0000000000         2.2209444209         1.6075346056        22.9989627599
        0.6704334000         5.0000000000         2.2260490746         1.7019540715        23.1319374083
        0.6754238000         5.0000000000         2.2183920940         1.7734066404        22.9324754356
        0.6804483000         5.0000000000         2.2209444209         1.8627223515        22.9989627599
        0.6854560000         5.0000000000         2.2311537283         1.9622455724        23.2649120568
        0.6906367000         5.0000000000         2.2234967477         2.0541131609        23.0654500841
        0.6954905000         5.0000000000         2.2234967477         2.1332213621        23.0654500841
        0.7005046000         5.0000000000         2.2362583820         2.2327445830        23.3978867052
        0.7054530000         5.0000000000         2.2183920940         2.3144046617        22.9324754356
        0.7105540000         5.0000000000         2.2158397672         2.4037203728        22.8659881114
        0.7155102000         5.0000000000         2.2183920940         2.4853804515        22.9324754356
        0.7205165000         5.0000000000         2.2260490746         2.5874555498        23.1319374083
        0.7254990000         5.0000000000         2.2311537283         2.6793231383        23.2649120568
        0.7305127000         5.0000000000         2.2234967477         2.7660869720        23.0654500841
        0.7354669000         5.0000000000         2.2311537283         2.8579545605        23.2649120568
        0.7405439000         5.0000000000         2.2132874403         2.9319590068        22.7995007872
        0.7454564000         5.0000000000         2.2260490746         3.0187228404        23.1319374083
        0.7504293000         5.0000000000         2.2158397672         3.1233498162        22.8659881114
        0.7554191000         5.0000000000         2.2209444209         3.2024580174        22.9989627599
        0.7605155000         5.0000000000         2.2209444209         3.2968774834        22.9989627599
        0.7655194000         5.0000000000         2.2234967477         3.3810894396        23.0654500841
        0.7704493000         5.0000000000         2.2158397672         3.4729570281        22.8659881114
        0.7754281000         5.0000000000         2.2209444209         3.5571689842        22.9989627599
        0.7804519000         5.0000000000         2.2183920940         3.6464846953        22.9324754356
        0.7854280000         5.0000000000         2.2183920940         3.7306966515        22.9324754356
        0.7908387000         5.0000000000         2.2260490746         3.8327717498        23.1319374083
        0.7954637000         5.0000000000         2.2209444209         3.9144318285        22.9989627599
        0.8004189000         5.0000000000         2.2081827866         4.0037475396        22.6665261387
        0.8054118000         5.0000000000         2.2234967477         4.0879594957        23.0654500841
        0.8105100000         5.0000000000         2.2209444209         4.1721714519        22.9989627599
        0.8154404000         5.0000000000         2.2107351134         4.2691427953        22.7330134630
        0.8204481000         5.0000000000         2.2234967477         4.3559066289        23.0654500841
        0.8255044000         5.0000000000         2.2107351134         4.4452223400        22.7330134630
        0.8304496000         5.0000000000         2.2311537283         4.5370899285        23.2649120568
        0.8355046000         5.0000000000         2.2234967477         4.6340612719        23.0654500841
        0.8405050000         5.0000000000         2.2311537283         4.7335844928        23.2649120568
        0.8454509000         5.0000000000         2.2183920940         4.8229002039        22.9324754356
        0.8504124000         5.0000000000         2.2311537283         4.9020084051        23.2649120568
        0.8554015000         5.0000000000         2.2183920940         5.0015316260        22.9324754356
        0.8604530000         5.0000000000         2.2234967477         5.0040835035        23.0654500841
        0.8654554000         5.0000000000         2.2107351134         1.1048147461        22.7330134630
        0.8704157000         5.0000000000         2.2311537283         0.0024036839        23.2649120568
        0.8754205000         5.0000000000         2.2311537283         0.0559931105        23.2649120568
        0.8805253000         5.0000000000         2.2183920940         0.1529644539        22.9324754356
        0.8854458000         5.0000000000         2.2183920940         0.2422801650        22.9324754356
        0.8904852000         5.0000000000         2.2260490746         0.3341477535        23.1319374083
        0.8954057000         5.0000000000         2.2260490746         0.4234634646        23.1319374083
        0.9003970000         5.0000000000         2.2311537283         0.5229866855        23.2649120568
        0.9054055000         5.0000000000         2.2260490746         0.6123023966        23.1319374083
        0.9103994000         5.0000000000         2.2158397672         0.6914105978        22.8659881114
        0.9154080000         5.0000000000         2.2183920940         0.7807263088        22.9324754356
