% Motor Sweep Step 13/50
% Vcmd       = 3.2000 [V]
% Direction  = CW
% Vg_offset  = 1.334866 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000099000         3.2000000000         1.3403916554         2.4471022896         0.1439450570
        0.0050069000         3.2000000000         1.3429439823         2.4445504121         0.2104323812
        0.0100049000         3.2000000000         1.3429439823         2.4471022896         0.2104323812
        0.0150063000         3.2000000000         1.3378393285         2.4394466572         0.0774577327
        0.0200070000         3.2000000000         1.3429439823         2.4394466572         0.2104323812
        0.0250068000         3.2000000000         1.4960835936         2.4445504121         4.1996718348
        0.0300054000         3.2000000000         1.4501417102         2.4547579220         3.0028999987
        0.0350059000         3.2000000000         1.4450370565         2.4726210642         2.8699253502
        0.0400069000         3.2000000000         1.4884266131         2.4853804515         4.0002098621
        0.0450064000         3.2000000000         1.4884266131         2.5057954711         4.0002098621
        0.0500074000         3.2000000000         1.4731126519         2.5236586133         3.6012859167
        0.0550061000         3.2000000000         1.5139498816         2.5287623683         4.6650831044
        0.0600052000         3.2000000000         1.4935312668         2.5517292654         4.1331845106
        0.0650084000         3.2000000000         1.4986359205         2.5721442851         4.2661591590
        0.0700058000         3.2000000000         1.5241591891         2.5823517949         4.9310324013
        0.0750317000         3.2000000000         1.5088452279         2.6027668146         4.5321084559
        0.0800046000         3.2000000000         1.5165022085         2.6180780793         4.7315704286
        0.0850036000         3.2000000000         1.5343684965         2.6384930990         5.1969816982
        0.0900046000         3.2000000000         1.5165022085         2.6487006088         4.7315704286
        0.0950041000         3.2000000000         1.5369208233         2.6818750158         5.2634690224
        0.1000030000         3.2000000000         1.5318161696         2.6920825256         5.1304943740
        0.1050063000         3.2000000000         1.5267115159         2.7099456679         4.9975197255
        0.1100047000         3.2000000000         1.5318161696         2.7278088101         5.1304943740
        0.1150063000         3.2000000000         1.5369208233         2.7507757072         5.2634690224
        0.1200052000         3.2000000000         1.5420254771         2.7737426043         5.3964436709
        0.1250047000         3.2000000000         1.5471301308         2.7916057465         5.5294183193
        0.1300052000         3.2000000000         1.5369208233         2.8094688888         5.2634690224
        0.1350053000         3.2000000000         1.5369208233         2.8298839084         5.2634690224
        0.1400026000         3.2000000000         1.5522347845         2.8554026830         5.6623929678
        0.1450040000         3.2000000000         1.5471301308         2.8809214576         5.5294183193
        0.1500021000         3.2000000000         1.5649964188         2.9064402322         5.9948295889
        0.1550040000         3.2000000000         1.5471301308         2.9243033744         5.5294183193
        0.1600033000         3.2000000000         1.5624440919         2.9472702715         5.9283422647
        0.1650038000         3.2000000000         1.5598917651         2.9753409236         5.8618549404
        0.1700036000         3.2000000000         1.5701010725         2.9932040658         6.1278042374
        0.1750041000         3.2000000000         1.5649964188         3.0136190855         5.9948295889
        0.1800028000         3.2000000000         1.5701010725         3.0416897375         6.1278042374
        0.1850051000         3.2000000000         1.5649964188         3.0595528797         5.9948295889
        0.1900028000         3.2000000000         1.5777580530         3.0850716543         6.3272662100
        0.1950039000         3.2000000000         1.5752057262         3.1105904289         6.2607788858
        0.2000034000         3.2000000000         1.5675487456         3.1284535711         6.0613169131
        0.2050037000         3.2000000000         1.5828627068         3.1616279781         6.4602408585
        0.2100027000         3.2000000000         1.5726533993         3.1769392429         6.1942915616
        0.2150037000         3.2000000000         1.5854150336         3.2075617724         6.5267281827
        0.2200028000         3.2000000000         1.5879673605         3.2305286695         6.5932155069
        0.2250074000         3.2000000000         1.5752057262         3.2458399342         6.2607788858
        0.2300055000         3.2000000000         1.5701010725         3.2764624638         6.1278042374
        0.2350046000         3.2000000000         1.5394731502         3.2994293609         5.3299563466
        0.2400022000         3.2000000000         1.5777580530         3.3223962580         6.3272662100
        0.2450036000         3.2000000000         1.5828627068         3.3479150326         6.4602408585
        0.2500023000         3.2000000000         1.5803103799         3.3708819297         6.3937535343
        0.2550039000         3.2000000000         1.5777580530         3.3912969494         6.3272662100
        0.2600037000         3.2000000000         1.5803103799         3.4244713564         6.3937535343
        0.2650036000         3.2000000000         1.5854150336         3.4499901310         6.5267281827
        0.2701224000         3.2000000000         1.5777580530         3.4653013957         6.3272662100
        0.2750037000         3.2000000000         1.5726533993         3.4882682929         6.1942915616
        0.2801402000         3.2000000000         1.5701010725         3.5137870674         6.1278042374
        0.2850112000         3.2000000000         1.5752057262         3.5342020871         6.2607788858
        0.2900030000         3.2000000000         1.5701010725         3.5597208617         6.1278042374
        0.2950055000         3.2000000000         1.5752057262         3.5826877588         6.2607788858
        0.3000117000         3.2000000000         1.5701010725         3.6056546560         6.1278042374
        0.3050031000         3.2000000000         1.5854150336         3.6362771855         6.5267281827
        0.3100038000         3.2000000000         1.5777580530         3.6592440826         6.3272662100
        0.3150029000         3.2000000000         1.5854150336         3.6873147347         6.5267281827
        0.3200074000         3.2000000000         1.5803103799         3.7077297543         6.3937535343
        0.3250030000         3.2000000000         1.5777580530         3.7281447740         6.3272662100
        0.3300037000         3.2000000000         1.5803103799         3.7536635486         6.3937535343
        0.3350049000         3.2000000000         1.5803103799         3.7740785683         6.3937535343
        0.3400061000         3.2000000000         1.5777580530         3.8021492203         6.3272662100
        0.3450024000         3.2000000000         1.5854150336         3.8302198724         6.5267281827
        0.3500036000         3.2000000000         1.5803103799         3.8531867695         6.3937535343
        0.3550024000         3.2000000000         1.5701010725         3.8684980342         6.1278042374
        0.3600054000         3.2000000000         1.5701010725         3.8889130539         6.1278042374
        0.3650036000         3.2000000000         1.5752057262         3.9195355834         6.2607788858
        0.3700056000         3.2000000000         1.5777580530         3.9450543580         6.3272662100
        0.3750030000         3.2000000000         1.5394731502         3.9629175002         5.3299563466
        0.3800037000         3.2000000000         1.5854150336         4.0011956621         6.5267281827
        0.3850030000         3.2000000000         1.5803103799         4.0165069269         6.3937535343
        0.3900036000         3.2000000000         1.5854150336         4.0394738240         6.5267281827
        0.3950029000         3.2000000000         1.5803103799         4.0573369662         6.3937535343
        0.4000043000         3.2000000000         1.5752057262         4.0854076183         6.2607788858
        0.4050024000         3.2000000000         1.5803103799         4.1134782703         6.3937535343
        0.4100036000         3.2000000000         1.5879673605         4.1415489224         6.5932155069
        0.4150039000         3.2000000000         1.5828627068         4.1619639420         6.4602408585
        0.4200037000         3.2000000000         1.5930720142         4.1951383490         6.7261901554
        0.4250023000         3.2000000000         1.5828627068         4.2130014912         6.4602408585
        0.4300041000         3.2000000000         1.5777580530         4.2359683883         6.3272662100
        0.4350067000         3.2000000000         1.5879673605         4.2614871629         6.5932155069
        0.4400038000         3.2000000000         1.5828627068         4.2895578150         6.4602408585
        0.4450039000         3.2000000000         1.5854150336         4.3099728347         6.5267281827
        0.4500038000         3.2000000000         1.5905196873         4.3405953642         6.6597028312
        0.4550022000         3.2000000000         1.5675487456         4.3635622613         6.0613169131
        0.4600014000         3.2000000000         1.5879673605         4.3865291584         6.5932155069
        0.4650053000         3.2000000000         1.5905196873         4.4120479330         6.6597028312
        0.4700024000         3.2000000000         1.5777580530         4.4324629527         6.3272662100
        0.4750023000         3.2000000000         1.5803103799         4.4605336047         6.3937535343
        0.4800029000         3.2000000000         1.5828627068         4.4860523793         6.4602408585
        0.4850052000         3.2000000000         1.5854150336         4.5166749088         6.5267281827
        0.4900017000         3.2000000000         1.5879673605         4.5396418060         6.5932155069
        0.4950030000         3.2000000000         1.5777580530         4.5626087031         6.3272662100
        0.5000023000         3.2000000000         1.5828627068         4.5957831101         6.4602408585
        0.5050017000         3.2000000000         1.5803103799         4.6238537621         6.3937535343
        0.5100087000         3.2000000000         1.5803103799         4.6493725367         6.3937535343
        0.5150032000         3.2000000000         1.5777580530         4.6697875564         6.3272662100
        0.5200025000         3.2000000000         1.5828627068         4.6978582084         6.4602408585
        0.5252553000         3.2000000000         1.5854150336         4.7284807379         6.5267281827
        0.5300044000         3.2000000000         1.5879673605         4.7514476351         6.5932155069
        0.5350015000         3.2000000000         1.5854150336         4.7718626547         6.5267281827
        0.5400020000         3.2000000000         1.5854150336         4.8024851842         6.5267281827
        0.5450032000         3.2000000000         1.5752057262         4.8305558363         6.2607788858
        0.5500058000         3.2000000000         1.5905196873         4.8484189785         6.6597028312
        0.5550062000         3.2000000000         1.5854150336         4.8739377531         6.5267281827
        0.5600067000         3.2000000000         1.5828627068         4.9045602826         6.4602408585
        0.5650031000         3.2000000000         1.5879673605         4.9377346896         6.5932155069
        0.5700023000         3.2000000000         1.5905196873         4.9607015867         6.6597028312
        0.5750029000         3.2000000000         1.5854150336         4.9862203613         6.5267281827
        0.5800023000         3.2000000000         1.5828627068         5.0040835035         6.4602408585
        0.5850012000         3.2000000000         1.5675487456         5.0040835035         6.0613169131
        0.5900028000         3.2000000000         1.5777580530         5.0040835035         6.3272662100
        0.5950014000         3.2000000000         1.5854150336         4.9989797486         6.5267281827
        0.6000020000         3.2000000000         1.5726533993         4.9989797486         6.1942915616
        0.6050017000         3.2000000000         1.5828627068         4.9913241162         6.4602408585
        0.6100020000         3.2000000000         1.5828627068         1.1150222560         6.4602408585
        0.6150016000         3.2000000000         1.5701010725         1.1073666236         6.1278042374
        0.6200040000         3.2000000000         1.5701010725         0.0024036839         6.1278042374
        0.6250037000         3.2000000000         1.5905196873         0.0075074388         6.6597028312
        0.6300049000         3.2000000000         1.5905196873         0.0075074388         6.6597028312
        0.6350025000         3.2000000000         1.5777580530        -0.0052519485         6.3272662100
        0.6400084000         3.2000000000         1.5905196873         0.0049555613         6.6597028312
        0.6450049000         3.2000000000         1.5726533993         0.0151630711         6.1942915616
        0.6500039000         3.2000000000         1.5803103799         0.0457856007         6.3937535343
        0.6550044000         3.2000000000         1.5854150336         0.0738562527         6.5267281827
        0.6600062000         3.2000000000         1.5854150336         0.0942712724         6.5267281827
        0.6650037000         3.2000000000         1.5777580530         0.1172381695         6.3272662100
        0.6700032000         3.2000000000         1.5803103799         0.1402050666         6.3937535343
        0.6750031000         3.2000000000         1.5854150336         0.1733794736         6.5267281827
        0.6800030000         3.2000000000         1.5956243410         0.2065538806         6.7926774796
        0.6850026000         3.2000000000         1.5905196873         0.2269689002         6.6597028312
        0.6900018000         3.2000000000         1.5905196873         0.2524876748         6.6597028312
        0.6950044000         3.2000000000         1.5905196873         0.2805583269         6.6597028312
        0.7000025000         3.2000000000         1.5930720142         0.3060771015         6.7261901554
        0.7050036000         3.2000000000         1.5828627068         0.3239402437         6.4602408585
        0.7100025000         3.2000000000         1.5854150336         0.3545627732         6.5267281827
        0.7150036000         3.2000000000         1.5930720142         0.3928409351         6.7261901554
        0.7200028000         3.2000000000         1.5828627068         0.4030484449         6.4602408585
        0.7250200000         3.2000000000         1.5879673605         0.4311190970         6.5932155069
        0.7300041000         3.2000000000         1.5777580530         0.4591897490         6.3272662100
        0.7350036000         3.2000000000         1.5803103799         0.4898122785         6.3937535343
        0.7400025000         3.2000000000         1.5930720142         0.5229866855         6.7261901554
        0.7450037000         3.2000000000         1.5879673605         0.5459535826         6.5932155069
        0.7500028000         3.2000000000         1.5854150336         0.5638167248         6.5267281827
        0.7550037000         3.2000000000         1.5854150336         0.5842317445         6.5267281827
        0.7600033000         3.2000000000         1.5803103799         0.6199580289         6.3937535343
        0.7650061000         3.2000000000         1.5752057262         0.6327174162         6.2607788858
        0.7700033000         3.2000000000         1.5854150336         0.6607880683         6.5267281827
        0.7750051000         3.2000000000         1.5803103799         0.6914105978         6.3937535343
        0.7800038000         3.2000000000         1.5777580530         0.7118256175         6.3272662100
        0.7850029000         3.2000000000         1.5854150336         0.7450000244         6.5267281827
        0.7900034000         3.2000000000         1.5803103799         0.7654150441         6.3937535343
        0.7950036000         3.2000000000         1.5777580530         0.7832781863         6.3272662100
        0.8000033000         3.2000000000         1.5905196873         0.8190044707         6.6597028312
        0.8050027000         3.2000000000         1.5726533993         0.8368676129         6.1942915616
        0.8100037000         3.2000000000         1.5854150336         0.8674901425         6.5267281827
        0.8150047000         3.2000000000         1.5777580530         0.8853532847         6.3272662100
        0.8200031000         3.2000000000         1.5854150336         0.9134239367         6.5267281827
        0.8250043000         3.2000000000         1.5803103799         0.9414945888         6.3937535343
        0.8300038000         3.2000000000         1.5930720142         0.9695652408         6.7261901554
        0.8350029000         3.2000000000         1.5675487456         0.9848765056         6.0613169131
        0.8400027000         3.2000000000         1.5522347845         1.0154990351         5.6623929678
        0.8450019000         3.2000000000         1.5879673605         1.0384659322         6.5932155069
        0.8500033000         3.2000000000         1.5752057262         1.0665365843         6.2607788858
        0.8550016000         3.2000000000         1.5828627068         1.0920553588         6.4602408585
        0.8600063000         3.2000000000         1.5879673605         1.1124703785         6.5932155069
        0.8650030000         3.2000000000         1.5726533993         1.1405410306         6.1942915616
        0.8700040000         3.2000000000         1.5930720142         1.1686116826         6.7261901554
        0.8750021000         3.2000000000         1.5803103799         1.1966823347         6.3937535343
        0.8800025000         3.2000000000         1.5879673605         1.2145454769         6.5932155069
        0.8850041000         3.2000000000         1.5854150336         1.2400642515         6.5267281827
        0.8900052000         3.2000000000         1.5701010725         1.2553755162         6.1278042374
        0.8950069000         3.2000000000         1.5854150336         1.2834461683         6.5267281827
        0.9000087000         3.2000000000         1.5879673605         1.3166205752         6.5932155069
        0.9050037000         3.2000000000         1.5956243410         1.3421393498         6.7926774796
        0.9100050000         3.2000000000         1.5905196873         1.3651062470         6.6597028312
        0.9150027000         3.2000000000         1.5803103799         1.3829693892         6.3937535343
        0.9200039000         3.2000000000         1.5905196873         1.4135919187         6.6597028312
        0.9250046000         3.2000000000         1.5854150336         1.4365588158         6.5267281827
        0.9300045000         3.2000000000         1.5854150336         1.4595257129         6.5267281827
        0.9350060000         3.2000000000         1.5777580530         1.4773888552         6.3272662100
        0.9400042000         3.2000000000         1.5854150336         1.5029076297         6.5267281827
        0.9450076000         3.2000000000         1.5905196873         1.5411857916         6.6597028312
        0.9500046000         3.2000000000         1.5930720142         1.5616008113         6.7261901554
        0.9550031000         3.2000000000         1.5905196873         1.5896714634         6.6597028312
