% Motor Sweep Step 145/180
% Vcmd       = 4.1500 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336525 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000504000         4.1500000000         1.3352870017         4.2793503051        -0.0322463522
        0.0050139000         4.1500000000         1.3429439823         4.2793503051         0.1672156204
        0.0100119000         4.1500000000         1.3352870017         4.2819021826        -0.0322463522
        0.0150122000         4.1500000000         1.4909789399         4.2946615699         4.0234804256
        0.0200080000         4.1500000000         1.7002697422         4.3252840994         9.4754410122
        0.0250069000         4.1500000000         1.6568801856         4.3559066289         8.3451565003
        0.0300049000         4.1500000000         1.6926127616         4.3865291584         9.2759790395
        0.0350066000         4.1500000000         1.7564209330         4.4248073203        10.9381621452
        0.0400041000         4.1500000000         1.7717348941         4.4809486244        11.3370860905
        0.0450090000         4.1500000000         1.7972581627         4.5217786637        12.0019593328
        0.0500228000         4.1500000000         1.8278860850         4.5753680904        12.7998072235
        0.0550081000         4.1500000000         1.8636186610         4.6238537621        13.7306297627
        0.0600063000         4.1500000000         1.8585140073         4.6876506986        13.5976551142
        0.0650059000         4.1500000000         1.8738279684         4.7412401252        13.9965790596
        0.0702334000         4.1500000000         1.8993512370         4.7973814293        14.6614523018
        0.0750049000         4.1500000000         1.8916942564         4.8509708560        14.4619903292
        0.0800051000         4.1500000000         1.9248745055         4.9071121601        15.3263255441
        0.0850068000         4.1500000000         1.9070082175         4.9658053416        14.8609142745
        0.0900053000         4.1500000000         1.9350838130         5.0117391359        15.5922748410
        0.0950075000         4.1500000000         1.9376361398         5.0066353810        15.6587621652
        0.1000065000         4.1500000000         1.9503977741         1.1073666236        15.9911987864
        0.1050096000         4.1500000000         1.9529501009         0.0049555613        16.0576861106
        0.1100052000         4.1500000000         1.9733687158         0.0075074388        16.5895847044
        0.1150120000         4.1500000000         1.9631594084         0.0304743359        16.3236354075
        0.1200104000         4.1500000000         1.9733687158         0.0968231498        16.5895847044
        0.1250115000         4.1500000000         1.9682640621         0.1606200863        16.4566100560
        0.1300098000         4.1500000000         1.9784733695         0.2320726552        16.7225593529
        0.1350104000         4.1500000000         1.9810256964         0.2958695916        16.7890466771
        0.1400092000         4.1500000000         1.9963396575         0.3647702830        17.1879706225
        0.1450115000         4.1500000000         1.9886826769         0.4413266068        16.9885086498
        0.1500105000         4.1500000000         2.0039966381         0.5051235433        17.3874325951
        0.1550074000         4.1500000000         2.0065489649         0.5765761121        17.4539199194
        0.1600073000         4.1500000000         2.0091012918         0.6403730486        17.5204072436
        0.1650076000         4.1500000000         2.0065489649         0.7092737400        17.4539199194
        0.1700108000         4.1500000000         2.0193105992         0.7781744314        17.7863565405
        0.1750108000         4.1500000000         2.0269675798         0.8547307552        17.9858185132
        0.1800070000         4.1500000000         2.0295199066         0.9261833240        18.0523058374
        0.1850046000         4.1500000000         2.0193105992         0.9950840154        17.7863565405
        0.1900080000         4.1500000000         2.0448338678         1.0716403392        18.4512297828
        0.1950088000         4.1500000000         2.0269675798         1.1303335207        17.9858185132
        0.2000101000         4.1500000000         2.0371768872         1.2043379670        18.2517678101
        0.2050100000         4.1500000000         2.0346245604         1.2681349035        18.1852804859
        0.2100086000         4.1500000000         2.0371768872         1.3395874724        18.2517678101
        0.2150092000         4.1500000000         2.0575955021         1.4161437961        18.7836664039
        0.2200072000         4.1500000000         2.0397292141         1.4773888552        18.3182551343
        0.2250090000         4.1500000000         2.0575955021         1.5590489338        18.7836664039
        0.2300091000         4.1500000000         2.0550431752         1.6381571351        18.7171790797
        0.2350073000         4.1500000000         2.0652524826         1.7070578265        18.9831283766
        0.2400078000         4.1500000000         2.0601478289         1.7785103953        18.8501537281
        0.2450053000         4.1500000000         2.0601478289         1.8372035769        18.8501537281
        0.2500054000         4.1500000000         2.0448338678         1.9086561457        18.4512297828
        0.2550067000         4.1500000000         2.0678048095         1.9801087146        19.0496157008
        0.2600042000         4.1500000000         2.0524908483         2.0541131609        18.6506917554
        0.2650237000         4.1500000000         2.0601478289         2.1408769945        18.8501537281
        0.2700035000         4.1500000000         2.0678048095         2.2046739310        19.0496157008
        0.2750049000         4.1500000000         2.0703571363         2.2837821322        19.1161030250
        0.2800074000         4.1500000000         2.0729094632         2.3526828236        19.1825903493
        0.2850110000         4.1500000000         2.0601478289         2.4241353924        18.8501537281
        0.2900041000         4.1500000000         2.0703571363         2.4981398388        19.1161030250
