% Motor Sweep Step 131/180
% Vcmd       = 3.8000 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000184000         3.8000000000         1.3148683868         3.9986437847        -0.5545042841
        0.0050071000         3.8000000000         1.3378393285         4.0037475396         0.0438816340
        0.0100073000         3.8000000000         1.3301823480         3.9986437847        -0.1555803387
        0.0150104000         3.8000000000         1.3863335388         4.0165069269         1.3071407943
        0.0200076000         3.8000000000         1.6185952828         4.0369219465         7.3574872989
        0.0250104000         3.8000000000         1.5496824576         4.0547850888         5.5623295448
        0.0300107000         3.8000000000         1.5828627068         4.0700963535         6.4266647598
        0.0350098000         3.8000000000         1.6288045902         4.1083745154         7.6234365958
        0.0400108000         3.8000000000         1.6466708782         4.1338932900         8.0888478654
        0.0450091000         3.8000000000         1.6364615707         4.1619639420         7.8228985685
        0.0500102000         3.8000000000         1.6619848393         4.1925864715         8.4877718108
        0.0550105000         3.8000000000         1.7104790496         4.2385202658         9.7510309711
        0.0600070000         3.8000000000         1.6951650884         4.2716946728         9.3521070257
        0.0650032000         3.8000000000         1.7079267227         4.3048690797         9.6845436469
        0.0700054000         3.8000000000         1.7181360302         4.3405953642         9.9504929438
        0.0750094000         3.8000000000         1.7155837033         4.3839772810         9.8840056195
        0.0800062000         3.8000000000         1.7589732599         4.4299110752        11.0142901314
        0.0850097000         3.8000000000         1.7206883570         4.4579817273        10.0169802680
        0.0900046000         3.8000000000         1.7411069719         4.5013636441        10.5488788618
        0.0950053000         3.8000000000         1.7564209330         4.5421936834        10.9478028072
        0.1000090000         3.8000000000         1.7589732599         4.6008868650        11.0142901314
        0.1050100000         3.8000000000         1.7640779136         4.6366131494        11.1472647798
        0.1100099000         3.8000000000         1.7793918747         4.6825469437        11.5461887252
        0.1150096000         3.8000000000         1.7793918747         4.7284807379        11.5461887252
        0.1200086000         3.8000000000         1.7793918747         4.7693107773        11.5461887252
        0.1250093000         3.8000000000         1.7768395479         4.8152445715        11.4797014010
        0.1300060000         3.8000000000         1.7921535090         4.8713858756        11.8786253463
        0.1350102000         3.8000000000         1.8049151433         4.9198715474        12.2110619675
        0.1400108000         3.8000000000         1.8023628164         4.9709090965        12.1445746432
        0.1450060000         3.8000000000         1.7998104896         5.0040835035        12.0780873190
        0.1500131000         3.8000000000         1.8049151433         5.0066353810        12.2110619675
        0.1550498000         3.8000000000         1.8253337581         5.0040835035        12.7429605613
        0.1600687000         3.8000000000         1.8151244507         1.1048147461        12.4770112644
        0.1652333000         3.8000000000         1.8176767776         0.0024036839        12.5434985886
        0.1700211000         3.8000000000         1.8278860850        -0.0027000711        12.8094478855
        0.1750066000         3.8000000000         1.8176767776         0.0049555613        12.5434985886
        0.1800165000         3.8000000000         1.8329907387         0.0585449879        12.9424225340
        0.1850066000         3.8000000000         1.8278860850         0.0993750273        12.8094478855
        0.1900653000         3.8000000000         1.8329907387         0.1555163314        12.9424225340
        0.1950071000         3.8000000000         1.8483046998         0.2014501257        13.3413464793
        0.2002674000         3.8000000000         1.8278860850         0.2575914298        12.8094478855
        0.2050094000         3.8000000000         1.8432000461         0.3111808564        13.2083718309
        0.2100091000         3.8000000000         1.8483046998         0.3673221605        13.3413464793
        0.2150082000         3.8000000000         1.8406477193         0.4183597097        13.1418845066
        0.2200109000         3.8000000000         1.8585140073         0.4719491363        13.6072957762
        0.2250053000         3.8000000000         1.8559616804         0.5331941953        13.5408084520
        0.2300106000         3.8000000000         1.8610663341         0.5842317445        13.6737831005
        0.2350097000         3.8000000000         1.8610663341         0.6352692937        13.6737831005
        0.2400093000         3.8000000000         1.8610663341         0.6812030879        13.6737831005
        0.2450051000         3.8000000000         1.8508570267         0.7322406371        13.4078338036
        0.2500091000         3.8000000000         1.8738279684         0.7934856961        14.0062197216
        0.2550068000         3.8000000000         1.8687233147         0.8521788777        13.8732450731
        0.2600089000         3.8000000000         1.8840372758         0.9032164269        14.2721690185
        0.2650071000         3.8000000000         1.8738279684         0.9568058535        14.0062197216
        0.2700053000         3.8000000000         1.8814849490         1.0129471576        14.2056816943
        0.2750108000         3.8000000000         1.8789326221         1.0614328293        14.1391943700
        0.2800102000         3.8000000000         1.8840372758         1.1201260109        14.2721690185
        0.2850064000         3.8000000000         1.8712756415         1.1660598052        13.9397323974
        0.2900054000         3.8000000000         1.8763802953         1.2196492318        14.0727070458
