% Motor Sweep Step 153/180
% Vcmd       = 4.3500 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336525 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000095000         4.3500000000         1.3454963091         1.9367267978         0.2337029447
        0.0050068000         4.3500000000         1.3429439823         1.9443824302         0.1672156204
        0.0100095000         4.3500000000         1.3378393285         1.9367267978         0.0342409720
        0.0150055000         4.3500000000         1.5879673605         1.9494861851         6.5499987462
        0.0202485000         4.3500000000         1.7283453376         1.9852124695        10.2068015787
        0.0250061000         4.3500000000         1.6926127616         2.0260425088         9.2759790395
        0.0300478000         4.3500000000         1.7717348941         2.0668725482        11.3370860905
        0.0350067000         4.3500000000         1.7972581627         2.1128063424        12.0019593328
        0.0400090000         4.3500000000         1.8202291044         2.1536363818        12.6003452508
        0.0450037000         4.3500000000         1.8508570267         2.2021220535        13.3981931415
        0.0500048000         4.3500000000         1.8942465832         2.2633671125        14.5284776534
        0.0550046000         4.3500000000         1.9427407935         2.3297159265        15.7917368137
        0.0600043000         4.3500000000         1.9121128712         2.3730978433        14.9938889230
        0.0650047000         4.3500000000         1.9452931204         2.4368947797        15.8582241379
        0.0700048000         4.3500000000         1.9580547547         2.5032435937        16.1906607591
        0.0750080000         4.3500000000         1.9682640621         2.5670405302        16.4566100560
        0.0800050000         4.3500000000         1.9988919844         2.6359412215        17.2544579467
        0.0850046000         4.3500000000         1.9886826769         2.6920825256        16.9885086498
        0.0900034000         4.3500000000         2.0167582724         2.7686388494        17.7198692163
        0.0950047000         4.3500000000         2.0065489649         2.8273320310        17.4539199194
        0.1000449000         4.3500000000         2.0397292141         2.9038883547        18.3182551343
        0.1050065000         4.3500000000         2.0244152529         2.9702371687        17.9193311890
        0.1104973000         4.3500000000         2.0524908483         3.0518972474        18.6506917554
        0.1150059000         4.3500000000         2.0499385215         3.1105904289        18.5842044312
        0.1200049000         4.3500000000         2.0524908483         3.1794911203        18.6506917554
        0.1250375000         4.3500000000         2.0729094632         3.2688068314        19.1825903493
        0.1300051000         4.3500000000         2.0524908483         3.3275000129        18.6506917554
        0.1350048000         4.3500000000         2.0907757512         3.4040563367        19.6480016188
        0.1400058000         4.3500000000         2.0754617901         3.4831645379        19.2490776735
        0.1450043000         4.3500000000         2.0882234243         3.5571689842        19.5815142946
        0.1500034000         4.3500000000         2.0856710975         3.6362771855        19.5150269704
        0.1550051000         4.3500000000         2.0805664438         3.7051778769        19.3820523219
        0.1600027000         4.3500000000         2.0933280780         3.7817342006        19.7144889431
        0.1650017000         4.3500000000         2.1035373855         3.8608424019        19.9804382400
        0.1700040000         4.3500000000         2.0984327318         3.9399506031        19.8474635915
        0.1750035000         4.3500000000         2.1009850586         4.0114031719        19.9139509158
        0.1800032000         4.3500000000         2.1214036735         4.0956151281        20.4458495096
        0.1850029000         4.3500000000         2.1188513466         4.1747233293        20.3793621853
        0.1900015000         4.3500000000         2.1214036735         4.2538315306        20.4458495096
        0.1950049000         4.3500000000         2.1086420392         4.3227322219        20.1134128884
        0.2000018000         4.3500000000         2.0984327318         4.4018404232        19.8474635915
        0.2050214000         4.3500000000         2.1214036735         4.4860523793        20.4458495096
        0.2100023000         4.3500000000         2.1086420392         4.5651605806        20.1134128884
        0.2150028000         4.3500000000         2.1239560003         4.6391650269        20.5123368338
        0.2200048000         4.3500000000         2.1188513466         4.7310326154        20.3793621853
        0.2250066000         4.3500000000         2.1214036735         4.8050370617        20.4458495096
