% Motor Sweep Step 68/180
% Vcmd       = 2.1600 [V]
% Direction  = CCW
% Zone       = DEADZONE
% Vg_offset  = 1.336525 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000109000         2.1600000000         1.3429439823         4.6595800465         0.1672156204
        0.0050098000         2.1600000000         1.3378393285         4.6570281691         0.0342409720
        0.0100064000         2.1600000000         1.3429439823         4.6621319240         0.1672156204
        0.0150078000         2.1600000000         1.3403916554         4.6595800465         0.1007282962
        0.0200060000         2.1600000000         1.3429439823         4.6621319240         0.1672156204
        0.0250066000         2.1600000000         1.3352870017         4.6544762916        -0.0322463522
        0.0300080000         2.1600000000         1.3301823480         4.6544762916        -0.1652210007
        0.0350289000         2.1600000000         1.2331939274         4.6468206592        -2.6917393213
        0.0401242000         2.1600000000         1.2842404646         4.6442687818        -1.3619928368
        0.0450088000         2.1600000000         1.2893451183         4.6417169043        -1.2290181883
        0.0500364000         2.1600000000         1.2536125423         4.6213018847        -2.1598407275
        0.0550263000         2.1600000000         1.2663741766         4.6264056396        -1.8274041064
        0.0600039000         2.1600000000         1.2612695229         4.6059906199        -1.9603787548
        0.0650048000         2.1600000000         1.2536125423         4.6059906199        -2.1598407275
        0.0700068000         2.1600000000         1.2638218497         4.6008868650        -1.8938914306
        0.0750049000         2.1600000000         1.2587171960         4.5881274777        -2.0268660791
        0.0800064000         2.1600000000         1.2485078886         4.5779199678        -2.2928153760
        0.0850043000         2.1600000000         1.2459555617         4.5651605806        -2.3593027002
        0.0900060000         2.1600000000         1.2612695229         4.5626087031        -1.9603787548
        0.0950050000         2.1600000000         1.2587171960         4.5626087031        -2.0268660791
        0.1000059000         2.1600000000         1.2408509080         4.5396418060        -2.4922773486
        0.1050031000         2.1600000000         1.2459555617         4.5294342961        -2.3593027002
        0.1100058000         2.1600000000         1.2434032349         4.5217786637        -2.4257900244
        0.1150028000         2.1600000000         1.2485078886         4.5166749088        -2.2928153760
        0.1200047000         2.1600000000         1.2459555617         4.5064673990        -2.3593027002
        0.1250051000         2.1600000000         1.2408509080         4.4937080117        -2.4922773486
        0.1300064000         2.1600000000         1.2408509080         4.4860523793        -2.4922773486
        0.1350032000         2.1600000000         1.2536125423         4.4911561342        -2.1598407275
        0.1400057000         2.1600000000         1.2485078886         4.4732929920        -2.2928153760
        0.1450043000         2.1600000000         1.2434032349         4.4656373597        -2.4257900244
        0.1500047000         2.1600000000         1.2280892737         4.4503260949        -2.8247139698
        0.1550059000         2.1600000000         1.2510602154         4.4503260949        -2.2263280517
        0.1600035000         2.1600000000         1.2434032349         4.4350148301        -2.4257900244
        0.1650039000         2.1600000000         1.2408509080         4.4197035654        -2.4922773486
        0.1700046000         2.1600000000         1.2357462543         4.4120479330        -2.6252519971
        0.1750028000         2.1600000000         1.2357462543         4.4018404232        -2.6252519971
        0.1800051000         2.1600000000         1.2382985811         4.3916329133        -2.5587646729
        0.1850054000         2.1600000000         1.2434032349         4.3890810359        -2.4257900244
        0.1900056000         2.1600000000         1.2331939274         4.3788735260        -2.6917393213
        0.1950053000         2.1600000000         1.2434032349         4.3686660162        -2.4257900244
        0.2000055000         2.1600000000         1.2587171960         4.3661141388        -2.0268660791
        0.2050082000         2.1600000000         1.2485078886         4.3559066289        -2.2928153760
        0.2100063000         2.1600000000         1.2485078886         4.3482509965        -2.2928153760
        0.2150038000         2.1600000000         1.2382985811         4.3303878543        -2.5587646729
        0.2200048000         2.1600000000         1.2408509080         4.3227322219        -2.4922773486
        0.2250048000         2.1600000000         1.2331939274         4.3074209572        -2.6917393213
        0.2300077000         2.1600000000         1.2331939274         4.2972134474        -2.6917393213
        0.2350060000         2.1600000000         1.2280892737         4.2921096924        -2.8247139698
        0.2400072000         2.1600000000         1.2331939274         4.2767984277        -2.6917393213
        0.2450056000         2.1600000000         1.2357462543         4.2742465502        -2.6252519971
        0.2500060000         2.1600000000         1.2357462543         4.2614871629        -2.6252519971
        0.2550047000         2.1600000000         1.2357462543         4.2512796531        -2.6252519971
        0.2600081000         2.1600000000         1.2306416006         4.2385202658        -2.7582266455
        0.2650038000         2.1600000000         1.2306416006         4.2283127560        -2.7582266455
        0.2700294000         2.1600000000         1.2331939274         4.2206571236        -2.6917393213
        0.2750057000         2.1600000000         1.2357462543         4.2155533687        -2.6252519971
