% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 5
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
0.1750000000         0.0437511900         0.3645830414         0.0073136057        
0.1800000000         0.0450012800         0.3750001663         -0.1123635780       
0.1850000000         0.0462510400         0.3854145414         -0.0857686482       
0.1900000000         0.0475025000         0.3958430828         -0.1123635779       
0.1950000000         0.0487513800         0.4062501247         0.0472060002        
0.2000000000         0.0500014150         0.4166667913         -0.0325787889       
0.2050000000         0.0512508700         0.4270786248         0.0472060002        
0.2100000000         0.0525013600         0.4374990830         0.1668831838        
0.2150000000         0.0537518500         0.4479195412         -0.0458762537       
0.2200000000         0.0550011750         0.4583302914         -0.0857686483       
0.2250000000         0.0562511100         0.4687461248         -0.0059838592       
0.2300000000         0.0575011950         0.4791632081         -0.0325787889       
0.2350000000         0.0587510800         0.4895786247         -0.0724711834       
0.2400000000         0.0600029600         0.5000106660         -0.1389585076       
0.2450000000         0.0632821550         0.5273365258         -0.0990661131       
0.2500000000         0.0643570750         0.5362939417         0.0472060002        
0.2550000000         0.0654395400         0.5453142308         -0.0192813240       
0.2600000000         0.0665201050         0.5543186870         0.1003958596        
0.2650000000         0.0676023250         0.5633369345         -0.0059838592       
0.2700000000         0.0686864250         0.5723708482         -0.0059838592       
0.2750000000         0.0697654600         0.5813625547         0.0870983948        
0.2800000000         0.0708467700         0.5903732191         -0.0059838592       
0.2850000000         0.0719157800         0.5992813863         0.1269907893        
0.2900000000         0.0729952950         0.6082770928         0.9780285394        
0.2950000000         0.0743382350         0.6194679461         0.7120792425        
0.3000000000         0.0752011950         0.6266590781         0.7386741722        
0.3050000000         0.0762512400         0.6354092080         0.8184589612        
0.3100000000         0.0775013050         0.6458261247         0.8982437503        
0.3150000000         0.0787512300         0.6562418747         0.7519716370        
0.3200000000         0.0800013550         0.6666592914         0.8583513558        
0.3250000000         0.0812511100         0.6770736248         0.9381361448        
0.3300000000         0.0825011400         0.6874902497         0.9248386800        
0.3350000000         0.0837559400         0.6979466236         0.9514336097        
0.3400000000         0.0850205050         0.7084843702         0.8849462854        
0.3450000000         0.0862512650         0.7187404164         0.7120792425        
0.3500000000         0.0875108600         0.7292367475         1.0312183987        
0.3550000000         0.0887509300         0.7395703748         0.8051614964        
0.3600000000         0.0900010800         0.7499879998         0.9647310745        
0.3650000000         0.0912509200         0.7604030415         0.8583513558        
0.3700000000         0.0925196300         0.7709753287         1.0844082581        
0.3750000000         0.0937558050         0.7812764986         0.8583513558        
0.3800000000         0.0950071850         0.7917043733         1.1641930472        
0.3850000000         0.0962509450         0.8020687498         0.8051614964        
0.3900000000         0.0975008850         0.8124846248         0.8849462855        
0.3950000000         0.0987512100         0.8229037081         0.8716488206        
0.4000000000         0.1000008900         0.8333174165         0.9647310745        
0.4050000000         0.1012527200         0.8437490410         0.9248386800        
0.4100000000         0.1025017700         0.8541574996         0.8716488206        
0.4150000000         0.1037606700         0.8646480392         0.8982437503        
0.4200000000         0.1050013300         0.8749865830         0.9780285394        
0.4250000000         0.1062570650         0.8854507484         1.0844082581        
0.4300000000         0.1075026850         0.8958306244         0.8982437503        
0.4350000000         0.1087529700         0.9062493743         0.8184589613        
0.4400000000         0.1100011100         0.9166502497         0.9381361449        
0.4450000000         0.1112567500         0.9271136234         0.9913260042        
0.4500000000         0.1125013850         0.9374852913         0.9381361448        
0.4550000000         0.1137508300         0.9478970415         0.9913260042        
0.4600000000         0.1150018700         0.9583220829         1.0711107933        
0.4650000000         0.1162514050         0.9687345830         1.0578133284        
0.4700000000         0.1175014400         0.9791512497         1.0844082581        
0.4750000000         0.1187516400         0.9895692913         1.0711107933        
0.4800000000         0.1200014850         0.9999843747         1.0578133284        
0.4850000000         0.1212513650         1.0103997497         1.0711107933        
0.4900000000         0.1228226200         1.0234931747         1.1243006527        
0.4950000000         0.1238793250         1.0322988031         1.2173829066        
0.5000000000         0.1250010300         1.0416460831         1.1774905121        
0.5050000000         0.1262513700         1.0520652913         1.2705727659        
0.5100000000         0.1275014250         1.0624821247         1.0977057230        
0.5150000000         0.1287510000         1.0728949581         1.2705727660        
0.5200000000         0.1300014450         1.0833150413         1.0578133284        
0.5250000000         0.1312510600         1.0937282081         1.1243006527        
0.5300000000         0.1325012900         1.1041464997         1.0977057230        
0.5350000000         0.1337508850         1.1145594998         1.1375981175        
0.5400000000         0.1350011200         1.1249778331         1.1110031878        
0.5450000000         0.1362510200         1.1353933747         1.1641930472        
0.5500000000         0.1375013800         1.1458127497         1.2306803714        
0.5550000000         0.1387512500         1.1562280414         1.1774905120        
0.5600000000         0.1400046500         1.1666727489         1.1774905121        
0.5650000000         0.1412508050         1.1770570831         1.2173829066        
0.5700000000         0.1425011600         1.1874764164         1.1907879769        
0.5750000000         0.1437506900         1.1978888748         1.3237626254        
0.5800000000         0.1450014350         1.2083114580         1.2971676957        
0.5850000000         0.1462508300         1.2187227915         1.1774905121        
0.5900000000         0.1475027150         1.2291548744         1.1907879769        
0.5950000000         0.1487518450         1.2395639996         1.2306803714        
0.6000000000         0.1500009450         1.2499728748         1.2306803714        
0.6050000000         0.1512508400         1.2603883748         1.1907879769        
0.6100000000         0.1525150900         1.2709234965         1.2306803715        
0.6150000000         0.1537508000         1.2812207915         1.2306803714        
0.6200000000         0.1550010900         1.2916395831         1.2705727660        
0.6250000000         0.1562508750         1.3020541665         1.2572753011        
0.6300000000         0.1575010250         1.3124717914         1.2173829066        
0.6350000000         0.1587509300         1.3228873748         1.2572753011        
0.6400000000         0.1600010700         1.3333049164         1.3769524847        
0.6450000000         0.1612508550         1.3437194998         1.2838702308        
0.6500000000         0.1625012750         1.3541393747         1.2971676957        
0.6550000000         0.1637510250         1.3645536664         1.1375981175        
0.6600000000         0.1650017000         1.3749756663         1.3769524847        
0.6650000000         0.1662512800         1.3853885414         1.2971676957        
0.6700000000         0.1675016850         1.3958082913         1.3636550199        
0.6750000000         0.1687511150         1.4062199164         1.3370600902        
0.6800000000         0.1700015250         1.4166397080         1.4434398090        
0.6850000000         0.1712529000         1.4270675410         1.4168448793        
0.6900000000         0.1725044900         1.4374971656         1.3370600902        
0.6950000000         0.1737511850         1.4478859997         1.4833322035        
0.7000000000         0.1750019100         1.4583084162         1.2971676957        
0.7050000000         0.1762510450         1.4687175831         1.4434398089        
0.7100000000         0.1775046900         1.4791643322         1.4434398090        
0.7150000000         0.1787510550         1.4895504164         1.4301423441        
0.7200000000         0.1800012200         1.4999681664         1.2439778363        
0.7250000000         0.1812511450         1.5103839164         1.4301423441        
0.7300000000         0.1825013900         1.5208023330         1.4700347387        
0.7350000000         0.1837523350         1.5312265828         1.5365220629        
0.7400000000         0.1850014300         1.5416354163         1.5631169925        
0.7450000000         0.1862761250         1.5522575772         1.4035474144        
0.7500000000         0.1875020350         1.5624732079         1.4567372738        
0.7550000000         0.1887509350         1.5728804165         1.4035474144        
0.7600000000         0.1900017100         1.5833032496         1.4567372738        
0.7650000000         0.1912513100         1.5937162914         1.4700347387        
0.7700000000         0.1925016100         1.6041351663         1.4035474144        
0.7750000000         0.1937511300         1.6145475414         1.4567372738        
0.7800000000         0.1950019150         1.6249704579         1.5099271332        
0.7850000000         0.1962513000         1.6353817080         1.4567372738        
0.7900000000         0.1975028950         1.6458113743         1.5232245980        
0.7950000000         0.1987512150         1.6562137497         1.5232245980        
0.8000000000         0.2000018700         1.6666355829         1.4833322035        
0.8050000000         0.2012511300         1.6770457914         1.6296043168        
0.8100000000         0.2025087850         1.6875259563         1.5764144574        
0.8150000000         0.2037511000         1.6978782914         1.5099271332        
0.8200000000         0.2050010350         1.7082941248         1.4966296684        
0.8250000000         0.2062610550         1.7187939974         1.6296043168        
0.8300000000         0.2075030100         1.7291433326         1.6429017816        
0.8350000000         0.2087568800         1.7395919567         1.6694967113        
0.8400000000         0.2100048750         1.7499916239         1.5764144574        
0.8450000000         0.2112511850         1.7603772497         1.6429017816        
0.8500000000         0.2125098500         1.7708658310         1.7758764301        
0.8550000000         0.2137598450         1.7812821644         1.5764144574        
0.8600000000         0.2150106400         1.7917051642         1.6561992465        
0.8650000000         0.2162510750         1.8020418331         1.6296043168        
0.8700000000         0.2175011050         1.8124584581         1.7625789653        
0.8750000000         0.2187523800         1.8228854578         1.7359840356        
0.8800000000         0.2200012150         1.8332921247         1.5764144574        
0.8850000000         0.2212512250         1.8437085830         1.7492815004        
0.8900000000         0.2225011900         1.8541246664         1.7093891058        
0.8950000000         0.2237849800         1.8648226168         1.6296043168        
0.9000000000         0.2250018300         1.8749627496         1.8024713598        
0.9050000000         0.2262570500         1.8854226234         1.6030093871        
0.9100000000         0.2275014150         1.8957920413         1.7891738949        
0.9150000000         0.2287517300         1.9062110412         1.7492815004        
0.9200000000         0.2300081850         1.9166812064         1.6296043168        
0.9250000000         0.2312512750         1.9270399997         1.8290662895        
0.9300000000         0.2325021300         1.9374634995         1.7226865707        
0.9350000000         0.2337512800         1.9478727914         1.7625789653        
0.9400000000         0.2350030000         1.9583034993         1.7359840356        
0.9450000000         0.2362513850         1.9687064163         1.6960916410        
0.9500000000         0.2375017750         1.9791260412         1.6561992465        
0.9550000000         0.2387518850         1.9895433329         1.8157688246        
0.9600000000         0.2400022900         1.9999630828         1.7359840355        
0.9650000000         0.2412518850         2.0103760829         1.8290662895        
0.9700000000         0.2425013800         2.0207882497         1.8157688246        
0.9750000000         0.2437517450         2.0312076662         1.8290662895        
0.9800000000         0.2450094550         2.0416882895         1.8822561489        
0.9850000000         0.2462514350         2.0520378330         1.7625789652        
0.9900000000         0.2475014000         2.0624539163         1.7758764301        
0.9950000000         0.2487511000         2.0728677914         1.9088510785        
1.0000000000         0.2500013850         2.0832865413         1.8024713598        
1.0050000000         0.2512517350         2.0937058329         1.8822561488        
1.0100000000         0.2525011750         2.1041175414         1.8157688246        
1.0150000000         0.2537607800         2.1146139558         1.9221485434        
1.0200000000         0.2550015400         2.1249533330         1.8689586840        
1.0250000000         0.2562694550         2.1355189955         1.9221485434        
1.0300000000         0.2575010700         2.1457821664         1.9620409379        
1.0350000000         0.2587510700         2.1561985414         1.8822561489        
1.0400000000         0.2600294950         2.1668517848         1.8822561489        
1.0450000000         0.2612512400         2.1770327080         1.9487434731        
1.0500000000         0.2625010400         2.1874474164         1.8024713598        
1.0550000000         0.2637514950         2.1978675830         1.9354460082        
1.0600000000         0.2650010900         2.2082805831         1.8955536137        
1.0650000000         0.2662511400         2.2186973747         1.9620409379        
1.0700000000         0.2675016150         2.2291177080         2.0684206567        
1.0750000000         0.2687510300         2.2395292081         1.9886358676        
1.0800000000         0.2700095600         2.2500166644         2.0152307973        
1.0850000000         0.2712519500         2.2603696245         2.0684206567        
1.0900000000         0.2725028750         2.2707937077         2.0418257270        
1.0950000000         0.2737536200         2.2812162908         2.0285282621        
1.1000000000         0.2750012500         2.2916129163         2.0152307973        
1.1050000000         0.2762512300         2.3020291247         2.0152307973        
1.1100000000         0.2775010250         2.3124437914         2.1748003755        
1.1150000000         0.2787518550         2.3228670829         2.1615029106        
1.1200000000         0.2800010650         2.3332768748         1.9088510786        
1.1250000000         0.2812518800         2.3437000412         2.1615029106        
1.1300000000         0.2825009250         2.3541084581         2.1880978403        
1.1350000000         0.2837517550         2.3645317496         2.2944775591        
1.1400000000         0.2850177850         2.3750817042         2.2279902348        
1.1450000000         0.2862526800         2.3853722077         2.1748003755        
1.1500000000         0.2875013600         2.3957775830         2.2545851645        
1.1550000000         0.2887519200         2.4061986246         2.2545851645        
1.1600000000         0.2900013550         2.4166102913         2.1216105161        
1.1650000000         0.2912510850         2.4270244164         2.2013953051        
1.1700000000         0.2925012200         2.4374419164         2.2146927700        
1.1750000000         0.2937537550         2.4478794158         2.2545851645        
1.1800000000         0.2950837200         2.4589621471         2.2545851645        
1.1850000000         0.2962511250         2.4686902497         2.2279902348        
1.1900000000         0.2975034350         2.4791258742         2.1349079809        
1.1950000000         0.2987513500         2.4895248747         2.3742623481        
1.2000000000         0.3000029550         2.4999546243         2.2013953052        
1.2050000000         0.3012512300         2.5103566247         2.2545851645        
1.2100000000         0.3025011300         2.5207721664         2.3476674184        
1.2150000000         0.3037532900         2.5312065409         2.2146927700        
1.2200000000         0.3050012800         2.5416061664         2.2279902348        
1.2250000000         0.3062513500         2.5520231247         2.3210724888        
1.2300000000         0.3075010350         2.5624368748         2.4008572778        
1.2350000000         0.3087516700         2.5728585413         2.2944775591        
1.2400000000         0.3100013250         2.5832720414         2.4673446021        
1.2450000000         0.3112534400         2.5937060408         2.2678826294        
1.2500000000         0.3125018550         2.6041092079         2.4806420669        
