% f = 0.30 Hz  gain = 7.5781 (17.59 dB)  phase = -7.16 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.1622290711
        0.0050000000         0.0042410873         2.5000000000        -0.1622290711
        0.0100000000         0.0084817979         2.5000000000        -0.2287163953
        0.0150000000         0.0127217550         2.5000000000         0.1702075500
        0.0200000000         0.0169605822         2.5000000000         0.0372329016
        0.0250000000         0.0211979028         2.5000000000        -0.0957417469
        0.0300000000         0.0254333405         2.5000000000        -0.0292544227
        0.0350000000         0.0296665191         2.5000000000        -0.1622290711
        0.0400000000         0.0338970625         2.5000000000         0.1702075500
        0.0450000000         0.0381245950         2.5000000000        -0.0292544227
        0.0500000000         0.0423487410         2.5000000000        -0.1622290711
        0.0550000000         0.0465691254         2.5000000000         0.1702075500
        0.0600000000         0.0507853732         2.5000000000        -0.0292544227
        0.0650000000         0.0549971100         2.5000000000         0.1037202258
        0.0700000000         0.0592039616         2.5000000000        -0.1622290711
        0.0750000000         0.0634055544         2.7520666848        -0.1622290711
        0.0800000000         0.0676015151         2.7541964594         0.1037202258
        0.0850000000         0.0717914711         2.7563246700         0.0372329016
        0.0900000000         0.0759750501         2.7584511239        -0.2287163953
        0.0950000000         0.0801518806         2.7605756284        -0.1622290711
        0.1000000000         0.0843215916         2.7626979905         0.1702075500
        0.1050000000         0.0884838126         2.7648180171        -0.1622290711
        0.1100000000         0.0926381739         2.7669355146        -0.0292544227
        0.1150000000         0.0967843067         2.7690502897         0.4361568469
        0.1200000000         0.1009218424         2.7711621484         0.5691314954
        0.1250000000         0.1050504137         2.7732708970         1.2340047376
        0.1300000000         0.1091696539         2.7753763414         0.7685934681
        0.1350000000         0.1132791969         2.7774782876         0.9015681165
        0.1400000000         0.1173786778         2.7795765413         1.1010300892
        0.1450000000         0.1214677325         2.7816709083         0.9680554407
        0.1500000000         0.1255459977         2.7837611943         1.1010300892
        0.1550000000         0.1296131112         2.7858472050         1.1675174134
        0.1600000000         0.1336687117         2.7879287459         0.9015681165
        0.1650000000         0.1377124390         2.7900056229         1.4999540346
        0.1700000000         0.1417439338         2.7920776415         1.1010300892
        0.1750000000         0.1457628382         2.7941446075         0.9015681165
        0.1800000000         0.1497687950         2.7962063267         1.0345427650
        0.1850000000         0.1537614486         2.7982626051         1.0345427650
        0.1900000000         0.1577404441         2.8003132485         1.2340047376
        0.1950000000         0.1617054282         2.8023580631         1.1010300892
        0.2000000000         0.1656560487         2.8043968552         1.3004920619
        0.2050000000         0.1695919547         2.8064294313         1.3004920619
        0.2100000000         0.1735127965         2.8084555980         1.4334667103
        0.2150000000         0.1774182260         2.8104751620         1.4999540346
        0.2200000000         0.1813078961         2.8124879305         1.4334667103
        0.2250000000         0.1851814614         2.8144937109         1.3669793861
        0.2300000000         0.1890385778         2.8164923106         1.3004920619
        0.2350000000         0.1928789027         2.8184835376         1.1675174134
        0.2400000000         0.1967020950         2.8204672001         1.3669793861
        0.2450000000         0.2005078151         2.8224431066         1.3669793861
        0.2500000000         0.2042957249         2.8244110660         1.3669793861
        0.2550000000         0.2080654880         2.8263708876         1.1675174134
        0.2600000000         0.2118167695         2.8283223811         1.4334667103
        0.2650000000         0.2155492362         2.8302653567         1.2340047376
        0.2700000000         0.2192625566         2.8321996247         1.4999540346
        0.2750000000         0.2229564008         2.8341249963         1.3004920619
        0.2800000000         0.2266304407         2.8360412830         1.5664413588
        0.2850000000         0.2302843501         2.8379482969         1.5664413588
        0.2900000000         0.2339178042         2.8398458504         1.3004920619
        0.2950000000         0.2375304804         2.8417337567         1.5664413588
        0.3000000000         0.2411220577         2.8436118295         1.3669793861
        0.3050000000         0.2446922173         2.8454798831         1.3669793861
        0.3100000000         0.2482406418         2.8473377324         1.6994160072
        0.3150000000         0.2517670161         2.8491851932         1.8323906557
        0.3200000000         0.2552710271         2.8510220815         1.5664413588
        0.3250000000         0.2587523634         2.8528482144         1.8323906557
        0.3300000000         0.2622107159         2.8546634096         1.7659033315
        0.3350000000         0.2656457772         2.8564674854         1.6329286830
        0.3400000000         0.2690572424         2.8582602612         2.0318526284
        0.3450000000         0.2724448083         2.8600415568         1.6329286830
        0.3500000000         0.2758081741         2.8618111931         1.8323906557
        0.3550000000         0.2791470411         2.8635689916         1.8988779799
        0.3600000000         0.2824611126         2.8653147750         1.8323906557
        0.3650000000         0.2857500942         2.8670483666         1.9653653041
        0.3700000000         0.2890136939         2.8687695907         1.9653653041
        0.3750000000         0.2922516217         2.8704782725         1.5664413588
        0.3800000000         0.2954635901         2.8721742382         2.2313146010
        0.3850000000         0.2986493136         2.8738573149         1.8988779799
        0.3900000000         0.3018085094         2.8755273309         2.1648272768
        0.3950000000         0.3049408969         2.8771841154         1.8988779799
        0.4000000000         0.3080461977         2.8788274985         2.0983399526
        0.4050000000         0.3111241360         2.8804573116         2.0318526284
        0.4100000000         0.3141744385         2.8820733872         2.0318526284
        0.4150000000         0.3171968343         2.8836755587         2.0318526284
        0.4200000000         0.3201910547         2.8852636609         1.8323906557
        0.4250000000         0.3231568340         2.8868375297         1.9653653041
        0.4300000000         0.3260939086         2.8883970021         2.1648272768
        0.4350000000         0.3290020176         2.8899419163         2.2313146010
        0.4400000000         0.3318809028         2.8914721120         2.0983399526
        0.4450000000         0.3347303084         2.8929874298         2.0318526284
        0.4500000000         0.3375499813         2.8944877119         1.8988779799
        0.4550000000         0.3403396711         2.8959728017         2.3642892495
        0.4600000000         0.3430991300         2.8974425438         2.0983399526
        0.4650000000         0.3458281127         2.8988967843         2.2978019253
        0.4700000000         0.3485263771         2.9003353708         2.0983399526
        0.4750000000         0.3511936833         2.9017581520         2.3642892495
        0.4800000000         0.3538297945         2.9031649783         2.4307765737
        0.4850000000         0.3564344764         2.9045557013         2.1648272768
        0.4900000000         0.3590074978         2.9059301745         2.0983399526
        0.4950000000         0.3615486301         2.9072882523         2.2313146010
        0.5000000000         0.3640576475         2.9086297912         2.2978019253
