% f = 3.00 Hz  gain = 5.3409 (14.55 dB)  phase = -35.93 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.2287163953
        0.0050000000         0.0423487410         2.5000000000         0.1702075500
        0.0100000000         0.0843215916         2.7626979905        -0.6941276649
        0.0150000000         0.1255459977         2.7837611943         0.0372329016
        0.0200000000         0.1656560487         2.8043968552         0.0372329016
        0.0250000000         0.2042957249         2.8244110660        -0.0957417469
        0.0300000000         0.2411220577         2.8436118295         0.1702075500
        0.0350000000         0.2758081741         2.8618111931        -0.1622290711
        0.0400000000         0.3080461977         2.8788274985        -0.1622290711
        0.0450000000         0.3375499813         2.8944877119        -0.0957417469
        0.0500000000         0.3640576475         2.9086297912         1.8988779799
        0.0550000000         0.3873339122         2.9211050363         1.8988779799
        0.0600000000         0.4071721736         2.9317803635         1.1675174134
        0.0650000000         0.4233963460         2.9405404385         1.4999540346
        0.0700000000         0.4358624225         2.9472896000         1.9653653041
        0.0750000000         0.4444597533         2.9519535104         1.5664413588
        0.0800000000         0.4491120278         2.9544804726         2.3642892495
        0.0850000000         0.4497779522         2.9548423640         2.0983399526
        0.0900000000         0.4464516156         2.9530351505         2.1648272768
        0.0950000000         0.4391625429         2.9490789609         2.2313146010
        0.1000000000         0.4279754323         2.9430177178         2.2313146010
        0.1050000000         0.4129895816         2.9349183403         2.0318526284
        0.1100000000         0.3943380060         2.9248695498         2.1648272768
        0.1150000000         0.3721862584         2.9129803246         2.4972638980
        0.1200000000         0.3467309592         2.8993780600         2.2978019253
        0.1250000000         0.3181980515         2.8842064975         2.2313146010
        0.1300000000         0.2868407954         2.8676234908         2.3642892495
        0.1350000000         0.2529375200         2.8497986730         2.2978019253
        0.1400000000         0.2167891533         2.8309110895         2.0983399526
        0.1450000000         0.1787165508         2.8111468494         2.1648272768
        0.1500000000         0.1390576475         2.7906968452         2.2978019253
        0.1550000000         0.0981644586         2.7697545762         1.7659033315
        0.1600000000         0.0563999551         2.5000000000         2.2978019253
        0.1650000000         0.0141348416         2.5000000000         2.0983399526
        0.1700000000        -0.0282557338         2.5000000000         1.8988779799
        0.1750000000        -0.0703955093         2.2441114734         1.3004920619
        0.1800000000        -0.1119104492         2.2222666953         1.4334667103
        0.1850000000        -0.1524320641         2.2008004646         0.3696695227
        0.1900000000        -0.1916006812         2.1799129084        -0.3616910438
        0.1950000000        -0.2290686371         2.1598027340        -0.5611530165
        0.2000000000        -0.2645033635         2.1406650812         0.3031821985
        0.2050000000        -0.2975903394         2.1226892509         0.1702075500
        0.2100000000        -0.3280358823         2.1060563458         0.1702075500
        0.2150000000        -0.3555697556         2.0909368629        -0.0292544227
        0.2200000000        -0.3799475665         2.0774882900        -0.5611530165
        0.2250000000        -0.4009529359         2.0658527630        -2.7552347160
        0.2300000000        -0.4183994186         2.0561548499        -1.0930516103
        0.2350000000        -0.4321321586         2.0484995257        -1.4919755556
        0.2400000000        -0.4420292628         2.0429704065        -2.0238741495
        0.2450000000        -0.4480028841         2.0396283016        -2.2233361221
        0.2500000000        -0.4500000000         2.0385101387        -1.6249502041
