% f = 10.00 Hz  gain = 2.3607 (7.46 dB)  phase = -90.34 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.0292544227
        0.0050000000         0.1390576475         2.7906968452         0.1702075500
        0.0100000000         0.2645033635         2.8558673735         0.0372329016
        0.0150000000         0.3640576475         2.9086297912        -0.0292544227
        0.0200000000         0.4279754323         2.9430177178         0.0372329016
        0.0250000000         0.4500000000         2.9549630443         0.2366948742
        0.0300000000         0.4279754323         2.9430177178        -0.0292544227
        0.0350000000         0.3640576475         2.9086297912         0.3696695227
        0.0400000000         0.2645033635         2.8558673735         2.4307765737
        0.0450000000         0.1390576475         2.7906968452         1.5664413588
        0.0500000000         0.0000000000         2.5000000000         1.0345427650
        0.0550000000        -0.1390576475         2.2079014512         1.5664413588
        0.0600000000        -0.2645033635         2.1406650812         1.1675174134
        0.0650000000        -0.3640576475         2.0862609917         0.1702075500
        0.0700000000        -0.4279754323         2.0508187278        -0.2952037196
        0.0750000000        -0.4500000000         2.0385101387        -0.0292544227
        0.0800000000        -0.4279754323         2.0508187278        -0.1622290711
        0.0850000000        -0.3640576475         2.0862609917         0.1702075500
        0.0900000000        -0.2645033635         2.1406650812         0.0372329016
        0.0950000000        -0.1390576475         2.2079014512        -1.8908995010
        0.1000000000        -0.0000000000         2.5000000000        -1.8908995010
        0.1050000000         0.1390576475         2.7906968452        -1.4254882314
        0.1100000000         0.2645033635         2.8558673735        -1.0930516103
        0.1150000000         0.3640576475         2.9086297912        -0.3616910438
        0.1200000000         0.4279754323         2.9430177178         0.6356188196
        0.1250000000         0.4500000000         2.9549630443         0.1037202258
        0.1300000000         0.4279754323         2.9430177178        -0.2287163953
        0.1350000000         0.3640576475         2.9086297912         0.1037202258
        0.1400000000         0.2645033635         2.8558673735         0.1037202258
        0.1450000000         0.1390576475         2.7906968452         0.7685934681
        0.1500000000         0.0000000000         2.5000000000         3.0291624918
        0.1550000000        -0.1390576475         2.2079014512         0.9680554407
        0.1600000000        -0.2645033635         2.1406650812         0.8350807923
        0.1650000000        -0.3640576475         2.0862609917         0.0372329016
        0.1700000000        -0.4279754323         2.0508187278        -0.2952037196
        0.1750000000        -0.4500000000         2.0385101387         0.0372329016
        0.1800000000        -0.4279754323         2.0508187278         0.1037202258
        0.1850000000        -0.3640576475         2.0862609917         0.2366948742
        0.1900000000        -0.2645033635         2.1406650812        -0.2952037196
        0.1950000000        -0.1390576475         2.2079014512        -1.4919755556
        0.2000000000        -0.0000000000         2.5000000000        -2.2898234464
        0.2050000000         0.1390576475         2.7906968452        -0.9600769618
        0.2100000000         0.2645033635         2.8558673735        -1.0265642861
        0.2150000000         0.3640576475         2.9086297912        -0.4946656922
        0.2200000000         0.4279754323         2.9430177178         0.5026441712
        0.2250000000         0.4500000000         2.9549630443         0.3031821985
        0.2300000000         0.4279754323         2.9430177178        -0.0957417469
        0.2350000000         0.3640576475         2.9086297912        -0.2287163953
        0.2400000000         0.2645033635         2.8558673735         0.4361568469
        0.2450000000         0.1390576475         2.7906968452         1.1010300892
        0.2500000000         0.0000000000         2.5000000000         2.4972638980
        0.2550000000        -0.1390576475         2.2079014512         0.7021061438
        0.2600000000        -0.2645033635         2.1406650812         0.8350807923
        0.2650000000        -0.3640576475         2.0862609917        -0.0292544227
        0.2700000000        -0.4279754323         2.0508187278        -0.2952037196
        0.2750000000        -0.4500000000         2.0385101387        -0.3616910438
        0.2800000000        -0.4279754323         2.0508187278         0.2366948742
        0.2850000000        -0.3640576475         2.0862609917         0.1702075500
        0.2900000000        -0.2645033635         2.1406650812        -0.1622290711
        0.2950000000        -0.1390576475         2.2079014512        -1.9573868252
        0.3000000000        -0.0000000000         2.5000000000        -1.9573868252
        0.3050000000         0.1390576475         2.7906968452        -0.8271023134
        0.3100000000         0.2645033635         2.8558673735        -1.0265642861
        0.3150000000         0.3640576475         2.9086297912        -0.3616910438
        0.3200000000         0.4279754323         2.9430177178         0.5026441712
        0.3250000000         0.4500000000         2.9549630443         0.1037202258
        0.3300000000         0.4279754323         2.9430177178        -0.4281783680
        0.3350000000         0.3640576475         2.9086297912        -0.4946656922
        0.3400000000         0.2645033635         2.8558673735        -0.3616910438
        0.3450000000         0.1390576475         2.7906968452         1.1010300892
