% f = 5.0 Hz  gain = 5.1678 (14.27 dB)  phase = -53.47 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.1017256061
        0.0050000000         0.1564344650         2.7996400357        -0.0352382818
        0.0100000000         0.3090169944         2.8793414515        -0.1017256061
        0.0150000000         0.4539904997         2.9571327047        -0.0352382818
        0.0200000000         0.5877852523         3.0308591817        -0.1682129303
        0.0250000000         0.7071067812         3.0983027394         0.0977363666
        0.0300000000         0.8090169944         3.1572639000         0.1642236908
        0.0350000000         0.8910065242         3.2056697258         0.1642236908
        0.0400000000         0.9510565163         3.2417021085         4.2199504687
        0.0450000000         0.9876883406         3.2639333772         2.3583053903
        0.0500000000         1.0000000000         3.2714488936         2.5577673630
        0.0550000000         0.9876883406         3.2639333772         4.1534631444
        0.0600000000         0.9510565163         3.2417021085         3.8210265233
        0.0650000000         0.8910065242         3.2056697258         3.6880518749
        0.0700000000         0.8090169944         3.1572639000         4.8848237109
        0.0750000000         0.7071067812         3.0983027394         3.8875138475
        0.0800000000         0.5877852523         3.0308591817         4.3529251171
        0.0850000000         0.4539904997         2.9571327047         4.4194124413
        0.0900000000         0.3090169944         2.8793414515         3.8875138475
        0.0950000000         0.1564344650         2.7996400357         3.9540011718
        0.1000000000         0.0000000000         2.5000000000         3.7545391991
        0.1050000000        -0.1564344650         2.1986723655         3.5550772264
        0.1100000000        -0.3090169944         2.1164571127         2.7572293357
        0.1150000000        -0.4539904997         2.0362746658         1.8928941207
        0.1200000000        -0.5877852523         1.9603434247         1.2945082027
        0.1250000000        -0.7071067812         1.8909394940         0.4966603120
        0.1300000000        -0.8090169944         1.8303119743        -0.1682129303
        0.1350000000        -0.8910065242         1.7805733430        -0.0352382818
        0.1400000000        -0.9510565163         1.7435705858        -0.2347002545
        0.1450000000        -0.9876883406         1.7207502444        -4.0909650597
        0.1500000000        -1.0000000000         1.7130372892        -2.0298580086
        0.1550000000        -0.9876883406         1.7207502444        -3.4260918174
        0.1600000000        -0.9510565163         1.7435705858        -4.2904270323
        0.1650000000        -0.8910065242         1.7805733430        -3.7585284385
        0.1700000000        -0.8090169944         1.8303119743        -3.4925791416
        0.1750000000        -0.7071067812         1.8909394940        -4.4898890050
        0.1800000000        -0.5877852523         1.9603434247        -3.4925791416
        0.1850000000        -0.4539904997         2.0362746658        -4.2239397081
        0.1900000000        -0.3090169944         2.1164571127        -4.0909650597
        0.1950000000        -0.1564344650         2.1986723655        -3.4925791416
        0.2000000000        -0.0000000000         2.5000000000        -3.4925791416
        0.2050000000         0.1564344650         2.7996400357        -3.5590664659
        0.2100000000         0.3090169944         2.8793414515        -2.4952692782
        0.2150000000         0.4539904997         2.9571327047        -1.4314720906
        0.2200000000         0.5877852523         3.0308591817        -0.3676749030
        0.2250000000         0.7071067812         3.0983027394         0.2307110151
        0.2300000000         0.8090169944         3.1572639000         0.0312490424
        0.2350000000         0.8910065242         3.2056697258        -0.1017256061
        0.2400000000         0.9510565163         3.2417021085         0.0977363666
        0.2450000000         0.9876883406         3.2639333772         0.9620715816
        0.2500000000         1.0000000000         3.2714488936         4.9513110352
        0.2550000000         0.9876883406         3.2639333772         2.6907420115
        0.2600000000         0.9510565163         3.2417021085         2.7572293357
        0.2650000000         0.8910065242         3.2056697258         4.6853617383
        0.2700000000         0.8090169944         3.1572639000         3.9540011718
        0.2750000000         0.7071067812         3.0983027394         3.8875138475
        0.2800000000         0.5877852523         3.0308591817         4.5523870898
        0.2850000000         0.4539904997         2.9571327047         3.9540011718
        0.2900000000         0.3090169944         2.8793414515         3.9540011718
        0.2950000000         0.1564344650         2.7996400357         4.2864377929
        0.3000000000         0.0000000000         2.5000000000         3.7545391991
        0.3050000000        -0.1564344650         2.1986723655         3.6215645506
        0.3100000000        -0.3090169944         2.1164571127         2.8902039841
        0.3150000000        -0.4539904997         2.0362746658         1.9593814450
