% f = 15.00 Hz  gain = 0.8566 (-1.34 dB)  phase = -127.55 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.4550000000        -0.4009529359         2.0658527630        -0.2287163953
        0.4600000000        -0.2645033635         2.1406650812        -0.0957417469
        0.4650000000        -0.0703955093         2.2441114734        -0.0292544227
        0.4700000000         0.1390576475         2.7906968452        -0.2287163953
        0.4750000000         0.3181980515         2.8842064975        -1.7579248526
        0.4800000000         0.4279754323         2.9430177178         0.0372329016
        0.4850000000         0.4444597533         2.9519535104         0.3696695227
        0.4900000000         0.3640576475         2.9086297912         0.3696695227
        0.4950000000         0.2042957249         2.8244110660        -0.0957417469
        0.5000000000         0.0000000000         2.5000000000         0.1037202258
        0.5050000000        -0.2042957249         2.1731134099        -0.2287163953
        0.5100000000        -0.3640576475         2.0862609917         0.1702075500
        0.5150000000        -0.4444597533         2.0416110468         0.6356188196
        0.5200000000        -0.4279754323         2.0508187278         0.2366948742
        0.5250000000        -0.3181980515         2.1114406643        -0.2287163953
        0.5300000000        -0.1390576475         2.2079014512         0.1037202258
        0.5350000000         0.0703955093         2.7556154521         0.1702075500
        0.5400000000         0.2645033635         2.8558673735        -0.4946656922
        0.5450000000         0.4009529359         2.9284294187        -0.4946656922
        0.5500000000         0.4500000000         2.9549630443         0.5691314954
        0.5550000000         0.4009529359         2.9284294187         0.1702075500
        0.5600000000         0.2645033635         2.8558673735        -0.3616910438
        0.5650000000         0.0703955093         2.7556154521        -0.0292544227
        0.5700000000        -0.1390576475         2.2079014512        -0.0957417469
        0.5750000000        -0.3181980515         2.1114406643         0.5691314954
        0.5800000000        -0.4279754323         2.0508187278         0.5691314954
        0.5850000000        -0.4444597533         2.0416110468         0.2366948742
        0.5900000000        -0.3640576475         2.0862609917        -0.2952037196
        0.5950000000        -0.2042957249         2.1731134099         0.1702075500
        0.6000000000        -0.0000000000         2.5000000000        -0.0292544227
        0.6050000000         0.2042957249         2.8244110660        -0.6941276649
        0.6100000000         0.3640576475         2.9086297912        -1.2925135830
        0.6150000000         0.4444597533         2.9519535104         0.0372329016
        0.6200000000         0.4279754323         2.9430177178         0.3031821985
        0.6250000000         0.3181980515         2.8842064975         0.0372329016
        0.6300000000         0.1390576475         2.7906968452        -0.2952037196
        0.6350000000        -0.0703955093         2.2441114734         0.2366948742
        0.6400000000        -0.2645033635         2.1406650812        -0.0292544227
        0.6450000000        -0.4009529359         2.0658527630         0.5026441712
        0.6500000000        -0.4500000000         2.0385101387         0.4361568469
        0.6550000000        -0.4009529359         2.0658527630        -0.0292544227
        0.6600000000        -0.2645033635         2.1406650812        -0.0957417469
        0.6650000000        -0.0703955093         2.2441114734         0.3031821985
        0.6700000000         0.1390576475         2.7906968452        -0.2952037196
        0.6750000000         0.3181980515         2.8842064975        -1.8908995010
        0.6800000000         0.4279754323         2.9430177178         0.2366948742
        0.6850000000         0.4444597533         2.9519535104         0.6356188196
        0.6900000000         0.3640576475         2.9086297912         0.2366948742
        0.6950000000         0.2042957249         2.8244110660        -0.0292544227
        0.7000000000         0.0000000000         2.5000000000         0.1702075500
        0.7050000000        -0.2042957249         2.1731134099        -0.0292544227
        0.7100000000        -0.3640576475         2.0862609917         0.4361568469
        0.7150000000        -0.4444597533         2.0416110468         0.7021061438
        0.7200000000        -0.4279754323         2.0508187278        -0.0292544227
        0.7250000000        -0.3181980515         2.1114406643        -0.2287163953
        0.7300000000        -0.1390576475         2.2079014512         0.1037202258
        0.7350000000         0.0703955093         2.7556154521        -0.0292544227
        0.7400000000         0.2645033635         2.8558673735        -0.4946656922
        0.7450000000         0.4009529359         2.9284294187        -0.8271023134
        0.7500000000         0.4500000000         2.9549630443        -0.2287163953
        0.7550000000         0.4009529359         2.9284294187         0.3696695227
        0.7600000000         0.2645033635         2.8558673735        -0.0292544227
        0.7650000000         0.0703955093         2.7556154521        -0.0957417469
        0.7700000000        -0.1390576475         2.2079014512         0.1037202258
        0.7750000000        -0.3181980515         2.1114406643         0.6356188196
        0.7800000000        -0.4279754323         2.0508187278         0.6356188196
        0.7850000000        -0.4444597533         2.0416110468         0.3696695227
        0.7900000000        -0.3640576475         2.0862609917        -0.1622290711
        0.7950000000        -0.2042957249         2.1731134099        -0.0292544227
        0.8000000000        -0.0000000000         2.5000000000        -0.1622290711
        0.8050000000         0.2042957249         2.8244110660        -1.0265642861
        0.8100000000         0.3640576475         2.9086297912        -0.7606149892
        0.8150000000         0.4444597533         2.9519535104         0.2366948742
        0.8200000000         0.4279754323         2.9430177178         0.5026441712
        0.8250000000         0.3181980515         2.8842064975         0.1702075500
        0.8300000000         0.1390576475         2.7906968452        -0.0957417469
        0.8350000000        -0.0703955093         2.2441114734         0.2366948742
        0.8400000000        -0.2645033635         2.1406650812         0.0372329016
        0.8450000000        -0.4009529359         2.0658527630         0.5691314954
        0.8500000000        -0.4500000000         2.0385101387        -0.2287163953
        0.8550000000        -0.4009529359         2.0658527630        -0.0957417469
        0.8600000000        -0.2645033635         2.1406650812         0.2366948742
        0.8650000000        -0.0703955093         2.2441114734         0.1702075500
        0.8700000000         0.1390576475         2.7906968452        -0.0957417469
        0.8750000000         0.3181980515         2.8842064975        -1.4254882314
        0.8800000000         0.4279754323         2.9430177178         0.3031821985
        0.8850000000         0.4444597533         2.9519535104         0.3031821985
        0.8900000000         0.3640576475         2.9086297912         0.1702075500
        0.8950000000         0.2042957249         2.8244110660        -0.0957417469
        0.9000000000         0.0000000000         2.5000000000         0.1702075500
        0.9050000000        -0.2042957249         2.1731134099        -0.1622290711
        0.9100000000        -0.3640576475         2.0862609917         0.7685934681
        0.9150000000        -0.4444597533         2.0416110468         0.6356188196
        0.9200000000        -0.4279754323         2.0508187278         0.1037202258
        0.9250000000        -0.3181980515         2.1114406643        -0.6276403407
        0.9300000000        -0.1390576475         2.2079014512         0.0372329016
        0.9350000000         0.0703955093         2.7556154521        -0.0292544227
        0.9400000000         0.2645033635         2.8558673735        -0.9600769618
        0.9450000000         0.4009529359         2.9284294187        -0.5611530165
        0.9500000000         0.4500000000         2.9549630443         0.2366948742
        0.9550000000         0.4009529359         2.9284294187         0.4361568469
        0.9600000000         0.2645033635         2.8558673735        -0.2952037196
        0.9650000000         0.0703955093         2.7556154521        -0.1622290711
        0.9700000000        -0.1390576475         2.2079014512        -0.0292544227
        0.9750000000        -0.3181980515         2.1114406643         0.9015681165
        0.9800000000        -0.4279754323         2.0508187278         1.1010300892
        0.9850000000        -0.4444597533         2.0416110468         0.3031821985
        0.9900000000        -0.3640576475         2.0862609917        -0.0957417469
        0.9950000000        -0.2042957249         2.1731134099        -0.0292544227
        1.0000000000        -0.0000000000         2.5000000000         0.0372329016
        1.0050000000         0.2042957249         2.8244110660        -1.2925135830
        1.0100000000         0.3640576475         2.9086297912        -0.8935896376
        1.0150000000         0.4444597533         2.9519535104         0.2366948742
        1.0200000000         0.4279754323         2.9430177178         0.6356188196
        1.0250000000         0.3181980515         2.8842064975         0.0372329016
        1.0300000000         0.1390576475         2.7906968452         0.0372329016
        1.0350000000        -0.0703955093         2.2441114734        -0.0292544227
        1.0400000000        -0.2645033635         2.1406650812        -0.0292544227
        1.0450000000        -0.4009529359         2.0658527630         0.5026441712
        1.0500000000        -0.4500000000         2.0385101387         0.0372329016
        1.0550000000        -0.4009529359         2.0658527630        -0.1622290711
        1.0600000000        -0.2645033635         2.1406650812        -0.0957417469
        1.0650000000        -0.0703955093         2.2441114734         0.3031821985
        1.0700000000         0.1390576475         2.7906968452        -0.1622290711
        1.0750000000         0.3181980515         2.8842064975        -1.6249502041
        1.0800000000         0.4279754323         2.9430177178         0.2366948742
        1.0850000000         0.4444597533         2.9519535104         0.3031821985
        1.0900000000         0.3640576475         2.9086297912         0.4361568469
        1.0950000000         0.2042957249         2.8244110660        -0.0957417469
        1.1000000000         0.0000000000         2.5000000000         0.2366948742
        1.1050000000        -0.2042957249         2.1731134099        -0.2287163953
        1.1100000000        -0.3640576475         2.0862609917         0.5026441712
        1.1150000000        -0.4444597533         2.0416110468         0.6356188196
        1.1200000000        -0.4279754323         2.0508187278        -0.0957417469
        1.1250000000        -0.3181980515         2.1114406643        -0.1622290711
        1.1300000000        -0.1390576475         2.2079014512        -0.0292544227
        1.1350000000         0.0703955093         2.7556154521        -0.0957417469
        1.1400000000         0.2645033635         2.8558673735        -0.4281783680
        1.1450000000         0.4009529359         2.9284294187        -0.8271023134
        1.1500000000         0.4500000000         2.9549630443         0.3696695227
        1.1550000000         0.4009529359         2.9284294187         0.2366948742
        1.1600000000         0.2645033635         2.8558673735         0.3696695227
        1.1650000000         0.0703955093         2.7556154521         0.1037202258
        1.1700000000        -0.1390576475         2.2079014512         0.1702075500
        1.1750000000        -0.3181980515         2.1114406643         1.6329286830
        1.1800000000        -0.4279754323         2.0508187278         0.7685934681
        1.1850000000        -0.4444597533         2.0416110468         0.4361568469
        1.1900000000        -0.3640576475         2.0862609917        -0.3616910438
        1.1950000000        -0.2042957249         2.1731134099         0.2366948742
        1.2000000000        -0.0000000000         2.5000000000        -0.0292544227
        1.2050000000         0.2042957249         2.8244110660        -1.6914375283
        1.2100000000         0.3640576475         2.9086297912        -0.8935896376
        1.2150000000         0.4444597533         2.9519535104         0.1037202258
        1.2200000000         0.4279754323         2.9430177178         0.3696695227
        1.2250000000         0.3181980515         2.8842064975        -0.2952037196
        1.2300000000         0.1390576475         2.7906968452         0.1037202258
        1.2350000000        -0.0703955093         2.2441114734         0.3031821985
        1.2400000000        -0.2645033635         2.1406650812         0.1702075500
        1.2450000000        -0.4009529359         2.0658527630         0.5026441712
        1.2500000000        -0.4500000000         2.0385101387         0.1037202258
        1.2550000000        -0.4009529359         2.0658527630        -0.0957417469
        1.2600000000        -0.2645033635         2.1406650812        -0.0957417469
        1.2650000000        -0.0703955093         2.2441114734         0.1702075500
        1.2700000000         0.1390576475         2.7906968452        -0.2287163953
        1.2750000000         0.3181980515         2.8842064975        -1.8908995010
        1.2800000000         0.4279754323         2.9430177178         0.1702075500
        1.2850000000         0.4444597533         2.9519535104         0.4361568469
        1.2900000000         0.3640576475         2.9086297912         0.1037202258
        1.2950000000         0.2042957249         2.8244110660        -0.3616910438
        1.3000000000         0.0000000000         2.5000000000         0.3031821985
        1.3050000000        -0.2042957249         2.1731134099        -0.1622290711
        1.3100000000        -0.3640576475         2.0862609917         0.3696695227
        1.3150000000        -0.4444597533         2.0416110468         0.3696695227
        1.3200000000        -0.4279754323         2.0508187278        -0.0292544227
        1.3250000000        -0.3181980515         2.1114406643        -0.2287163953
