% f = 0.50 Hz  gain = 7.2637 (17.22 dB)  phase = -9.53 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000         0.1702075500
        0.0050000000         0.0070682928         2.5000000000        -0.1622290711
        0.0100000000         0.0141348416         2.5000000000         0.1702075500
        0.0150000000         0.0211979028         2.5000000000         0.0372329016
        0.0200000000         0.0282557338         2.5000000000        -0.1622290711
        0.0250000000         0.0353065931         2.5000000000        -0.0292544227
        0.0300000000         0.0423487410         2.5000000000        -0.1622290711
        0.0350000000         0.0493804400         2.5000000000        -0.0292544227
        0.0400000000         0.0563999551         2.5000000000         0.1037202258
        0.0450000000         0.0634055544         2.7520666848        -0.0292544227
        0.0500000000         0.0703955093         2.7556154521         0.0372329016
        0.0550000000         0.0773680951         2.7591595182        -0.0292544227
        0.0600000000         0.0843215916         2.7626979905        -0.0957417469
        0.0650000000         0.0912542829         2.7662299751         0.1702075500
        0.0700000000         0.0981644586         2.7697545762         0.1037202258
        0.0750000000         0.1050504137         2.7732708970         0.2366948742
        0.0800000000         0.1119104492         2.7767780395         0.1702075500
        0.0850000000         0.1187428725         2.7802751051        -0.0292544227
        0.0900000000         0.1255459977         2.7837611943         1.1675174134
        0.0950000000         0.1323181464         2.7872354076         1.1010300892
        0.1000000000         0.1390576475         2.7906968452         0.8350807923
        0.1050000000         0.1457628382         2.7941446075         1.3669793861
        0.1100000000         0.1524320641         2.7975777955         1.0345427650
        0.1150000000         0.1590636797         2.8009955106         1.1675174134
        0.1200000000         0.1656560487         2.8043968552         1.3004920619
        0.1250000000         0.1722075446         2.8077809332         0.9015681165
        0.1300000000         0.1787165508         2.8111468494         1.2340047376
        0.1350000000         0.1851814614         2.8144937109         1.2340047376
        0.1400000000         0.1916006812         2.8178206263         1.3004920619
        0.1450000000         0.1979726264         2.8211267068         1.5664413588
        0.1500000000         0.2042957249         2.8244110660         1.3004920619
        0.1550000000         0.2105684164         2.8276728204         0.9680554407
        0.1600000000         0.2167891533         2.8309110895         1.0345427650
        0.1650000000         0.2229564008         2.8341249963         1.0345427650
        0.1700000000         0.2290686371         2.8373136675         1.3004920619
        0.1750000000         0.2351243541         2.8404762336         0.9015681165
        0.1800000000         0.2411220577         2.8436118295         1.3004920619
        0.1850000000         0.2470602681         2.8467195945         1.3669793861
        0.1900000000         0.2529375200         2.8497986730         1.6994160072
        0.1950000000         0.2587523634         2.8528482144         1.2340047376
        0.2000000000         0.2645033635         2.8558673735         1.4999540346
        0.2050000000         0.2701891014         2.8588553108         1.7659033315
        0.2100000000         0.2758081741         2.8618111931         1.6329286830
        0.2150000000         0.2813591954         2.8647341932         1.5664413588
        0.2200000000         0.2868407954         2.8676234908         1.3669793861
        0.2250000000         0.2922516217         2.8704782725         1.2340047376
        0.2300000000         0.2975903394         2.8732977321         1.5664413588
        0.2350000000         0.3028556311         2.8760810710         1.5664413588
        0.2400000000         0.3080461977         2.8788274985         1.7659033315
        0.2450000000         0.3131607585         2.8815362320         2.0983399526
        0.2500000000         0.3181980515         2.8842064975         1.6329286830
        0.2550000000         0.3231568340         2.8868375297         1.7659033315
        0.2600000000         0.3280358823         2.8894285724         1.8323906557
        0.2650000000         0.3328339927         2.8919788789         2.0318526284
        0.2700000000         0.3375499813         2.8944877119         1.8323906557
        0.2750000000         0.3421826845         2.8969543446         2.1648272768
        0.2800000000         0.3467309592         2.8993780600         1.3004920619
        0.2850000000         0.3511936833         2.9017581520         1.8323906557
        0.2900000000         0.3555697556         2.9040939253         2.1648272768
        0.2950000000         0.3598580963         2.9063846959         2.1648272768
        0.3000000000         0.3640576475         2.9086297912         1.8323906557
        0.3050000000         0.3681673728         2.9108285503         2.1648272768
        0.3100000000         0.3721862584         2.9129803246         2.2978019253
        0.3150000000         0.3761133126         2.9150844776         2.3642892495
        0.3200000000         0.3799475665         2.9171403856         2.0983399526
        0.3250000000         0.3836880740         2.9191474377         2.4307765737
        0.3300000000         0.3873339122         2.9211050363         2.8297005191
        0.3350000000         0.3908841815         2.9230125971         2.3642892495
        0.3400000000         0.3943380060         2.9248695498         2.2313146010
        0.3450000000         0.3976945335         2.9266753377         2.3642892495
        0.3500000000         0.4009529359         2.9284294187         2.2978019253
        0.3550000000         0.4041124091         2.9301312650         2.3642892495
        0.3600000000         0.4071721736         2.9317803635         2.3642892495
        0.3650000000         0.4101314745         2.9333762162         2.6302385464
        0.3700000000         0.4129895816         2.9349183403         2.4972638980
        0.3750000000         0.4157457896         2.9364062683         2.6967258706
        0.3800000000         0.4183994186         2.9378395485         2.4972638980
        0.3850000000         0.4209498139         2.9392177452         2.6302385464
        0.3900000000         0.4233963460         2.9405404385         2.1648272768
        0.3950000000         0.4257384115         2.9418072250         2.7632131949
        0.4000000000         0.4279754323         2.9430177178         2.6302385464
        0.4050000000         0.4301068567         2.9441715465         2.9626751675
        0.4100000000         0.4321321586         2.9452683578         2.6302385464
        0.4150000000         0.4340508383         2.9463078154         3.0291624918
        0.4200000000         0.4358624225         2.9472896000         2.8961878433
        0.4250000000         0.4375664642         2.9482134099         2.6302385464
        0.4300000000         0.4391625429         2.9490789609         2.9626751675
        0.4350000000         0.4406502648         2.9498859862         2.8297005191
        0.4400000000         0.4420292628         2.9506342372         2.9626751675
        0.4450000000         0.4432991968         2.9513234829         2.9626751675
        0.4500000000         0.4444597533         2.9519535104         3.0956498160
        0.4550000000         0.4455106460         2.9525241251         2.6302385464
        0.4600000000         0.4464516156         2.9530351505         3.3615991129
        0.4650000000         0.4472824300         2.9534864284         3.0291624918
