% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.3553850000         0.0355385000         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.3605232000         0.0360523200         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.3654355000         0.0365435500         2.5000000000         1.3378393285         2.5772480400         0.0046541127
        0.3703864000         0.0370386400         2.5000000000         1.3557056165         2.5772480400         0.4700653823
        0.3754009000         0.0375400900         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.3803861000         0.0380386100         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.3853966000         0.0385396600         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.3903848000         0.0390384800         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.3954365000         0.0395436500         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.4004111000         0.0400411100         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.4054309000         0.0405430900         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.4104776000         0.0410477600         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.4153942000         0.0415394200         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.4203931000         0.0420393100         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.4254006000         0.0425400600         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.4304315000         0.0430431500         2.5000000000         1.3327346748         2.5670405302        -0.1283205358
        0.4353970000         0.0435397000         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.4403943000         0.0440394300         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.4454004000         0.0445400400         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.4503874000         0.0450387400         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.4553897000         0.0455389700         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.4603873000         0.0460387300         2.5000000000         1.3301823480         2.5670405302        -0.1948078600
        0.4654162000         0.0465416200         2.5000000000         1.3301823480         2.5670405302        -0.1948078600
        0.4704306000         0.0470430600         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.4753963000         0.0475396300         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.4803889000         0.0480388900         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.4854043000         0.0485404300         2.5000000000         1.3327346748         2.5670405302        -0.1283205358
        0.4904217000         0.0490421700         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.4953974000         0.0495397400         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.5003866000         0.0500386600         2.5000000000         1.3454963091         2.5772480400         0.2041160854
        0.5054251000         0.0505425100         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.5104244000         0.0510424400         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.5154274000         0.0515427400         2.5000000000         1.3327346748         2.5670405302        -0.1283205358
        0.5204161000         0.0520416100         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.5254093000         0.0525409300         2.5000000000         1.3608102703         2.5670405302         0.6030400307
        0.5304285000         0.0530428500         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.5354807000         0.0535480700         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.5404810000         0.0540481000         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.5453882000         0.0545388200         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.5505075000         0.0550507500         2.5000000000         1.3454963091         2.5797999174         0.2041160854
        0.5554077000         0.0555407700         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.5604200000         0.0560420000         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.5655353000         0.0565535300         2.5000000000         1.3684672508         2.5695924076         0.8025020034
        0.5704487000         0.0570448700         2.5000000000         1.3403916554         2.5772480400         0.0711414369
        0.5753941000         0.0575394100         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.5804169000         0.0580416900         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.5854010000         0.0585401000         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.5904193000         0.0590419300         2.5000000000         1.3301823480         2.5670405302        -0.1948078600
        0.5953842000         0.0595384200         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.6004270000         0.0600427000         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.6053954000         0.0605395400         2.5000000000         1.3378393285         2.5670405302         0.0046541127
        0.6104305000         0.0610430500         2.5000000000         1.3276300211         2.5644886527        -0.2612951842
        0.6153897000         0.0615389700         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.6203986000         0.0620398600         2.5000000000         1.3429439823         2.5746961625         0.1376287611
        0.6254171000         0.0625417100         2.7647644837         1.3327346748         2.5670405302        -0.1283205358
        0.6377655000         0.0637765500         2.7653799446         1.3327346748         2.5644886527        -0.1283205358
        0.6401947000         0.0640194700         2.7655010341         1.3352870017         2.5695924076        -0.0618332115
        0.6415602000         0.0641560200         2.7655691030         1.3352870017         2.5721442851        -0.0618332115
        0.6454402000         0.0645440200         2.7657625258         1.3352870017         2.5670405302        -0.0618332115
        0.6504333000         0.0650433300         2.7660114565         1.3429439823         2.5772480400         0.1376287611
        0.6554452000         0.0655445200         2.7662613452         1.3531532897         2.5772480400         0.4035780581
        0.6604307000         0.0660430700         2.7665099385         1.3557056165         2.5670405302         0.4700653823
        0.6654058000         0.0665405800         2.7667580337         1.3480486360         2.5746961625         0.2706034096
        0.6704365000         0.0670436500         2.7670089225         1.3608102703         2.5772480400         0.6030400307
        0.6753886000         0.0675388600         2.7672559120         1.3557056165         2.5772480400         0.4700653823
        0.6804265000         0.0680426500         2.7675072018         1.3684672508         2.5849036724         0.8025020034
        0.6853863000         0.0685386300         2.7677546165         1.3684672508         2.5874555498         0.8025020034
        0.6903897000         0.0690389700         2.7680042270         1.3735719045         2.5900074273         0.9354766519
        0.6954183000         0.0695418300         2.7682551157         1.3684672508         2.5900074273         0.8025020034
        0.7004991000         0.0700499100         2.7685086302         1.3608102703         2.5849036724         0.6030400307
        0.7053873000         0.0705387300         2.7687525549         1.3659149240         2.6002149371         0.7360146792
        0.7104679000         0.0710467900         2.7690061016         1.3684672508         2.5976630597         0.8025020034
        0.7155003000         0.0715500300         2.7692572641         1.3761242314         2.6078705695         1.0019639761
        0.7204743000         0.0720474300         2.7695055327         1.3710195777         2.6104224470         0.8689893276
        0.7253893000         0.0725389300         2.7697508766         1.3684672508         2.6078705695         0.8025020034
        0.7303933000         0.0730393300         2.7700006840         1.3633625971         2.6104224470         0.6695273550
        0.7353943000         0.0735394300         2.7702503624         1.3608102703         2.6104224470         0.6030400307
        0.7404787000         0.0740478700         2.7705042260         1.3582579434         2.6129743244         0.5365527065
        0.7454282000         0.0745428200         2.7707513749         1.3633625971         2.6180780793         0.6695273550
        0.7503939000         0.0750393900         2.7709993532         1.3557056165         2.6206299568         0.4700653823
        0.7554454000         0.0755445400         2.7712516374         1.3557056165         2.6206299568         0.4700653823
        0.7604293000         0.0760429300         2.7715005664         1.3608102703         2.6231818342         0.6030400307
        0.7654322000         0.0765432200         2.7717504652         1.3557056165         2.6180780793         0.4700653823
        0.7704090000         0.0770409000         2.7719990811         1.3480486360         2.6180780793         0.2706034096
        0.7754545000         0.0775454500         2.7722511501         1.3531532897         2.6206299568         0.4035780581
        0.7804386000         0.0780438600         2.7725001724         1.3608102703         2.6308374666         0.6030400307
        0.7853965000         0.0785396500         2.7727479064         1.3557056165         2.6333893441         0.4700653823
        0.7904202000         0.0790420200         2.7729989492         1.3557056165         2.6282855892         0.4700653823
        0.7954345000         0.0795434500         2.7732495433         1.3608102703         2.6333893441         0.6030400307
        0.8004435000         0.0800443500         2.7734998936         1.3557056165         2.6384930990         0.4700653823
        0.8053962000         0.0805396200         2.7737474507         1.3557056165         2.6359412215         0.4700653823
        0.8104086000         0.0810408600         2.7739980127         1.3557056165         2.6359412215         0.4700653823
        0.8153982000         0.0815398200         2.7742474560         1.3557056165         2.6410449765         0.4700653823
        0.8204391000         0.0820439100         2.7744994850         1.3659149240         2.6435968539         0.7360146792
        0.8254279000         0.0825427900         2.7747489302         1.3633625971         2.6512524863         0.6695273550
        0.8304383000         0.0830438300         2.7749994764         1.3659149240         2.6538043638         0.7360146792
        0.8354073000         0.0835407300         2.7752479732         1.3608102703         2.6512524863         0.6030400307
        0.8404371000         0.0840437100         2.7754995317         1.3608102703         2.6538043638         0.6030400307
        0.8454484000         0.0845448400         2.7757501861         1.3633625971         2.6563562412         0.6695273550
        0.8504399000         0.0850439900         2.7759998710         1.3608102703         2.6614599961         0.6030400307
        0.8554099000         0.0855409900         2.7762485013         1.3684672508         2.6614599961         0.8025020034
        0.8604571000         0.0860457100         2.7765010148         1.3735719045         2.6767712609         0.9354766519
        0.8654341000         0.0865434100         2.7767500371         1.3710195777         2.6742193834         0.8689893276
        0.8704691000         0.0870469100         2.7770019827         1.3659149240         2.6793231383         0.7360146792
        0.8754330000         0.0875433000         2.7772503913         1.3710195777         2.6818750158         0.8689893276
        0.8804358000         0.0880435800         2.7775007676         1.3710195777         2.6869787707         0.8689893276
        0.8854128000         0.0885412800         2.7777498735         1.3659149240         2.6895306482         0.7360146792
        0.8904664000         0.0890466400         2.7780028347         1.3659149240         2.6869787707         0.7360146792
        0.8954687000         0.0895468700         2.7782532492         1.3684672508         2.6946344031         0.8025020034
        0.9004419000         0.0900441900         2.7785022279         1.3710195777         2.6997381580         0.8689893276
        0.9053859000         0.0905385900         2.7787497653         1.3735719045         2.7099456679         0.9354766519
        0.9104205000         0.0910420500         2.7790018600         1.3659149240         2.7124975453         0.7360146792
        0.9153913000         0.0915391300         2.7792507811         1.3710195777         2.7099456679         0.8689893276
        0.9204663000         0.0920466300         2.7795049417         1.3735719045         2.7150494228         0.9354766519
        0.9254104000         0.0925410400         2.7797525675         1.3863335388         2.7176013002         1.2679132730
        0.9304105000         0.0930410500         2.7800030190         1.3812288851         2.7278088101         1.1349386245
        0.9354423000         0.0935442300         2.7802550797         1.3837812120         2.7329125650         1.2014259488
        0.9404418000         0.0940441800         2.7805055435         1.3837812120         2.7380163199         1.2014259488
        0.9454080000         0.0945408000         2.7807543599         1.3837812120         2.7405681974         1.2014259488
        0.9506505000         0.0950650500         2.7810170420         1.3786765582         2.7329125650         1.0684513003
        0.9554015000         0.0955401500         2.7812551170         1.3837812120         2.7482238297         1.2014259488
        0.9603935000         0.0960393500         2.7815052891         1.3863335388         2.7533275847         1.2679132730
        0.9653958000         0.0965395800         2.7817559985         1.3812288851         2.7558794621         1.1349386245
        0.9704626000         0.0970462600         2.7820099621         1.3786765582         2.7584313396         1.0684513003
        0.9754328000         0.0975432800         2.7822591049         1.3761242314         2.7609832170         1.0019639761
        0.9804330000         0.0980433000         2.7825097726         1.3812288851         2.7660869720         1.1349386245
        0.9854228000         0.0985422800         2.7827599400         1.3735719045         2.7635350945         0.9354766519
        0.9904107000         0.0990410700         2.7830100332         1.3735719045         2.7660869720         0.9354766519
        0.9954452000         0.0995445200         2.7832624842         1.3710195777         2.7711907269         0.8689893276
        1.0004222000         0.1000422200         2.7835120730         1.3710195777         2.7762944818         0.8689893276
        1.0054333000         0.1005433300         2.7837633931         1.3633625971         2.7711907269         0.6695273550
        1.0104417000         0.1010441700         2.7840145989         1.3659149240         2.7813982367         0.7360146792
        1.0154876000         0.1015487600         2.7842677072         1.3659149240         2.7737426043         0.7360146792
        1.0204474000         0.1020447400         2.7845165175         1.3761242314         2.7967095015         1.0019639761
        1.0253976000         0.1025397600         2.7847648671         1.3761242314         2.7941576240         1.0019639761
        1.0304142000         0.1030414200         2.7850165691         1.3812288851         2.7967095015         1.1349386245
        1.0354816000         0.1035481600         2.7852708416         1.3761242314         2.8018132564         1.0019639761
        1.0404400000         0.1040440000         2.7855196657         1.3786765582         2.8043651338         1.0684513003
        1.0454509000         0.1045450900         2.7857711456         1.3939905194         2.8094688888         1.4673752457
        1.0504098000         0.1050409800         2.7860200367         1.3786765582         2.8120207662         1.0684513003
        1.0554088000         0.1055408800         2.7862709616         1.3812288851         2.8171245211         1.1349386245
        1.0604338000         0.1060433800         2.7865232130         1.3812288851         2.8196763986         1.1349386245
        1.0653928000         0.1065392800         2.7867721722         1.3710195777         2.8222282761         0.8689893276
        1.0704114000         0.1070411400         2.7870241448         1.3837812120         2.8273320310         1.2014259488
        1.0754026000         0.1075402600         2.7872747629         1.3837812120         2.8375395408         1.2014259488
        1.0803842000         0.1080384200         2.7875249201         1.3837812120         2.8477470506         1.2014259488
        1.0854107000         0.1085410700         2.7877773533         1.3761242314         2.8400914183         1.0019639761
        1.0904047000         0.1090404700         2.7880281757         1.3761242314         2.8451951732         1.0019639761
        1.0954856000         0.1095485600         2.7882833843         1.3735719045         2.8451951732         0.9354766519
        1.1004029000         0.1100402900         2.7885303964         1.3965428462         2.8528508056         1.5338625699
        1.1054263000         0.1105426300         2.7887827595         1.3812288851         2.8528508056         1.1349386245
        1.1105419000         0.1110541900         2.7890397765         1.4067521537         2.8630583154         1.7998118668
        1.1154056000         0.1115405600         2.7892841582         1.3761242314         2.8579545605         1.0019639761
        1.1204160000         0.1120416000         2.7895359321         1.3761242314         2.8630583154         1.0019639761
        1.1254178000         0.1125417800         2.7897872952         1.3863335388         2.8809214576         1.2679132730
        1.1304112000         0.1130411200         2.7900382574         1.3888858657         2.8834733351         1.3344005972
        1.1353898000         0.1135389800         2.7902884969         1.3863335388         2.8860252125         1.2679132730
        1.1404443000         0.1140444300         2.7905425729         1.3761242314         2.8809214576         1.0019639761
        1.1454089000         0.1145408900         2.7907921512         1.3761242314         2.8885770900         1.0019639761
        1.1505011000         0.1150501100         2.7910481659         1.3863335388         2.9013364773         1.2679132730
        1.1554495000         0.1155449500         2.7912969721         1.3786765582         2.9038883547         1.0684513003
        1.1604262000         0.1160426200         2.7915472223         1.3863335388         2.9013364773         1.2679132730
        1.1653981000         0.1165398100         2.7917972522         1.3761242314         2.9038883547         1.0019639761
        1.1704662000         0.1170466200         2.7920521416         1.3812288851         2.9191996195         1.1349386245
        1.1754396000         0.1175439600         2.7923022896         1.3837812120         2.9268552519         1.2014259488
        1.1804090000         0.1180409000         2.7925522575         1.3812288851         2.9243033744         1.1349386245
        1.1854284000         0.1185428400         2.7928047618         1.3659149240         2.9243033744         0.7360146792
        1.1904153000         0.1190415300         2.7930556526         1.3735719045         2.9294071293         0.9354766519
        1.1953883000         0.1195388300         2.7933058652         1.3710195777         2.9294071293         0.8689893276
        1.2004084000         0.1200408400         2.7935584690         1.3786765582         2.9421665166         1.0684513003
        1.2054109000         0.1205410900         2.7938102086         1.3761242314         2.9396146392         1.0019639761
        1.2104090000         0.1210409000         2.7940617482         1.3863335388         2.9549259039         1.2679132730
        1.2153908000         0.1215390800         2.7943124888         1.3812288851         2.9523740265         1.1349386245
        1.2204507000         0.1220450700         2.7945671819         1.3786765582         2.9574777814         1.0684513003
        1.2254390000         0.1225439000         2.7948182924         1.3786765582         2.9676852912         1.0684513003
        1.2304882000         0.1230488200         2.7950724904         1.3888858657         2.9753409236         1.3344005972
        1.2354123000         0.1235412300         2.7953204113         1.3863335388         2.9778928011         1.2679132730
        1.2404495000         0.1240449500         2.7955740481         1.3812288851         2.9727890461         1.1349386245
        1.2454780000         0.1245478000         2.7958272685         1.3735719045         2.9727890461         0.9354766519
        1.2504969000         0.1250496900         2.7960800270         1.3710195777         2.9753409236         0.8689893276
        1.2554429000         0.1255442900         2.7963291354         1.3735719045         2.9778928011         0.9354766519
        1.2604105000         0.1260410500         2.7965793527         1.3786765582         2.9906521883         1.0684513003
        1.2653938000         0.1265393800         2.7968303821         1.3761242314         2.9881003109         1.0019639761
        1.2704656000         0.1270465600         2.7970858915         1.3735719045         2.9932040658         0.9354766519
        1.2754409000         0.1275440900         2.7973365609         1.3863335388         3.0008596982         1.2679132730
        1.2803972000         0.1280397200         2.7975862940         1.3888858657         3.0161709629         1.3344005972
        1.2854436000         0.1285443600         2.7978405887         1.3914381925         3.0212747179         1.4008879215
        1.2903914000         0.1290391400         2.7980899361         1.3888858657         3.0263784728         1.3344005972
        1.2954416000         0.1295441600         2.7983444656         1.3863335388         3.0212747179         1.2679132730
        1.3004473000         0.1300447300         2.7985967740         1.3761242314         3.0212747179         1.0019639761
        1.3054114000         0.1305411400         2.7988470068         1.3812288851         3.0314822277         1.1349386245
        1.3105952000         0.1310595200         2.7991083369         1.3786765582         3.0365859826         1.0684513003
        1.3154056000         0.1315405600         2.7993508636         1.3761242314         3.0340341051         1.0019639761
        1.3204039000         0.1320403900         2.7996028847         1.3761242314         3.0442416150         1.0019639761
        1.3254136000         0.1325413600         2.7998555021         1.3710195777         3.0467934924         0.8689893276
        1.3306026000         0.1330602600         2.8001171837         1.3735719045         3.0570010023         0.9354766519
        1.3354132000         0.1335413200         2.8003598032         1.3761242314         3.0570010023         1.0019639761
        1.3404849000         0.1340484900         2.8006156127         1.3761242314         3.0595528797         1.0019639761
        1.3454224000         0.1345422400         2.8008646746         1.3837812120         3.0697603896         1.2014259488
        1.3504363000         0.1350436300         2.8011176119         1.3939905194         3.0748641445         1.4673752457
        1.3554452000         0.1355445200         2.8013703185         1.3863335388         3.0799678994         1.2679132730
        1.3604086000         0.1360408600         2.8016207509         1.3863335388         3.0850716543         1.2679132730
        1.3653949000         0.1365394900         2.8018723601         1.3837812120         3.0799678994         1.2014259488
        1.3704411000         0.1370441100         2.8021270137         1.3914381925         3.0901754092         1.4008879215
        1.3754291000         0.1375429100         2.8023787519         1.3914381925         3.0952791642         1.4008879215
        1.3804103000         0.1380410300         2.8026301682         1.3812288851         3.0901754092         1.1349386245
        1.3854736000         0.1385473600         2.8028857504         1.3837812120         3.1003829191         1.2014259488
        1.3904381000         0.1390438100         2.8031363669         1.3812288851         3.1003829191         1.1349386245
        1.3954517000         0.1395451700         2.8033894836         1.3837812120         3.1054866740         1.2014259488
        1.4004530000         0.1400453000         2.8036420009         1.3888858657         3.1182460613         1.3344005972
        1.4054452000         0.1405445200         2.8038940803         1.3965428462         3.1284535711         1.5338625699
        1.4104061000         0.1410406100         2.8041446006         1.3863335388         3.1259016937         1.2679132730
        1.4153900000         0.1415390000         2.8043963038         1.3761242314         3.1233498162         1.0019639761
        1.4204501000         0.1420450100         2.8046518772         1.3863335388         3.1361092035         1.2679132730
        1.4253855000         0.1425385500         2.8049011737         1.3965428462         3.1488685908         1.5338625699
        1.4303919000         0.1430391900         2.8051540781         1.3939905194         3.1488685908         1.4673752457
        1.4353841000         0.1435384100         2.8054062867         1.3863335388         3.1565242232         1.2679132730
        1.4403979000         0.1440397900         2.8056596083         1.3914381925         3.1565242232         1.4008879215
        1.4454209000         0.1445420900         2.8059134165         1.3863335388         3.1590761006         1.2679132730
        1.4503921000         0.1450392100         2.8061646287         1.3863335388         3.1667317330         1.2679132730
        1.4553861000         0.1455386100         2.8064170147         1.3914381925         3.1667317330         1.4008879215
        1.4604688000         0.1460468800         2.8066739056         1.3837812120         3.1692836105         1.2014259488
        1.4653963000         0.1465396300         2.8069229737         1.3837812120         3.1769392429         1.2014259488
        1.4704891000         0.1470489100         2.8071804193         1.3888858657         3.1845948752         1.3344005972
        1.4754427000         0.1475442700         2.8074308497         1.3888858657         3.1896986301         1.3344005972
        1.4804335000         0.1480433500         2.8076831823         1.3786765582         3.1845948752         1.0684513003
        1.4853843000         0.1485384300         2.8079335138         1.3761242314         3.1948023851         1.0019639761
        1.4904170000         0.1490417000         2.8081880084         1.3863335388         3.2024580174         1.2679132730
        1.4953852000         0.1495385200         2.8084392628         1.4067521537         3.2152174047         1.7998118668
        1.5004321000         0.1500432100         2.8086945192         1.3939905194         3.2177692822         1.4673752457
        1.5053882000         0.1505388200         2.8089452048         1.3786765582         3.2152174047         1.0684513003
        1.5105137000         0.1510513700         2.8092044812         1.3939905194         3.2279767920         1.4673752457
        1.5154045000         0.1515404500         2.8094519065         1.3786765582         3.2254249146         1.0684513003
        1.5205291000         0.1520529100         2.8097111820         1.3837812120         3.2279767920         1.2014259488
        1.5253974000         0.1525397400         2.8099575113         1.3812288851         3.2305286695         1.1349386245
        1.5303867000         0.1530386700         2.8102099844         1.3939905194         3.2407361793         1.4673752457
        1.5354483000         0.1535448300         2.8104661383         1.3837812120         3.2483918117         1.2014259488
        1.5404397000         0.1540439700         2.8107187613         1.3939905194         3.2509436892         1.4673752457
        1.5454029000         0.1545402900         2.8109699785         1.3863335388         3.2585993215         1.2679132730
        1.5503971000         0.1550397100         2.8112227865         1.3837812120         3.2585993215         1.2014259488
        1.5554271000         0.1555427100         2.8114774287         1.3863335388         3.2611511990         1.2679132730
        1.5604094000         0.1560409400         2.8117296777         1.3914381925         3.2739105863         1.4008879215
        1.5654345000         0.1565434500         2.8119841156         1.3786765582         3.2713587088         1.0684513003
        1.5704395000         0.1570439500         2.8122375576         1.3888858657         3.2892218510         1.3344005972
        1.5754681000         0.1575468100         2.8124922166         1.3837812120         3.2841180961         1.2014259488
